3a279c5a64e459bf2b1f3124f9b892f34266960471a0a4794e21f3d9ae695511,952b77e9d666499f249f8d2656aee7cd03ec481fcebd722cf4fdac329b0415bb,666c6814e317f933978eafc43ac33592e422b21e2929ef87059b8adb8b764e06,cafbe01b4b991f7c3c2b14699b800417de534b9964cb7014e65fd303cf86ebb0,b62202531e04757695c3daa932b651489ba091078e81378b088d9b4c42a64849,c9839f5e9c69c0b0a5dfd930cc951ff6a3438829df3ead7dbaf6f04b174f584b,c93660abee64d654344d8ae3fa58a34c2330d7716093017d01258657f37e504d,928ee891b1e63291826c7a4199550b4f396c1049f7f0f464b7f3e72eeb4c37ed,d55001efa810d3a3022c4272686283ef94cde2ce1cb5a2dc6aa5765c42a3c9e2
"522","0","1","0.65","3","43.5","0","320120206","11"
"523","0","2","0.7","1","-98","502012206","320120207","50"
"524","0","3","1","2","0","502012208","320120207","72"
"525","0","1","0.65","3","49","0","320120207","13"
"526","0","1","1.2","1","10","0","320120208","30"
"527","0","1","0.9","1","40","0","320120209","40"
"528","0","1","1.1","1","-20","0","320120210","-35"
"529","0","2","0.7","1","-74","502012301","320120306","40"
"530","0","3","1","2","10","502012303","320120306","67"
"531","0","1","0.65","3","43.5","0","320120306","11"
"532","0","2","0.7","1","-98","502012306","320120307","50"
"533","0","3","1","2","0","502012308","320120307","72"
"534","0","1","0.65","3","49","0","320120307","13"
"535","0","1","1.2","1","10","0","320120308","30"
"536","0","1","0.9","1","40","0","320120309","40"
"537","0","1","1.1","1","-20","0","320120310","-35"
"538","0","2","0.7","1","-74","502012401","320120406","40"
"539","0","3","1","2","10","502012403","320120406","67"
"540","0","1","0.65","3","43.5","0","320120406","11"
"541","0","2","0.7","1","-98","502012406","320120407","50"
"542","0","3","1","2","0","502012408","320120407","72"
"543","0","1","0.65","3","49","0","320120407","13"
"544","0","1","1.2","1","10","0","320120408","30"
"545","0","1","0.9","1","40","0","320120409","40"
"546","0","1","1.1","1","-20","0","320120410","-35"
"547","0","2","0.7","1","-74","502012501","320120506","40"
"548","0","3","1","2","10","502012503","320120506","67"
"549","0","1","0.65","3","43.5","0","320120506","11"
"550","0","2","0.7","1","-98","502012506","320120507","50"
"551","0","3","1","2","0","502012508","320120507","72"
"552","0","1","0.65","3","49","0","320120507","13"
"553","0","1","1.2","1","10","0","320120508","30"
"554","0","1","0.9","1","40","0","320120509","40"
"555","0","1","1.1","1","-20","0","320120510","-35"
"556","0","2","0.7","1","-74","502013101","320130106","40"
"557","0","3","0.8","2","10","502013103","320130106","67"
"558","0","1","0.65","3","43.5","0","320130106","11"
"559","0","2","0.7","1","-98","502013106","320130107","50"
"560","0","3","0.9","2","50","502013108","320130107","72"
"561","0","1","0.65","3","49","0","320130107","13"
"562","0","1","1.2","1","10","0","320130108","30"
"563","0","1","0.8","1","40","0","320130109","40"
"564","0","1","1.1","1","-20","0","320130110","-35"
"565","0","2","0.7","1","-74","502013201","320130206","40"
"566","0","3","0.8","2","10","502013203","320130206","67"
"567","0","1","0.65","3","43.5","0","320130206","11"
"568","0","2","0.7","1","-98","502013206","320130207","50"
"569","0","3","0.9","2","50","502013208","320130207","72"
"570","0","1","0.65","3","49","0","320130207","13"
"571","0","1","1.2","1","10","0","320130208","30"
"572","0","1","0.8","1","40","0","320130209","40"
"573","0","1","1.1","1","-20","0","320130210","-35"
"574","0","2","0.7","1","-74","502013301","320130306","40"
"575","0","3","0.8","2","10","502013303","320130306","67"
"576","0","1","0.65","3","43.5","0","320130306","11"
"577","0","2","0.7","1","-98","502013306","320130307","50"
"578","0","3","0.9","2","50","502013308","320130307","72"
"579","0","1","0.65","3","49","0","320130307","13"
"580","0","1","1.2","1","10","0","320130308","30"
"581","0","1","0.8","1","40","0","320130309","40"
"582","0","1","1.1","1","-20","0","320130310","-35"
"583","0","2","0.7","1","-74","502013401","320130406","40"
"584","0","3","0.8","2","10","502013403","320130406","67"
"585","0","1","0.65","3","43.5","0","320130406","11"
"586","0","2","0.7","1","-98","502013406","320130407","50"
"587","0","3","0.9","2","50","502013408","320130407","72"
"588","0","1","0.65","3","49","0","320130407","13"
"589","0","1","1.2","1","10","0","320130408","30"
"590","0","1","0.8","1","40","0","320130409","40"
"591","0","1","1.1","1","-20","0","320130410","-35"
"592","0","2","0.7","1","-74","502013501","320130506","40"
"593","0","3","0.8","2","10","502013503","320130506","67"
"594","0","1","0.65","3","43.5","0","320130506","11"
"595","0","2","0.7","1","-98","502013506","320130507","50"
"596","0","3","0.9","2","50","502013508","320130507","72"
"597","0","1","0.65","3","49","0","320130507","13"
"598","0","1","1.2","1","10","0","320130508","30"
"599","0","1","0.8","1","40","0","320130509","40"
"600","0","1","1.1","1","-20","0","320130510","-35"
"601","0","2","0.7","1","-74","502014101","320140106","40"
"602","0","3","1","2","13","502014103","320140106","67"
"603","0","1","0.65","3","43.5","0","320140106","11"
"604","0","2","0.7","1","-68","502014106","320140107","50"
"605","0","3","0.95","2","30","502014108","320140107","62"
"606","0","1","0.65","3","29","0","320140107","13"
"607","0","1","1","1","5","0","320140108","10"
"608","0","1","0.8","1","0","0","320140109","20"
"609","0","1","1.1","1","-20","0","320140110","-35"
"610","0","2","0.7","1","-74","502014201","320140206","40"
"611","0","3","1","2","13","502014203","320140206","67"
"612","0","1","0.65","3","43.5","0","320140206","11"
"613","0","2","0.7","1","-68","502014206","320140207","50"
"614","0","3","0.95","2","30","502014208","320140207","62"
"615","0","1","0.65","3","29","0","320140207","13"
"616","0","1","1","1","5","0","320140208","10"
"617","0","1","0.8","1","0","0","320140209","20"
"618","0","1","1.1","1","-20","0","320140210","-35"
"619","0","2","0.7","1","-74","502014301","320140306","40"
"620","0","3","1","2","13","502014303","320140306","67"
"621","0","1","0.65","3","43.5","0","320140306","11"
"622","0","2","0.7","1","-68","502014306","320140307","50"
"623","0","3","0.95","2","30","502014308","320140307","62"
"624","0","1","0.65","3","29","0","320140307","13"
"625","0","1","1","1","5","0","320140308","10"
"626","0","1","0.8","1","0","0","320140309","20"
"627","0","1","1.1","1","-20","0","320140310","-35"
"628","0","2","0.7","1","-74","502014401","320140406","40"
"629","0","3","1","2","13","502014403","320140406","67"
"630","0","1","0.65","3","43.5","0","320140406","11"
"631","0","2","0.7","1","-68","502014406","320140407","50"
"632","0","3","0.95","2","30","502014408","320140407","62"
"633","0","1","0.65","3","29","0","320140407","13"
"634","0","1","1","1","5","0","320140408","10"
"635","0","1","0.8","1","0","0","320140409","20"
"636","0","1","1.1","1","-20","0","320140410","-35"
"637","0","2","0.7","1","-74","502014501","320140506","40"
"638","0","3","1","2","13","502014503","320140506","67"
"639","0","1","0.65","3","43.5","0","320140506","11"
"640","0","2","0.7","1","-68","502014506","320140507","50"
"641","0","3","0.95","2","30","502014508","320140507","62"
"642","0","1","0.65","3","29","0","320140507","13"
"643","0","1","1","1","5","0","320140508","10"
"644","0","1","0.8","1","0","0","320140509","20"
"645","0","1","1.1","1","-20","0","320140510","-35"
