71ee96934beff286987df090c92c92f0abe654f944433f9202f9df42c90f8e8c,58c7b5cb48f6a1c793ab60f787e8af67bbfcf8b206479b64da12da263e5cf926,2abd43a48588189d12083a4e2da269b9855841bb9d1e49e83bb77447d4287d72,6b2de9f37b04ae1dbee9404b0be7b3e5b7b0badef739a3a16ddf6e63c584a276,cb414a3c1a6af2ec7a12f64d5bd12aa8bbbda84f3a0f37db1cce399ffa880a39,05e62460a236c11a1e27cfe8bd42796fe5b8adb38fa2d987478e7a91e91d5153,f7f5de55ab0b9f7abdc27f65f77ef9bfb3abcf52ce5c6ff8a4320874ccbe1712,48b29c00f8b9182d13c98d04e1edc836f971f7f230e75888bda935f6a233b9d0,d5a86ca00e014b49282a92ebae7cadae572e2c9bb429eaed19cb4fe922b78bfa,1840b22615680e889faa5b95100b995d1c4494953eef5ca1502b4d136ec8dff8,96cb7f0830aa5fc7a3390e76566b1b5c9608f9babfcb02e83771e52c758374bd
"","0","72","91","","0","","","","0","72030"
"0.2","1","72","3","1","0","","talk2ToKohon","0","clear_kohon_loop_shy","72031"
"","vo_asb","72","21","","0","","vo_asb_0726","","0","72032"
"0","1","72","11","1","10","0","そりゃそうですよね……\nいきなり前のめり過ぎ太郎でした……","0","1","72033"
"","0","72","91","","0","","","","0","72034"
"0.2","1","72","3","1","0","","clear_guts1_in","0","clear_guts1_talk","72035"
"","vo_asb","72","21","","0","","vo_asb_0727","","0","72036"
"0","1","72","11","1","10","0","でも、諦めるわけにはいかないなって。\n時々森に通って、300年を３年くらい\nに、縮めようと思ってるんです！","0","1","72037"
"","0","72","91","","0","","","","0","72038"
"","72040","72","101","","","","","","","72039"
"0.3","1","72","6","0","1","","1","0","1","72040"
"0.3","0","72","6","0","1","","1","0","1","72041"
"","1","72","2","1","-250","","-120","","0.3","72042"
"","0","72","2","1","0","","-100","","0.3","72043"
"","0","72","22","","","","0","","","72044"
"","0.4","72","93","","","","0","","","72045"
"2.2","1","82","5","-250","52","riri_idle","1","0","30","82001"
"0","1","82","6","0","1","","1","0","1","82002"
"1","0","82","5","0","29","black","0","0","50","82003"
"0","0","82","6","0","1","","1","0","1","82004"
"","0","82","91","","","","","","","82005"
"0.2","1","82","6","1","1","","1","0","1","82006"
"0.2","0","82","6","1","1","","1","0","1","82007"
"","1","82","2","2","-250","","-20","","0.3","82008"
"","0","82","2","2","0","","0","","0.3","82009"
"","0.6","82","93","","","","0","","","82010"
"0.2","1","82","3","","1","","riri_talk","","","82011"
"","vo_asb","82","21","","0","","vo_asb_0821","","0","82012"
"0","1","82","11","1","10","0","その頃わたくしは、\nスカウトをお受けしておりました。\nミサト様いわく、わたくしには保育士の\n『天賦の才』があるそうで。","0","1","82013"
"","0","82","91","","0","","","","0","82014"
"0.2","1","82","3","","1","","sad_talk_surprise","","","82015"
"","vo_asb","82","21","","0","","vo_asb_0822","","0","82016"
"0","1","82","11","1","10","0","小さいお子様はともかく、動物さんに\n好かれる自覚はありますし……\n冒険者という仕事に不向きなことも、\n自認していますけれど……","0","1","82017"
"","0","82","91","","0","","","","0","82018"
"0.2","1","82","3","","1","","guts2_talk_Ex1","","","82019"
"","vo_asb","82","21","","0","","vo_asb_0823","","0","82020"
"0","1","82","11","1","10","0","それでも……適性など踏み越えて、\n己の道を突き進むのが冒険者です。\n一度決めたことを、\n曲げるわけには参りません……！","0","1","82021"
"","0","82","91","","0","","","","0","82022"
"0.2","1","82","3","","1","","talk_joy","","","82023"
"","vo_asb","82","21","","0","","vo_asb_0824","","0","82024"
"0","1","82","11","1","10","0","と、不退転の決意を申し上げたら、\nミサト様、「は～い♪」と、\n二つ返事で分かってくださって。","0","1","82025"
"","0","82","91","","0","","","","0","82026"
"0.2","1","82","3","","1","","wish_talk_joyR_riri","","","82027"
"","vo_asb","82","21","","0","","vo_asb_0825","","0","82028"
"0","1","82","11","1","10","0","柔和で、寛容で、お話のわかる……\n彼女こそ、真の保育士さんで\nいらっしゃいますね。","0","1","82029"
"","0","82","91","","0","","","","0","82030"
"0.2","1","82","3","","1","","surprise_talk_nervous","","","82031"
"","vo_asb","82","21","","0","","vo_asb_0826","","0","82032"
"0","1","82","11","1","10","0","……別れ際に、\n「また誘うわね～♪」と、\n同じく柔和な笑顔でおっしゃって\nおられたのがやや気にはなりますが……","0","1","82033"
"","0","82","91","","0","","","","0","82034"
"","82036","82","101","","","","","","","82035"
"0.3","1","82","6","0","1","","1","0","1","82036"
"0.3","0","82","6","0","1","","1","0","1","82037"
"","1","82","2","1","-250","","-120","","0.3","82038"
"","0","82","2","1","0","","-100","","0.3","82039"
"","0","82","22","","","","0","","","82040"
"","0.4","82","93","","","","0","","","82041"
"2.2","2","92","5","-250","52","clear_surprise_talk","1","0","30","92001"
"0","1","92","6","0","1","","1","0","1","92002"
"1","0","92","5","0","29","black","0","0","50","92003"
"0","0","92","6","0","1","","1","0","1","92004"
"","0","92","91","","","","","","","92005"
"0.2","1","92","6","1","1","","1","0","1","92006"
"0.2","0","92","6","1","1","","1","0","1","92007"
"","1","92","2","2","-250","","-20","","0.3","92008"
"","0","92","2","2","0","","0","","0.3","92009"
"","0.6","92","93","","","","0","","","92010"
"","vo_asb","92","21","","0","","vo_asb_0921","","0","92011"
"0","1","92","11","1","10","0","穴って、不思議ですよね……","0","1","92012"
"","0","92","91","","0","","","","0","92013"
"","vo_asb","92","21","","0","","vo_asb_0922","","0","92014"
"0","1","92","11","1","10","0","暗くて、狭くて。\n涼しくて、静かで。\nなんとなく、落ち着く……というか。","0","1","92015"
"","0","92","91","","0","","","","0","92016"
"0.1","1","92","3","1","0","","surpriseToKohon","0","clear_kohon_loop_normal2","92017"
"","vo_asb","92","21","","0","","vo_asb_0923","","0","92018"
"0","1","92","11","1","10","0","そういうの。\nわたし、意外と好きなの、かも……？\n穴があったら入りたい、\nじゃないですけど……","0","1","92019"
"","0","92","91","","0","","","","0","92020"
"0.2","1","92","3","","1","","clear_wish_talk_joy_noShy","","","92021"
"","vo_asb","92","21","","0","","vo_asb_0924","","0","92022"
"0","1","92","11","1","10","0","掘り方、習ったし。\n自分用の穴、掘ってみようかな……？","0","1","92023"
"","0","92","91","","0","","","","0","92024"
"","92026","92","101","","","","","","","92025"
"0.3","1","92","6","0","1","","1","0","1","92026"
"0.3","0","92","6","0","1","","1","0","1","92027"
"","1","92","2","1","-250","","-120","","0.3","92028"
"","0","92","2","1","0","","-100","","0.3","92029"
"","0","92","22","","","","0","","","92030"
"","0.4","92","93","","","","0","","","92031"
"2.2","3","102","5","-250","52","idle_precia","1","0","30","102001"
"0","1","102","6","0","1","","1","0","1","102002"
"1","0","102","5","0","29","black","0","0","50","102003"
"0","0","102","6","0","1","","1","0","1","102004"
"","0","102","91","","","","","","","102005"
"0.2","1","102","6","1","1","","1","0","1","102006"
"0.2","0","102","6","1","1","","1","0","1","102007"
"","1","102","2","2","-250","","-20","","0.3","102008"
"","0","102","2","2","0","","0","","0.3","102009"
"","0.6","102","93","","","","0","","","102010"
"0.3","1","102","3","","1","","doya_idle_surprise_precia","","","102011"
"","vo_asb","102","21","","0","","vo_asb_1021","","0","102012"
"0","1","102","11","1","10","0","「へんたいふしんしゃさんは\nあなにおちるべきです」","0","1","102013"
"","0","102","91","","0","","","","0","102014"
"0.3","1","102","3","","1","","talk_precia","","","102015"
"","vo_asb","102","21","","0","","vo_asb_1022","","0","102016"
"0","1","102","11","1","10","0","キョウカ。\nだん。","0","1","102017"
"","0","102","91","","0","","","","0","102018"
"0.3","1","102","3","","1","","think_idle_anger_precia","","","102019"
"","vo_asb","102","21","","0","","vo_asb_1023","","0","102020"
"0","1","102","11","1","10","0","へんたいふしんしゃ。\nとは……？","0","1","102021"
"","0","102","91","","0","","","","0","102022"
"0.2","1","102","3","1","0","","thinkToSad_precia","0","sad_talk_surprise_precia","102023"
"","vo_asb","102","21","","0","","vo_asb_1024","","0","102024"
"0","1","102","11","1","10","0","……まだ、しらないこと。\nたくさん。","0","1","102025"
"","0","102","91","","0","","","","0","102026"
"0.3","1","102","3","","1","","guts2_talk_joy_precia","","","102027"
"","vo_asb","102","21","","0","","vo_asb_1025","","0","102028"
"0","1","102","11","1","10","0","どんどん。\nまなんでく。ぞ。","0","1","102029"
"","0","102","91","","0","","","","0","102030"
"","102032","102","101","","","","","","","102031"
"0.3","1","102","6","0","1","","1","0","1","102032"
"0.3","0","102","6","0","1","","1","0","1","102033"
"","1","102","2","1","-250","","-120","","0.3","102034"
"","0","102","2","1","0","","-100","","0.3","102035"
"","0","102","22","","","","0","","","102036"
"","0.4","102","93","","","","0","","","102037"
"2.2","2","112","5","-250","52","clear_wish_talk_joy","1","0","30","112001"
"0","1","112","6","0","1","","1","0","1","112002"
"1","0","112","5","0","29","black","0","0","50","112003"
"0","0","112","6","0","1","","1","0","1","112004"
"","0","112","91","","","","","","","112005"
"0.2","1","112","6","1","1","","1","0","1","112006"
"0.2","0","112","6","1","1","","1","0","1","112007"
"","1","112","2","2","-250","","-20","","0.3","112008"
"","0","112","2","2","0","","0","","0.3","112009"
"","0.6","112","93","","","","0","","","112010"
"","vo_asb","112","21","","0","","vo_asb_1121","","0","112011"
"0","1","112","11","1","10","0","ミツキさんの出してくれた\nオリジナルのお茶、\n不思議な香りでした。","0","1","112012"
"","0","112","91","","0","","","","0","112013"
"0.2","1","112","3","","1","","clear_memoly_talk","","","112014"
"","vo_asb","112","21","","0","","vo_asb_1122","","0","112015"
"0","1","112","11","1","10","0","嗅いだだけでふわ～と、\n体が熱くなって。\nミツキさんいわく、\n滋養強壮の効果があるんだそうです。","0","1","112016"
"","0","112","91","","0","","","","0","112017"
"0.3","1","112","3","","1","","clear_surprise_talk","","","112018"
"","vo_asb","112","21","","0","","vo_asb_1123","","0","112019"
"0","1","112","11","1","10","0","なぜかお兄さんが珍しく焦った様子で、\n飲まない方がいい、と止めるので、\n香りを嗅ぐだけに\n留めておきましたけど……","0","1","112020"
"","0","112","91","","0","","","","0","112021"
"0.2","1","112","3","","1","","clear_wish_talk_normal2","","","112022"
"","vo_asb","112","21","","0","","vo_asb_1124","","0","112023"
"0","1","112","11","1","10","0","ミツキさん、\n「次はもっと効くのを\n飲ませてあげるから、\nまたいらっしゃいね」","0","1","112024"
"","0","112","91","","","","","","0","112025"
"","vo_asb","112","21","","0","","vo_asb_1125","","0","112026"
"0","1","112","11","1","10","0","って言ってくれていたので、\nまた遊びに行こうと思います。","0","1","112027"
"","0","112","91","","0","","","","0","112028"
"0.2","1","112","3","1","0","","wishToTalk","0","clear_talk_joyR","112029"
"","vo_asb","112","21","","0","","vo_asb_1126","","0","112030"
"0","1","112","11","1","10","0","ふふ……入口は怖かったですけど。\n見かけによらないんですね、\nギルドって。これも学びです♪","0","1","112031"
"","0","112","91","","0","","","","0","112032"
"","112034","112","101","","","","","","","112033"
"0.3","1","112","6","0","1","","1","0","1","112034"
"0.3","0","112","6","0","1","","1","0","1","112035"
"","1","112","2","1","-250","","-120","","0.3","112036"
"","0","112","2","1","0","","-100","","0.3","112037"
"","0","112","22","","","","0","","","112038"
"","0.4","112","93","","","","0","","","112039"
"2.2","3","122","5","-250","52","notice_loop","1","0","30","122001"
"0","1","122","6","0","1","","1","0","1","122002"
"1","0","122","5","0","29","black","0","0","50","122003"
"0","0","122","6","0","1","","1","0","1","122004"
"","0","122","91","","","","","","","122005"
"0.2","1","122","6","1","1","","1","0","1","122006"
"0.2","0","122","6","1","1","","1","0","1","122007"
"","1","122","2","2","-250","","-20","","0.3","122008"
"","0","122","2","2","0","","0","","0.3","122009"
"","0.6","122","93","","","","0","","","122010"
"","vo_asb","122","21","","0","","vo_asb_1221","","0","122011"
"0","1","122","11","1","10","0","ミツキの。\nけはい……","0","1","122012"
"","0","122","91","","0","","","","0","122013"
"0.3","1","122","3","","1","","sad_idle_surprise","","","122014"
"","vo_asb","122","21","","0","","vo_asb_1222","","0","122015"
"0","1","122","11","1","10","0","のっと。\nただもの。","0","1","122016"
"","0","122","91","","0","","","","0","122017"
"0.3","1","122","3","","1","","surprise_idle_anger_precia","","","122018"
"","vo_asb","122","21","","0","","vo_asb_1223","","0","122019"
"0","1","122","11","1","10","0","わるもの？\nせいぎ、の、みかた？","0","1","122020"
"","0","122","91","","0","","","","0","122021"
"0.2","1","122","3","1","0","","surpriseToThink_precia","0","think_idle_Ex1_precia","122022"
"","vo_asb","122","21","","0","","vo_asb_1224","","0","122023"
"0","1","122","11","1","10","0","ふくざつ。","0","1","122024"
"","0","122","91","","0","","","","0","122025"
"","122027","122","101","","","","","","","122026"
"0.3","1","122","6","0","1","","1","0","1","122027"
"0.3","0","122","6","0","1","","1","0","1","122028"
"","1","122","2","1","-250","","-120","","0.3","122029"
"","0","122","2","1","0","","-100","","0.3","122030"
"","0","122","22","","","","0","","","122031"
"","0.4","122","93","","","","0","","","122032"
"2.2","3","132","5","-250","52","lift_down_normal","1","0","30","132001"
"0","1","132","6","0","1","","1","0","1","132002"
"1","0","132","5","0","29","black","0","0","50","132003"
"0","0","132","6","0","1","","1","0","1","132004"
"","0","132","91","","","","","","","132005"
"0.2","1","132","6","1","1","","1","0","1","132006"
"0.2","0","132","6","1","1","","1","0","1","132007"
"","1","132","2","2","-250","","-20","","0.3","132008"
"","0","132","2","2","0","","0","","0.3","132009"
"","0.6","132","93","","","","0","","","132010"
"","vo_asb","132","21","","0","","vo_asb_1321","","0","132011"
"0","1","132","11","1","10","0","ぼうけん、グッズ。\nたくさん。","0","1","132012"
"","0","132","91","","0","","","","0","132013"
"0.2","1","132","3","1","0","","lift_down_shy_in","0","lift_down_shy","132014"
"","vo_asb","132","21","","0","","vo_asb_1322","","0","132015"
"0","1","132","11","1","10","0","もちきれ……ない。","0","1","132016"
"","0","132","91","","0","","","","0","132017"
"0.2","1","132","3","1","0","","lift_up_in","0","lift_up_loop","132018"
"","vo_asb","132","21","","0","","vo_asb_1323","","0","132019"
"0","1","132","11","1","10","0","でも。\nもつ。よ。","0","1","132020"
"","0","132","91","","0","","","","0","132021"
"","vo_asb","132","21","","0","","vo_asb_1324","","0","132022"
"0","1","132","11","1","10","0","これ、が。\nまもりたいもの、の。\nおもさ。","0","1","132023"
"","0","132","91","","0","","","","0","132024"
"","132026","132","101","","","","","","","132025"
"0.3","1","132","6","0","1","","1","0","1","132026"
"0.3","0","132","6","0","1","","1","0","1","132027"
"","1","132","2","1","-250","","-120","","0.3","132028"
"","0","132","2","1","0","","-100","","0.3","132029"
"","0","132","22","","","","0","","","132030"
"","0.4","132","93","","","","0","","","132031"
"2.2","1","142","5","-250","52","sad_talk_dere","1","0","30","142001"
"0","1","142","6","0","1","","1","0","1","142002"
"1","0","142","5","0","29","black","0","0","50","142003"
"0","0","142","6","0","1","","1","0","1","142004"
"","0","142","91","","","","","","","142005"
"0.2","1","142","6","1","1","","1","0","1","142006"
"0.2","0","142","6","1","1","","1","0","1","142007"
"","1","142","2","2","-250","","-20","","0.3","142008"
"","0","142","2","2","0","","0","","0.3","142009"
"","0.6","142","93","","","","0","","","142010"
"","vo_asb","142","21","","0","","vo_asb_1421","","0","142011"
"0","1","142","11","1","10","0","お礼にいただいたお弁当が、\nあまりにもおいしくて……","0","1","142012"
"","0","142","91","","0","","","","0","142013"
"0.3","1","142","3","","1","","sad_talk_joyR","","","142014"
"","vo_asb","142","21","","0","","vo_asb_1422","","0","142015"
"0","1","142","11","1","10","0","わたくしもいつか、\nあんな心のこもったお弁当を作って、\n兄様にそっとお渡しすることが\nできたら、なんて……","0","1","142016"
"","0","142","91","","0","","","","0","142017"
"0.3","1","142","3","","1","","wish_talk_nervous_riri","","","142018"
"","vo_asb","142","21","","0","","vo_asb_1423","","0","142019"
"0","1","142","11","1","10","0","まだ卵焼きすらも\n焦がしてしまう分際で、\nつい、出過ぎたことを\n夢想してしまいました。","0","1","142020"
"","0","142","91","","0","","","","0","142021"
"0.2","1","142","3","","1","","wish_talk_normal2_riri","","","142022"
"","vo_asb","142","21","","0","","vo_asb_1424","","0","142023"
"0","1","142","11","1","10","0","……でも。\n今回の冒険で、夢見ることは\n大きな力だと知りましたから。","0","1","142024"
"","0","142","91","","0","","","","0","142025"
"0.2","1","142","3","","1","","guts2_talk_riri","","","142026"
"","vo_asb","142","21","","0","","vo_asb_1425","","0","142027"
"0","1","142","11","1","10","0","いつか兄様をもお支えできる\n冒険者になることを、諦めず、\nいつまでも夢想し続けながら、\n一歩ずつ、歩みを進めていく所存です。","0","1","142028"
"","0","142","91","","0","","","","0","142029"
"","142031","142","101","","","","","","","142030"
"0.3","1","142","6","0","1","","1","0","1","142031"
"0.3","0","142","6","0","1","","1","0","1","142032"
"","1","142","2","1","-250","","-120","","0.3","142033"
"","0","142","2","1","0","","-100","","0.3","142034"
"","0","142","22","","","","0","","","142035"
"","0.4","142","93","","","","0","","","142036"
