d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278
"3","","","","2","pkb_talk_yell","","0","33","1330013","0.2"
"93","","","","3","","","","33","1330014",""
"3","pkb_idle_shock","1","","2","pkb_shock","","0","33","1330015","0.2"
"91","","","","1330011","","","","33","1330016",""
"3","","","","2","pkb_idle_normal","","1","33","1330017","0.2"
"1","170","-150","pkb_idle_normal","1","106531","1","100","34","1340001","1.6"
"1","-20","-150","pkb_idle_normal","1","113411","0","100","34","1340002","1.6"
"3","pkb_idle_arm_crossed","1","","106531","pkb_talk_arm_crossed","0.2","0","34","1340003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_13_301","","0","34","1340004",""
"11","0","0","-1","106531","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","0","8","34","1340005","0"
"93","","","","3.4","","","","34","1340006",""
"3","","","","106531","pkb_talk_normal","","1","34","1340007","0.2"
"91","","","","1340005","","","","34","1340008",""
"3","","","","106531","pkb_idle_normal","","1","34","1340009","0.2"
"3","","","","113411","pkb_talk_normal","","1","34","1340010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_13_202","","0","34","1340011",""
"11","0","0","1","113411","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","0","8","34","1340012","0"
"93","","","","1.2","","","","34","1340013",""
"3","pkb_talk_surprise1","1","","113411","pkb_surprise","0.2","0","34","1340014","0.2"
"93","","","","1","","","","34","1340015",""
"3","","","","113411","pkb_talk_joy3","","1","34","1340016","0.2"
"91","","","","1340012","","","","34","1340017",""
"3","","","","113411","pkb_idle_normal","","1","34","1340018","0.2"
"1","-20","-150","pkb_idle_normal","1","113511","0","100","35","1350001","1.6"
"1","170","-150","pkb_idle_normal","1","102311","1","100","35","1350002","1.6"
"3","","","","113511","pkb_talk_joy3","","1","35","1350003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_14_101","","0","35","1350004",""
"11","0","0","0.5","113511","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0","6","35","1350005","0"
"93","","","","5.2","","","","35","1350006",""
"3","","","","113511","pkb_talk_wish","","1","35","1350007","0.2"
"91","","","","1350005","","","","35","1350008",""
"3","","","","113511","pkb_idle_normal","","1","35","1350009","0.2"
"3","","","","102311","pkb_talk_joy1","","1","35","1350010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_14_402","","0","35","1350011",""
"11","0","0","-1","102311","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","0","8","35","1350012","0"
"93","","","","3.2","","","","35","1350013",""
"3","pkb_idle_doya","1","","102311","pkb_talk_doya","","0","35","1350014","0.2"
"91","","","","1350012","","","","35","1350015",""
"3","","","","102311","pkb_idle_normal","","1","35","1350016","0.2"
"5","170","-130","pkb_idle_normal_l","3","3","1","100","36","1360001","55"
"5","-20","-130","pkb_idle_normal","1","1","0","100","36","1360002","55"
"3","pkb_idle_arm_crossed_l","1","","3","pkb_talk_arm_crossed_l","0.2","0","36","1360003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_15_601","","0","36","1360004",""
"11","0","0","-0.5","3","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","0","8","36","1360005","0"
"91","","","","1360005","","","","36","1360006",""
"3","","","","3","pkb_idle_normal_l","","1","36","1360007","0.2"
"3","pkb_idle_guts","1","","1","pkb_talk_guts","","0","36","1360008","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_15_702","","0","36","1360009",""
"11","0","0","0","1","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","8","36","1360010","0"
"91","","","","1360010","","","","36","1360011",""
"3","","","","1","pkb_idle_normal","","1","36","1360012","0.2"
"5","-20","-130","pkb_idle_normal","1","1","0","100","37","1370001","55"
"5","170","-130","pkb_idle_normal_l","3","3","1","100","37","1370002","55"
"3","pkb_idle_guts","1","","1","pkb_talk_guts","","0","37","1370003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_16_701","","0","37","1370004",""
"11","0","0","-0.5","1","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","0","8","37","1370005","0"
"93","","","","3.2","","","","37","1370006",""
"3","pkb_idle_normal","1","","1","pkb_talk_handsup","0.2","0","37","1370007","0.2"
"91","","","","1370005","","","","37","1370008",""
"3","","","","1","pkb_idle_normal","","1","37","1370009","0.2"
"3","pkb_idle_arm_crossed_l","1","","3","pkb_talk_arm_crossed_l","0.2","0","37","1370010","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_16_602","","0","37","1370011",""
"11","0","0","1","3","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","0","8","37","1370012","0"
"93","","","","4.8","","","","37","1370013",""
"3","pkb_idle_guts_l","1","","3","pkb_talk_guts_l","","0","37","1370014","0.2"
"91","","","","1370012","","","","37","1370015",""
"3","","","","3","pkb_idle_normal_l","","1","37","1370016","0.2"
"1","170","-150","pkb_idle_normal","1","106531","1","100","38","1380001","1.6"
"5","-20","-130","pkb_idle_normal","2","2","0","100","38","1380002","55"
"3","pkb_idle_arm_crossed","1","","106531","pkb_talk_arm_crossed","0.2","0","38","1380003","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_17_301","","0","38","1380004",""
"11","0","0","-0.5","106531","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","0","8","38","1380005","0"
"93","","","","3.6","","","","38","1380006",""
"3","pkb_idle_doya","1","","106531","pkb_talk_doya","","0","38","1380007","0.2"
"93","","","","2","","","","38","1380008",""
"3","pkb_idle_normal","1","","106531","pkb_talk_handsup","0.2","0","38","1380009","0.2"
"91","","","","1380005","","","","38","1380010",""
"93","","","","1","","","","38","1380011",""
"3","","","","106531","pkb_idle_normal","","1","38","1380012","0.2"
"3","pkb_idle_shock","1","","2","pkb_shock","","0","38","1380013","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_talk_17_802","","0","38","1380014",""
"11","0","0","1","2","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","0","7","38","1380015","0"
"91","","","","1380015","","","","38","1380016",""
"3","","","","2","pkb_idle_normal","","1","38","1380017","0.2"
