b76e3a0e19179e9ca3fe91a80046b80cb1d84f7ed4d8b7dbd8f6cddd2d1ed11e,9b17253e587034083bd1d9429e0e6879c79302eaac17da3164ed623d6acb553b,3c821421d3a662e59e5f1f17e59cba083b595acf9f75b53097dab03a975d9cc9,f387850ea06c20c3e7207c9945afe752c4b056263b5b361a39be5b4e3423be0d,45341920ff2c06e3d7fc4a84064c38e16cd0f9a1180dae6fc27893d6d5ab514e,7d38dfff5d792825a092fd7c43541b28467eacc64d8ecf43aa78122d04f0999f,ddac17279ee013df83f1d3c577c059521c11f96b77cc184a2fd36d8218ec91db,e8c7e565e9a9fa1dd7e7a757b84855bc336b28fa5db402b8e1d7f7b4367c86ba,97236d7203fd47a8c798768802ee5b7e38550a6202564c5bcf2b606b10a372cf,6886248362f559593dd4506027999fd79e21d51edea2d618d19734d9d1991904,a0430ee9ca7c0c946604aa5cb44a5b2776f2300518a065bbcb39b1a18d26f7c8,44636d4272efca636c724d2ac63925046ba878de0d0c171b025ee3423bbf9992
"0","0","1009814","2","0","vo_lsv_1401","0","0","0","2","vo_lsv","100981402"
"0","160","1009814","1","0","0","0","1","0.677","3","0","100981403"
"0.7","0","1009814","4","1","0","0","0","0","4","0","100981404"
"0","270","1009814","1","0","0","0","2","1.677","5","0","100981405"
"3.5","0","1009814","4","1","0","0","0","0","6","0","100981406"
"0","0","1009814","2","0","vo_lsv_1402","0","0","0","7","vo_lsv","100981407"
"0","270","1009814","1","0","0","0","4","1.099","8","0","100981408"
"1.13","0","1009814","4","1","0","0","0","0","9","0","100981409"
"0","160","1009814","1","0","0","0","5","1.234","10","0","100981410"
"2.2","0","1009814","4","1","0","0","0","0","11","0","100981411"
"0","0","1009814","2","0","vo_lsv_1403","0","0","0","12","vo_lsv","100981412"
"0","180","1009814","1","0","0","0","6","1.37","13","0","100981413"
"2.5","0","1009814","4","1","0","0","0","0","14","0","100981414"
"0","0","1009814","2","0","vo_lsv_1404","0","0","0","15","vo_lsv","100981415"
"0","100","1009814","1","0","0","0","8","1","16","0","100981416"
"1.3","0","1009814","4","1","0","0","0","0","17","0","100981417"
"0","327","1009814","1","0","0","0","9","1.661","18","0","100981418"
"1.7","0","1009814","4","1","0","0","0","0","19","0","100981419"
"0","180","1009814","1","0","0","0","10","1.344","20","0","100981420"
"2.5","0","1009814","4","1","0","0","0","0","21","0","100981421"
"0","0","1009814","2","0","vo_lsv_1405","0","0","0","22","vo_lsv","100981422"
"0","50","1009814","1","0","0","0","12","0.82","23","0","100981423"
"1.4","0","1009814","4","1","0","0","0","0","24","0","100981424"
"0","300","1009814","1","0","0","52","12","1.83","25","0","100981425"
"0.8","0","1009815","4","1","0","0","0","0","1","0","100981501"
"0","0","1009815","2","0","vo_lsv_1501","0","0","0","2","vo_lsv","100981502"
"0","300","1009815","1","0","0","0","1","2.384","3","0","100981503"
"2.41","0","1009815","4","1","0","0","0","0","4","0","100981504"
"0","180","1009815","1","0","0","0","2","1","5","0","100981505"
"2","0","1009815","4","1","0","0","0","0","6","0","100981506"
"0","0","1009815","2","0","vo_lsv_1502","0","0","0","7","vo_lsv","100981507"
"0","300","1009815","1","0","0","0","3","1.71","8","0","100981508"
"2","0","1009815","4","1","0","0","0","0","9","0","100981509"
"0","300","1009815","1","0","0","0","4","1.369","10","0","100981510"
"1.39","0","1009815","4","1","0","0","0","0","11","0","100981511"
"0","327","1009815","1","0","0","0","5","2.431","12","0","100981512"
"2.432","0","1009815","4","1","0","0","0","0","13","0","100981513"
"0","250","1009815","1","0","0","0","6","1.164","14","0","100981514"
"2.5","0","1009815","4","1","0","0","0","0","15","0","100981515"
"0","0","1009815","2","0","vo_lsv_1503","0","0","0","16","vo_lsv","100981516"
"0","327","1009815","1","0","0","0","7","3.101","17","0","100981517"
"4.5","0","1009815","4","1","0","0","0","0","18","0","100981518"
"0","0","1009815","2","0","vo_lsv_1504","0","0","0","19","vo_lsv","100981519"
"0","327","1009815","1","0","0","0","8","2.454","20","0","100981520"
"2.484","0","1009815","4","1","0","0","0","0","21","0","100981521"
"0","150","1009815","1","0","0","0","9","0.727","22","0","100981522"
"2","0","1009815","4","1","0","0","0","0","23","0","100981523"
"0","0","1009815","2","0","vo_lsv_1505","0","0","0","24","vo_lsv","100981524"
"0","300","1009815","1","0","0","0","10","1.984","25","0","100981525"
"3","0","1009815","4","1","0","0","0","0","26","0","100981526"
"0","0","1009815","2","0","vo_lsv_1506","0","0","0","27","vo_lsv","100981527"
"0","327","1009815","1","0","0","0","12","2.1","28","0","100981528"
