c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99
"","112511","7","","1","10","1","","1070046","11","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ"
"","0","7","","","","","","1070047","91",""
"","112511","7","","","1","","0","1070048","3","omp_idle_calm"
"","112411","7","","","1","","0","1070049","3","omp_talk_joy1"
"","vo_omp_7007","7","","0","0","","","1070050","21","vo_omp_7007_007"
"","112411","7","","1","10","1","","1070051","11","リンちゃん…！"
"","0","7","","","","","","1070052","91",""
"","112611","7","","","","","","1070053","4","0"
"","112411","7","","","1","","0","1070054","3","omp_psn_20"
"","112611","7","","","1","","0","1070055","3","omp_talk_joy1"
"","vo_omp_7007","7","","0","0","","","1070056","21","vo_omp_7007_008"
"","112611","7","","1","10","1","","1070057","11","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！"
"","10","7","","","","","","1070058","93","1"
"","112611","7","","","1","","","1070059","4","0"
"","112611","7","","0","-205","1","","1070060","2","120"
"","112411","7","","0","-205","1","","1070061","2","420"
"0.1","112611","7","","omp_psn_13_loop","0","1","0","1070062","3","omp_psn_13"
"0.1","112411","7","","omp_psn_13_loop","0","1","0","1070063","3","omp_psn_13"
"0","112511","7","","omp_psn_15_loop","0","1","0","1070064","3","omp_psn_15"
"","1","7","","","","","","1070065","93","1"
"","105831","7","","omp_idle_surprise1","0","1","0","1070066","3","omp_surprise"
"","105931","7","","omp_idle_surprise1","0","1","0","1070067","3","omp_surprise"
"0.2","106031","7","","omp_idle_surprise2","0","1","0","1070068","3","omp_surprise"
"","1070057","7","","","","","","1070069","91",""
"","vo_omp_7007","7","","0","0","","","1070070","21","vo_omp_7007_009"
"","112511","7","","1","10","1","","1070071","11","ちょっ、や、やめてよ…！"
"","0","7","","","","","","1070072","91",""
"","105831","7","","","1","","","1070073","4","1"
"","105831","7","","","1","","0","1070074","3","omp_talk_joy1"
"","vo_omp_7007","7","","0","0","","","1070075","21","vo_omp_7007_010"
"","105831","7","","1","10","1","","1070076","11","キャルちゃん、\nわたしたちもやりましょう♪"
"","0","7","","","","","","1070077","91",""
"","105831","7","","","1","","0","1070078","3","omp_idle_joy1"
"","106031","7","","","1","","0","1070079","3","omp_talk_tsun"
"","vo_omp_7007","7","","0","0","","","1070080","21","vo_omp_7007_011"
"","106031","7","","1","10","1","","1070081","11","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？"
"","4","7","","","","","","1070082","93","1"
"","105831","7","","","1","","0","1070083","3","omp_walk"
"","105831","7","","1","-205","1","","1070084","2","-120"
"","0","7","","","","","","1070085","91",""
"","105831","7","","","1","","0.2","1070086","3","omp_idle_joy1"
"","1070081","7","","","","","","1070087","91",""
"","105831","7","","","1","","0","1070088","3","omp_idle_joy1"
"","106031","7","","","1","","0","1070089","3","omp_idle_tsun"
"","105931","7","","","1","","0","1070090","3","omp_talk_normal"
"","vo_omp_7007","7","","0","0","","","1070091","21","vo_omp_7007_012"
"","105931","7","","1","10","1","","1070092","11","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪"
"","0","7","","","","","","1070093","91",""
"","105831","7","","0","-205","1","","1070094","2","-120"
"","105931","7","","0","-205","1","","1070095","2","-440"
"0.1","105831","7","","omp_psn_14_loop","0","1","0","1070096","3","omp_psn_14"
"0.1","105931","7","","omp_psn_14_loop","0","1","0","1070097","3","omp_psn_14"
"0","106031","7","","omp_psn_15_loop","0","1","0","1070098","3","omp_psn_15"
"","vo_omp_7007","7","","0","0","","","1070099","21","vo_omp_7007_013"
"","105831","7","","1","10","1","","1070100","11","ぎゅう～♪"
"","0","7","","","","","","1070101","91",""
"","106031","7","","","1","","0","1070102","3","omp_psn_16_loop"
"","vo_omp_7007","7","","0","0","","","1070103","21","vo_omp_7007_014"
"","106031","7","","1","10","1","","1070104","11","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？"
"","0","7","","","","","","1070105","91",""
"","112611","7","","","1","","0","1070106","3","omp_psn_13_loop"
"","vo_omp_7007","7","","0","0","","","1070107","21","vo_omp_7007_015"
"","112611","7","","1","10","1","","1070108","11","わー！\nキャルキャル～！"
"","0","7","","","","","","1070109","91",""
"","112611","7","","","1","","0","1070110","3","omp_psn_13_loop"
"","112411","7","","","1","","0","1070111","3","omp_psn_13_loop"
"","vo_omp_7007","7","","0","0","","","1070112","21","vo_omp_7007_016"
"","112411","7","","1","10","1","","1070113","11","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！"
"","0","7","","","","","","1070114","91",""
"","112411","7","","","1","","0","1070115","3","omp_psn_13_loop"
"","112511","7","","","1","","0","1070116","3","omp_psn_15_loop"
"","vo_omp_7007","7","","0","0","","","1070117","21","vo_omp_7007_017"
"","112511","7","","1","10","1","","1070118","11","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！"
"","5.5","7","","","","","","1070119","93","1"
"","112511","7","","","1","","0.1","1070120","3","omp_psn_16_loop"
"","1070118","7","","","","","","1070121","91",""
"","0.4","7","","","","","","1070122","93",""
"1","1","8","omp_idle_normal","200","1600","-195","1.8","1080001","1","105831"
"0","1","8","omp_talk_normal","0","1500","-185","1.8","1080002","1","105931"
"0","1","8","omp_idle_normal","-200","1600","-205","1.8","1080003","1","106031"
"","1","8","","0","0","1","1","1080004","31","1"
"","1","8","","","","","","1080005","93",""
"","vo_omp_7008","8","","0","0","","","1080006","21","vo_omp_7008_000"
"","105931","8","","1","10","1","","1080007","11","ムーサの町…初めて訪れましたが\n素敵な町でございますね"
"","0","8","","","","","","1080008","91",""
"","105931","8","","","1","","0","1080009","3","omp_idle_normal"
"","105831","8","","","1","","0","1080010","3","omp_talk_joy1"
"","vo_omp_7008","8","","0","0","","","1080011","21","vo_omp_7008_001"
"","105831","8","","1","10","1","","1080012","11","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆"
"","0","8","","","","","","1080013","91",""
"","105831","8","","","1","","0","1080014","3","omp_idle_joy1"
"","106031","8","","","1","","0","1080015","3","omp_talk_sad"
"","vo_omp_7008","8","","0","0","","","1080016","21","vo_omp_7008_002"
"","106031","8","","1","10","1","","1080017","11","はぁ。本当にあんたの頭の中は\n食べることばっかりね"
"","0","8","","","","","","1080018","91",""
"","106031","8","","","1","","0","1080019","3","omp_idle_sad"
"","105931","8","","","1","","0","1080020","3","omp_talk_normal"
"","vo_omp_7008","8","","0","0","","","1080021","21","vo_omp_7008_003"
"","105931","8","","1","10","1","","1080022","11","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました"
"","0","8","","","","","","1080023","91",""
"","105931","8","","","1","","0","1080024","3","omp_idle_normal"
"","106031","8","","","1","","0","1080025","3","omp_talk_surprise1"
"","vo_omp_7008","8","","0","0","","","1080026","21","vo_omp_7008_004"
"","106031","8","","1","10","1","","1080027","11","コロ助まで！？"
"","0","8","","","","","","1080028","91",""
"","106031","8","","","1","","0","1080029","3","omp_idle_surprise1"
"","105831","8","","","1","","0","1080030","3","omp_talk_normal"
"","vo_omp_7008","8","","0","0","","","1080031","21","vo_omp_7008_005"
"","105831","8","","1","10","1","","1080032","11","キャルちゃんはどうしますか～？"
"","0","8","","","","","","1080033","91",""
"","105931","8","","","","","","1080034","4","1"
"","105831","8","","","1","","0","1080035","3","omp_idle_normal"
"","106031","8","","","1","","0","1080036","3","omp_talk_tsun"
"","vo_omp_7008","8","","0","0","","","1080037","21","vo_omp_7008_006"
"","106031","8","","1","10","1","","1080038","11","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね"
"","0","8","","","","","","1080039","91",""
"","106031","8","","","1","","0","1080040","3","omp_idle_tsun"
"","105931","8","","","1","","0","1080041","3","omp_talk_normal"
"","vo_omp_7008","8","","0","0","","","1080042","21","vo_omp_7008_007"
"","105931","8","","1","10","1","","1080043","11","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪"
"","0","8","","","","","","1080044","91",""
"","105931","8","","","","","","1080045","4","0"
"","105931","8","","","1","","0","1080046","3","omp_idle_normal"
"","105831","8","","","1","","0","1080047","3","omp_talk_joy1"
"","vo_omp_7008","8","","0","0","","","1080048","21","vo_omp_7008_008"
"","105831","8","","1","10","1","","1080049","11","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！"
"","0","8","","","","","","1080050","91",""
"","0.4","8","","","","","","1080051","93",""
"1","1","9","omp_idle_normal","300","1600","-270","1.8","1090001","1","105831"
"1","1","9","omp_idle_normal","450","1700","-285","1.8","1090002","1","105931"
"1","1","9","omp_idle_normal","-310","1600","-230","1.8","1090003","1","106031"
"1","1","9","omp_idle_normal","-45","1500","-190","1.8","1090004","1","112511"
"1","1","9","omp_idle_normal","65","1600","-240","1.8","1090005","1","112411"
"1","1","9","omp_idle_normal","205","1500","-192","1.8","1090006","1","112611"
"","1","9","","0","0","1","1","1090007","31","1"
"","0.2","9","","","","","","1090008","93",""
"","112611","9","","","1","","0.1","1090009","3","omp_idle_normal"
"","106031","9","","","1","","0","1090010","3","omp_talk_sad"
"","112511","9","","","1","","0.1","1090011","3","omp_idle_normal"
"","105831","9","","","1","","0.1","1090012","3","omp_idle_normal"
"","0.1","9","","","","","","1090013","93",""
"","1","9","","","","","","1090014","93",""
"","vo_omp_7009","9","","0","0","","","1090015","21","vo_omp_7009_000"
"","106031","9","","1","10","1","","1090016","11","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！"
"","0","9","","","","","","1090017","91",""
"","106031","9","","","0","","0","1090018","3","omp_psn_17"
"","vo_omp_7009","9","","0","0","","","1090019","21","vo_omp_7009_001"
"","106031","9","","1","10","1","","1090020","11","…きゃるきゃるーん\nなんて、にゃ"
"","2","9","","","","","","1090021","93","1"
"","106031","9","","","1","","0.2","1090022","3","omp_talk_sad"
"","1090020","9","","","","","","1090023","91",""
"","106031","9","","","1","","0","1090024","3","omp_idle_sad"
"0.2","105831","9","","omp_idle_joy1","0","1","0","1090025","3","omp_psn_17"
"","vo_omp_7009","9","","0","0","","","1090026","21","vo_omp_7009_002"
"","105831","9","","1","10","1","","1090027","11","きゃるきゃるーん♪"
"","0","9","","","","","","1090028","91",""
"0.2","105931","9","","omp_idle_normal","1","1","0","1090029","3","omp_psn_17"
"","vo_omp_7009","9","","0","0","","","1090030","21","vo_omp_7009_003"
"","105931","9","","1","10","1","","1090031","11","きゃるきゃるーん、でございますにゃ"
"","0","9","","","","","","1090032","91",""
"","106031","9","","","","","","1090033","4","0"
"0","106031","9","","omp_idle_surprise1","0","1","0","1090034","3","omp_surprise"
"","vo_omp_7009","9","","0","0","","","1090035","21","vo_omp_7009_004"
"","106031","9","","1","10","1","","1090036","11","なっ、あんたたち！？\nい、今のっ、見てっ…！？"
"","0","9","","","","","","1090037","91",""
"0.2","112611","9","","omp_idle_joy1","1","1","0","1090038","3","omp_psn_17_other"
"","vo_omp_7009","9","","0","0","","","1090039","21","vo_omp_7009_005"
"","112611","9","","1","10","1","","1090040","11","きゃっるきゃる～ん♪\n華麗に登場にゃ☆"
"","0","9","","","","","","1090041","91",""
"","106031","9","","","1","","0","1090042","3","omp_talk_anger2"
"","vo_omp_7009","9","","0","0","","","1090043","21","vo_omp_7009_006"
"","106031","9","","1","10","1","","1090044","11","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！"
"","0","9","","","","","","1090045","91",""
"","106031","9","","","1","","0","1090046","3","omp_idle_anger2"
"","112411","9","","","1","","0","1090047","3","omp_talk_sad"
"","vo_omp_7009","9","","0","0","","","1090048","21","vo_omp_7009_007"
"","112411","9","","1","10","1","","1090049","11","キャ、キャルちゃん。えっと、その…"
"","0","9","","","","","","1090050","91",""
"","112411","9","","","1","","0","1090051","3","omp_idle_sad"
"","112511","9","","","1","","0","1090052","3","omp_talk_normal"
"","vo_omp_7009","9","","0","0","","","1090053","21","vo_omp_7009_008"
"","112511","9","","1","10","1","","1090054","11","大変だね"
"","0","9","","","","","","1090055","91",""
"","112511","9","","","1","","0","1090056","3","omp_idle_normal"
"","106031","9","","","1","","0","1090057","3","omp_talk_tsun"
"","vo_omp_7009","9","","0","0","","","1090058","21","vo_omp_7009_009"
"","106031","9","","1","10","1","","1090059","11","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！"
"","0","9","","","","","","1090060","91",""
"","106031","9","","","1","","0","1090061","3","omp_idle_tsun"
"","112511","9","","","1","","0","1090062","3","omp_talk_normal"
"","vo_omp_7009","9","","0","0","","","1090063","21","vo_omp_7009_010"
"","112511","9","","1","10","1","","1090064","11","でもあれ、かわいかったと思うけど"
"","0","9","","","","","","1090065","91",""
"","112511","9","","","1","","0","1090066","3","omp_idle_normal"
"","112411","9","","","1","","0","1090067","3","omp_talk_joy2"
"","vo_omp_7009","9","","0","0","","","1090068","21","vo_omp_7009_011"
"","112411","9","","1","10","1","","1090069","11","はい！　とっても素敵でした！"
"","0","9","","","","","","1090070","91",""
"","112411","9","","","1","","0","1090071","3","omp_psn_20"
"","106031","9","","","1","","0","1090072","3","omp_talk_tsun"
"","vo_omp_7009","9","","0","0","","","1090073","21","vo_omp_7009_012"
"","106031","9","","1","10","1","","1090074","11","そんなのうれしくないわよ～っ！？"
"","0","9","","","","","","1090075","91",""
"","106031","9","","","1","","0","1090076","3","omp_idle_tsun"
"0.2","105831","9","","omp_idle_joy1","0","1","0","1090077","3","omp_psn_17"
"0.2","105931","9","","omp_idle_normal","0","1","0","1090078","3","omp_psn_17"
"0.2","112611","9","","omp_idle_joy1","0","1","0","1090079","3","omp_psn_17_other"
"","vo_omp_7009","9","","0","0","","","1090080","21","vo_omp_7009_013"
"","105831","9","","1","10","1","","1090081","11","きゃるきゃるーん♪"
"","0","9","","","","","","1090082","91",""
"","106031","9","","","1","","0","1090083","3","omp_talk_anger2"
"","vo_omp_7009","9","","0","0","","","1090084","21","vo_omp_7009_014"
"","106031","9","","1","10","1","","1090085","11","絶対にぶっ殺す～～～～～～～！"
"","0","9","","","","","","1090086","91",""
"","0.4","9","","","","","","1090087","93",""
