9a1bc38fbb2882c7b829bdd6b684189070fd106c04b5a5c94d7b31699175d9bc,d7c7fad7f5831ce662fe9c7ceaef9ade0e250e2a099e7991b1738492c452b909,ed5a851cface13d6c5694949b61529de767cbd032c91e5a8fbe7bbb3cb463668,772612226f1160e20917fdd4660bf32e753ab006a84b63aa74f575cde35d1cb2,a6ff0183179235ee059191c5c0d01c331258cf86e40a4a212227285ed056d614,70fa518994ce482e697699947d9bfd125dbc97303010d90bd355bc9079a615ff,18cce0860c025ee6cb9d82c139a98b0b5c0290b203306e4006646a4d2a5bcbde,ea5561d1c3b59da1430c17d3fe7fc631026fad50e590a0917e699923d2b03ea3,76cd657a8fc97e653990886f28cfdad4f0b07668c282d28e56e801ee9b761423,3c9a2f689245ebd49de2bfcb309788537a624107ac0f133e380204617142da4c,764ea2a5f7c41a0ef880ffc5614d3e083ab0937f328f3e9f852f4b3bbdee9081
"psy_fairy_talk","0.2","1","","7005","","7","","1","","3"
"vo_minigame_1008_drama_9902","","0","0","7006","","7","","vo_minigame_1008","","21"
"キュキュッ！","0","6","1","7007","0","7","0","1","0.5","11"
"","","","","7008","","7","","0","","91"
"psy_fairy_idle","0.2","1","","7009","","7","","1","","3"
"psy_miyako_talk3","0.2","1","","7010","","7","","119931","","3"
"vo_minigame_1008_drama_0702","","0","0","7011","","7","","vo_minigame_1008","","21"
"うるさいの！　じゃまするななの！\nミヤコは究極のプリンを考えるのに\n忙しいの！","0","6","1","7012","0","7","0","119931","1","11"
"1","","","","7013","","7","","3","","93"
"psy_miyako_arm_crossed_in","0.2","0","psy_miyako_arm_crossed_loop","7014","1","7","0","119931","","3"
"","","","","7015","","7","","7012","","91"
"0","","","","7016","","7","","0","","22"
"psy_fairy_talk","0.2","1","","7017","","7","","1","","3"
"vo_minigame_1008_drama_9903","","0","0","7018","","7","","vo_minigame_1008","","21"
"キュ～キュ～！","0","6","1","7019","0","7","0","1","0.5","11"
"","","","","7020","","7","","0","","91"
"psy_fairy_idle","0.2","1","","7021","","7","","1","","3"
"psy_miyako_anger2","0.2","1","","7022","","7","","119931","","3"
"vo_minigame_1008_drama_0704","","0","0","7023","","7","","vo_minigame_1008","","21"
"そんなこと言われても知らないの！","0","6","1","7024","0","7","0","119931","0.5","11"
"","","","","7025","","7","","0","","91"
"0","","","","7026","","7","","0","","22"
"psy_miyako_thinking3","0.2","1","","7027","","7","","119931","","3"
"vo_minigame_1008_drama_0705","","0","0","7028","","7","","vo_minigame_1008","","21"
"ん～～……\nでも、試してみるのもよさそうなの。\nミヤコはやさしいから\nオマエの言うことを聞いてやるの！","0","5","1","7029","0","7","0","119931","0.5","11"
"1","","","","7030","","7","","5","","93"
"psy_miyako_doya_in","0.2","0","psy_miyako_doya_loop","7031","1","7","0","119931","","3"
"","","","","7032","","7","","7029","","91"
"0","","","","7033","","7","","0","","22"
"","","","","7034","","7","","1","","93"
"","","","","7035","","7","","0","","91"
"119931","1.7","100","-300","8001","-200","8","0","1","psy_miyako_start","1"
"100411","1.7","100","225","8002","-210","8","1","1","psy_walk2","1"
"103631","1.7","105","480","8003","-220","8","1","1","psy_walk3","1"
"102011","1.7","110","340","8004","-235","8","1","1","psy_walk_glad","1"
"11","1","0","0","8005","1","8","","1","","31"
"1","1.7","101","-300","8006","-200","8","0","1","psy_smoke_start","5"
"110","","-210","2","8007","0","8","","100411","","2"
"365","","-220","2.2","8008","0","8","","103631","","2"
"225","","-235","2.3","8009","0","8","","102011","","2"
"","","","","8010","","8","","2","","93"
"psy_idle_normal","0.2","1","","8011","","8","","100411","","3"
"","","","","8012","","8","","0.2","","93"
"psy_idle_normal","0.2","1","","8013","","8","","103631","","3"
"","","","","8014","","8","","0.1","","93"
"psy_talk_joy1","0.2","1","","8015","","8","","102011","","3"
"vo_minigame_1008_drama_0806","","0","0","8016","","8","","vo_minigame_1008","","21"
"おにいちゃん、遊びにきたよ～\nあれ～？　お留守なのかな？","0","8","1","8017","0","8","0","102011","0.5","11"
"","","","","8018","","8","","0","","91"
"psy_idle_joy1","0.2","1","","8019","","8","","102011","","3"
"psy_miyako_appear","0","0","psy_miyako_talk1","8020","1","8","0.2","119931","","3"
"psy_smoke_appear","0","0","psy_smoke_start","8021","0","8","0","1","","3"
"vo_minigame_1008_drama_0801","","0","0","8022","","8","","vo_minigame_1008","","21"
"ん？　アイツに何か用なの？","0","6","1","8023","0","8","0","119931","0.5","11"
"","","","","8024","","8","","0","","91"
"0","","","","8025","","8","","0","","22"
"psy_miyako_idle","0.2","1","","8026","","8","","119931","","3"
"psy_talk_surprise2","0.2","1","","8027","","8","","103631","","3"
"vo_minigame_1008_drama_0807","","0","0","8028","","8","","vo_minigame_1008","","21"
"きゃ～！？　おばけ！！","0","8","1","8029","0","8","0","103631","0.5","11"
"","","","","8030","","8","","0","","91"
"psy_idle_surprise2","0.2","1","","8031","","8","","103631","","3"
"psy_talk_joy2","0.2","1","","8032","","8","","100411","","3"
"vo_minigame_1008_drama_0808","","0","0","8033","","8","","vo_minigame_1008","","21"
"すごーい！\nにいちゃんがしかけたイタズラかな？\nにいちゃん、隠れてないで出てきなよ～","0","8","1","8034","0","8","0","100411","0.5","11"
"","","","","8035","","8","","0","","91"
"psy_idle_joy2","0.2","1","","8036","","8","","100411","","3"
"psy_miyako_panic2","0.2","1","","8037","","8","","119931","","3"
"vo_minigame_1008_drama_0802","","0","0","8038","","8","","vo_minigame_1008","","21"
"ミヤコはイタズラじゃないの。\n幽霊なの。\nあとアイツは今はいないの。","0","6","1","8039","0","8","0","119931","1","11"
"1","","","","8040","","8","","3","","93"
"psy_miyako_talk2","0.2","1","","8041","","8","","119931","","3"
"","","","","8042","","8","","8039","","91"
"0","","","","8043","","8","","0","","22"
"psy_miyako_idle","0.2","1","","8044","","8","","119931","","3"
"psy_talk_wish","0.2","1","","8045","","8","","100411","","3"
"vo_minigame_1008_drama_0809","","0","0","8046","","8","","vo_minigame_1008","","21"
"いないの？\nそれなら今のうちにイタズラを……","0","8","1","8047","0","8","0","100411","0.5","11"
"","","","","8048","","8","","0","","91"
"psy_idle_wish","0.2","1","","8049","","8","","100411","","3"
"psy_talk_anger","0.2","1","","8050","","8","","103631","","3"
"vo_minigame_1008_drama_0810","","0","0","8051","","8","","vo_minigame_1008","","21"
"お店でそんなことしちゃダメでしょ！\nというか、なんでミソギは平気なの？\n幽霊が出たんだよ？","0","8","1","8052","0","8","0","103631","0.5","11"
"","","","","8053","","8","","0","","91"
"psy_idle_anger","0.2","1","","8054","","8","","103631","","3"
"psy_talk_normal","0.2","1","","8055","","8","","100411","","3"
"0","","","","8056","","8","","100411","","4"
"vo_minigame_1008_drama_0811","","0","0","8057","","8","","vo_minigame_1008","","21"
"だってにいちゃんの友だちみたいだし。\nそれに全然怖くないもん。","0","8","1","8058","0","8","0","100411","0.5","11"
"","","","","8059","","8","","0","","91"
"1","","","","8060","","8","","100411","","4"
"psy_idle_normal","0.2","1","","8061","","8","","100411","","3"
"psy_talk_joy1","0.2","1","","8062","","8","","102011","","3"
"vo_minigame_1008_drama_0812","","0","0","8063","","8","","vo_minigame_1008","","21"
"おにいちゃんが帰ってくるまで\n一緒に遊ぼ～","0","8","1","8064","0","8","0","102011","0.5","11"
"","","","","8065","","8","","0","","91"
"psy_idle_joy1","0.2","1","","8066","","8","","102011","","3"
"psy_miyako_anger3","0.2","1","","8067","","8","","119931","","3"
"vo_minigame_1008_drama_0803","","0","0","8068","","8","","vo_minigame_1008","","21"
"遊ばないの。\nミヤコはプリン作りで忙しいの！","0","6","1","8069","0","8","0","119931","0.5","11"
"","","","","8070","","8","","0","","91"
"0","","","","8071","","8","","0","","22"
"psy_miyako_idle_anger","0.2","1","","8072","","8","","119931","","3"
"psy_talk_joy2","0.2","1","","8073","","8","","102011","","3"
"vo_minigame_1008_drama_0813","","0","0","8074","","8","","vo_minigame_1008","","21"
"プリン作り？　わぁ、楽しそう～\nミミも一緒にやっていい？","0","8","1","8075","0","8","0","102011","0.5","11"
"","","","","8076","","8","","0","","91"
"psy_idle_joy2","0.2","1","","8077","","8","","102011","","3"
"psy_miyako_doya_in","0.2","0","psy_miyako_doya_loop","8078","1","8","0","119931","","3"
"vo_minigame_1008_drama_0804","","0","0","8079","","8","","vo_minigame_1008","","21"
"ミヤコの言うこと聞くなら\n手伝わせてやってもいいの。","0","6","1","8080","0","8","0","119931","0.5","11"
"","","","","8081","","8","","0","","91"
"0","","","","8082","","8","","0","","22"
"psy_miyako_doya_idle","0.2","1","","8083","","8","","119931","","3"
"psy_jump","0.2","0","psy_idle_joy1","8084","1","8","0.4","102011","","3"
"vo_minigame_1008_drama_0814","","0","0","8085","","8","","vo_minigame_1008","","21"
"わ～い！　やった～！","0","8","1","8086","0","8","0","102011","0.5","11"
"","","","","8087","","8","","0","","91"
"psy_talk_joy2","0.2","1","","8088","","8","","100411","","3"
"vo_minigame_1008_drama_0815","","0","0","8089","","8","","vo_minigame_1008","","21"
"にいちゃんにイタズラする用のプリン\n作っちゃお～！","0","8","1","8090","0","8","0","100411","0.5","11"
"","","","","8091","","8","","0","","91"
"psy_idle_joy2","0.2","1","","8092","","8","","100411","","3"
"psy_talk_sad","0.2","1","","8093","","8","","103631","","3"
"vo_minigame_1008_drama_0816","","0","0","8094","","8","","vo_minigame_1008","","21"
"そ、そんな……\n幽霊とプリン作りなんて……","0","8","1","8095","0","8","0","103631","0.5","11"
"","","","","8096","","8","","0","","91"
"psy_idle_sad","0.2","1","","8097","","8","","103631","","3"
"psy_talk_normal","0.2","1","","8098","","8","","100411","","3"
"0","","","","8099","","8","","100411","","4"
"0","","","","8100","","8","","102011","","4"
"vo_minigame_1008_drama_0817","","0","0","8101","","8","","vo_minigame_1008","","21"
"キョウカはやらないの？","0","8","1","8102","0","8","0","100411","0.5","11"
"","","","","8103","","8","","0","","91"
"psy_idle_normal","0.2","1","","8104","","8","","100411","","3"
"psy_talk_joy2","0.2","1","","8105","","8","","102011","","3"
"vo_minigame_1008_drama_0818","","0","0","8106","","8","","vo_minigame_1008","","21"
"ミミ、キョウカちゃんと一緒に\nプリン作りたいな～","0","8","1","8107","0","8","0","102011","0.5","11"
"","","","","8108","","8","","0","","91"
"psy_idle_joy2","0.2","1","","8109","","8","","102011","","3"
"psy_talk_sad","0.2","1","","8110","","8","","103631","","3"
"vo_minigame_1008_drama_0819","","0","0","8111","","8","","vo_minigame_1008","","21"
"うぅ……わかったよ、\n私も一緒に作ります。","0","8","1","8112","0","8","0","103631","0.5","11"
"","","","","8113","","8","","0","","91"
"psy_idle_sad","0.2","1","","8114","","8","","103631","","3"
"psy_miyako_joy1","0.2","1","","8115","","8","","119931","","3"
"vo_minigame_1008_drama_0805","","0","0","8116","","8","","vo_minigame_1008","","21"
"やったの！\n手下が一気に３人も増えたの！","0","6","1","8117","0","8","0","119931","0.5","11"
"","","","","8118","","8","","0","","91"
"0","","","","8119","","8","","0","","22"
"","","","","8120","","8","","1","","93"
"","","","","8121","","8","","0","","91"
"119931","1.7","100","-300","9001","-200","9","0","1","psy_miyako_idle","1"
"1","1.7","100","185","9002","-220","9","1","1","psy_idle_normal","5"
"11","1","0","0","9003","1","9","","1","","31"
"","","","","9004","","9","","1","","93"
"psy_miyako_thinking4","0.2","1","","9005","","9","","119931","","3"
"vo_minigame_1008_drama_0901","","0","0","9006","","9","","vo_minigame_1008","","21"
"むぅ……おいしいプリンを作るのは\nなかなか難しいの。\nミヤコのアイデアもなくなりそうなの！","0","5","1","9007","0","9","0","119931","1","11"
"1","","","","9008","","9","","6","","93"
"psy_miyako_sad2","0.2","1","","9009","","9","","119931","","3"
"","","","","9010","","9","","9007","","91"
"0","","","","9011","","9","","0","","22"
"psy_miyako_talk_joy1","0.2","1","","9012","","9","","119931","","3"
"vo_minigame_1008_drama_0902","","0","0","9013","","9","","vo_minigame_1008","","21"
"オマエ、たくさん知り合いいるの。\n何かプリンのヒントになるようなものを\n持ってくるの！","0","6","1","9014","0","9","0","119931","0.5","11"
"1","","","","9015","","9","","6","","93"
"psy_miyako_guts2_in","0.2","0","psy_miyako_guts2_loop","9016","1","9","0","119931","","3"
"","","","","9017","","9","","9014","","91"
"0","","","","9018","","9","","0","","22"
"11","0","1","0","9019","0","9","0","1","0","12"
"psy_talk_guts2","0.2","0","psy_idle_guts2","9020","1","9","0","1","","3"
"","","","","9021","","9","","2","","93"
"0","","","","9022","","9","","1","","4"
"psy_run","0.2","1","","9023","","9","","1","","3"
"1000","","-220","3","9024","0","9","","1","","2"
"","","","","9025","","9","","4","","93"
"1","","","","9026","","9","","1","","4"
"psy_item01_run","0.2","1","","9027","","9","","1","","3"
"185","","-220","3","9028","0","9","","1","","2"
"","","","","9029","","9","","3","","93"
"psy_item01_up","0.2","0","psy_item01_up_loop","9030","1","9","0","1","","3"
"","","","","9031","","9","","0.5","","93"
"9033","","0","","9032","","9","","手錠とムチを持ってきた。","","103"
"psy_miyako_anger2","0.2","1","","9033","","9","","119931","","3"
"vo_minigame_1008_drama_0903","","0","0","9034","","9","","vo_minigame_1008","","21"
"い、いきなり何を持ってくるの！\nオマエはヘンタイなの！？\n見損なったの！","0","6","1","9035","0","9","0","119931","0.5","11"
"","","","","9036","","9","","0","","91"
"0","","","","9037","","9","","0","","22"
"10","0","2","0","9038","0","9","0","1","0","12"
"psy_item01_up_loop_talk","0.2","1","","9039","","9","","1","","3"
"","","","","9040","","9","","3","","93"
"psy_item01_up_loop","0.2","1","","9041","","9","","1","","3"
"psy_miyako_thinking4","0.2","1","","9042","","9","","119931","","3"
"vo_minigame_1008_drama_0904","","0","0","9043","","9","","vo_minigame_1008","","21"
"…………え？\n手錠とムチを持ってる知り合いが\nいるの？\nオマエ、本当に大丈夫なの？","0","5","1","9044","0","9","0","119931","0.5","11"
"1","","","","9045","","9","","6","","93"
"psy_miyako_talk4","0.2","1","","9046","","9","","119931","","3"
"","","","","9047","","9","","9044","","91"
"0","","","","9048","","9","","0","","22"
"","","","","9049","","9","","1","","93"
"","","","","9050","","9","","0","","91"
"119931","1.7","100","-300","10001","-200","10","0","1","psy_miyako_idle","1"
"1","1.7","100","1000","10002","-220","10","1","1","psy_idle_normal","5"
"11","1","0","0","10003","1","10","","1","","31"
"","","","","10004","","10","","2","","93"
"psy_item02_run","0.2","1","","10005","","10","","1","","3"
"185","","-220","3","10006","0","10","","1","","2"
"","","","","10007","","10","","3","","93"
"psy_item02_up","0.2","0","psy_item02_up_loop","10008","1","10","0","1","","3"
"","","","","10009","","10","","0.5","","93"
"10011","","0","","10010","","10","","ヒントになりそうなものだよ。","","103"
"psy_miyako_anger3","0.2","1","","10011","","10","","119931","","3"
"vo_minigame_1008_drama_1001","","0","0","10012","","10","","vo_minigame_1008","","21"
"また変なもの持ってきたら許さないの！\n……ん？　木の実？\nまともなもの持ってきたの！\n褒めてやるの！","0","5","1","10013","0","10","0","119931","0.5","11"
"1","","","","10014","","10","","4","","93"
"psy_miyako_talk2","0.2","1","","10015","","10","","119931","","3"
"1","","","","10016","","10","","2.5","","93"
"psy_miyako_talk_joy1","0.2","1","","10017","","10","","119931","","3"
"","","","","10018","","10","","10013","","91"
"0","","","","10019","","10","","0","","22"
"psy_miyako_thinking1","0.2","1","","10020","","10","","119931","","3"
"vo_minigame_1008_drama_1002","","0","0","10021","","10","","vo_minigame_1008","","21"
"でもなんの実なの？\nドングリはわかるけど、\nこっちの赤い実は知らないの。","0","5","1","10022","0","10","0","119931","0.5","11"
"","","","","10023","","10","","0","","91"
"0","","","","10024","","10","","0","","22"
"6","0","3","0","10025","0","10","0","1","0","12"
"psy_item02_up_loop_talk","0.2","1","","10026","","10","","1","","3"
"","","","","10027","","10","","3","","93"
"psy_item02_up_loop","0.2","1","","10028","","10","","1","","3"
"psy_miyako_sad1","0.2","1","","10029","","10","","119931","","3"
"vo_minigame_1008_drama_1003","","0","0","10030","","10","","vo_minigame_1008","","21"
"食べると火を吹く実？\nなんでそんな危ない物持ってきたの！\nやっぱりオマエは使えないの～！","0","6","1","10031","0","10","0","119931","0.5","11"
"1","","","","10032","","10","","3","","93"
"psy_miyako_anger2","0.2","1","","10033","","10","","119931","","3"
"","","","","10034","","10","","10031","","91"
"0","","","","10035","","10","","0","","22"
"","","","","10036","","10","","1","","93"
"","","","","10037","","10","","0","","91"
"119931","1.7","100","-300","11001","-200","11","0","1","psy_miyako_idle","1"
"1","1.7","100","1000","11002","-220","11","1","1","psy_idle_normal","5"
"11","1","0","0","11003","1","11","","1","","31"
"","","","","11004","","11","","2","","93"
"psy_item03_run","0.2","1","","11005","","11","","1","","3"
"185","","-220","3","11006","0","11","","1","","2"
"","","","","11007","","11","","3","","93"
"psy_item03_up","0.2","0","psy_item03_up_loop","11008","1","11","0","1","","3"
"","","","","11009","","11","","0.5","","93"
"11011","","0","","11010","","11","","ヒントになりそうなものだよ。","","103"
"psy_miyako_talk3","0.2","1","","11011","","11","","119931","","3"
"vo_minigame_1008_drama_1101","","0","0","11012","","11","","vo_minigame_1008","","21"
"３度目の正直ってやつなの？\n今度こそまともなもの持ってこないと\nオマエをプリンにしてやるの。","0","6","1","11013","0","11","0","119931","1","11"
"1","","","","11014","","11","","4","","93"
"psy_miyako_panic3","0.2","1","","11015","","11","","119931","","3"
"","","","","11016","","11","","11013","","91"
"0","","","","11017","","11","","0","","22"
"psy_miyako_thinking1","0.2","1","","11018","","11","","119931","","3"
"vo_minigame_1008_drama_1102","","0","0","11019","","11","","vo_minigame_1008","","21"
"それで、オマエが手に持ってる紙は\nなんなの？\nおいしいプリンのレシピなの？","0","6","1","11020","0","11","0","119931","0.5","11"
"","","","","11021","","11","","0","","91"
"0","","","","11022","","11","","0","","22"
"11024","","0","","11023","","11","","台本とシフト表","","103"
"psy_miyako_talk4","0.2","1","","11024","","11","","119931","","3"
"vo_minigame_1008_drama_1103","","0","0","11025","","11","","vo_minigame_1008","","21"
"……プリン作りに\nまったく役立たないの。\nオマエに頼ったミヤコが間違ってたの。","0","6","1","11026","0","11","0","119931","0.5","11"
"","","","","11027","","11","","0","","91"
"0","","","","11028","","11","","0","","22"
"psy_miyako_sad1","0.2","1","","11029","","11","","119931","","3"
"vo_minigame_1008_drama_1104","","0","0","11030","","11","","vo_minigame_1008","","21"
"これもオマエの知り合いに関係あるの？\nオマエの知り合いは\n変なヤツばっかりなの！","0","6","1","11031","0","11","0","119931","0.5","11"
"","","","","11032","","11","","0","","91"
"0","","","","11033","","11","","0","","22"
"psy_miyako_talk_joy1","0.2","1","","11034","","11","","119931","","3"
"vo_minigame_1008_drama_1105","","0","0","11035","","11","","vo_minigame_1008","","21"
"でもミヤコはやさしいから、\nオマエの使えないヒントからでも\nおいしいプリンを作ってやるの！\n感謝するの！","0","6","1","11036","0","11","0","119931","0.5","11"
"1","","","","11037","","11","","5","","93"
"psy_miyako_doya_in","0.2","0","psy_miyako_doya_loop","11038","1","11","0","119931","","3"
"","","","","11039","","11","","11036","","91"
"0","","","","11040","","11","","0","","22"
"","","","","11041","","11","","1.5","","93"
"","","","","11042","","11","","0","","91"
