3a897e4c6bf961cd24701ba5f84d70871c6c7c7bd97a0df7f585dcf4c504ec4d,60a6c44509dfb69c586fc277ed8e24e9ffb8b610a5f9c367525832a3f0f870f2,493e36e6b12842038df30256122abb3a30a8d7cad9f776ec4344aef9903ad97f,d78d13baac055cbd2618d8e32d6dfa50effe5462276b11f9ec79bb47836c339d,191a8995c03f89382af7276341c586d8302a1298d27a3e2690201b8aea4c4f91,7e970fb76fa240ed2da9e196c028319185fa0495d837e0ad891798aa7d08b42d,a68b4dcbd46eef2f9f4a582782a883540ad0cf0d817a71eb8c40a685623294d6,8b9feb42c5f4e2f682505b4afe1264a010736b3d6655422dd5acff55283afa9f,d4bc27f843aa1abc5b45e024f00afa5714cacb27b31c4c7d58c168a1287484b3,b4b869cc190ff56372ae441e67d37f01330f86db48de22acdc0cdb3241215dce,d94e5b2fa87b126aae1b37e966c43ba8c79bd7f72ed8b133f81f913a7d726eae
"0","","","35","","","","","91","1350013",""
"1","5","03_uek_cmn_idol_def_N","36","0","102531","105","110","1","1360001","1.3"
"1","10","03_uek_cmn_idol_def_N","36","0","102831","10","100","1","1360002","1.3"
"1","","","36","","","","","93","1360003",""
"102531","1","","36","0","03_uek_36_suzume","03_uek_36_suzume_loop","0","3","1360004","0"
"102831","1","","36","0","03_uek_36_saren","03_uek_36_saren_loop","0","3","1360005","0"
"0","","","36","","","","","91","1360006",""
"102531","0","","36","","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","0","10","11","1360007",""
"0","","","36","","","","","91","1360008",""
"102831","0","","36","","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","0","10","11","1360009",""
"1","-22","01_uek_cmn_idol_def_N","37","0","112531","-118","100","1","1370001","1.3"
"1","0","01_uek_cmn_idol_def_N","37","0","112431","0","100","1","1370002","1.3"
"1","0","01_uek_27_tamaki_loop","37","1","112631","179","100","1","1370003","1.3"
"112631","0","","37","","01_uek_27_tamaki_loop","","0","3","1370004",""
"0","","","37","","","","","91","1370005",""
"112631","0","","37","","01_uek_27_tamaki_loop","","0","3","1370006",""
"0","","","37","","","","","91","1370007",""
"112631","0","","37","","01_uek_27_tamaki_loop","","0","3","1370008",""
"0","","","37","","","","","91","1370009",""
"112631","0","","37","","01_uek_cmn_pose06","","1","3","1370010","0.5"
"112631","0","","37","","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","0","10","11","1370011",""
"0","","","37","","","","","91","1370012",""
"112531","1","","37","","01_uek_35_rei","01_uek_35_rei_loop","0","3","1370013",""
"112531","0","","37","","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","0","10","11","1370014",""
"0","","","37","","","","","91","1370015",""
"112631","0","","37","","01_uek_cmn_idol_def_N","","1","3","1370016","0.2"
"112431","1","","37","","01_uek_37_uduki","01_uek_16_uduki_loop","0","3","1370017",""
"112431","0","","37","","あの星みたいに\n私たちも\n輝きたいですね！","0","10","11","1370018",""
"0","","","37","","","","","91","1370019",""
"101","1","","101","","14","30","0","31","11010001","1"
"111","1","","111","","11","150","0","31","11110001","1"
"112","1","","112","","12","150","0","31","11120001","1"
"113","1","","113","","13","125","0","31","11130001","1"
