c2d6d457216042105cda0b337014fc1b49058412c53e1138ff86f2f9b6737e9f,56e83d7cc51dfcb26ff1ef5e8b7f915f54a42bda6c4594339bce34c533e18a4b,1dab03593664219a65f27f46ebf2b4672f3ae028d3f037813652e2303885f24b,71e1161cd4b8bb2f65f107b5a4bdd13b27a8fd29bf06a78f0ec5329dd01118bb,191ea56ef78d3a0c4ead88a759250666165bda2055d5362bccbb3e25b6633e1f,24d38475efbd5df6b98c0c08c8ceb85902d665296c48458ca39d3fb45f493e46,5a8e4ad2ad40d1756c28a7aa7983d7115898feb79fc948836f70ed018212de99,dcd5a4956e07b51e4b282d79e6715c4accc6a416aee9834830f6b2d3210ddcfb,11ee577293d0466273db3ec87672b22a3e231739f82fb97c024ca4e57fcc755b,993965ac6ed13f28f2d37bca63bf310cdef1ecfa9add7361aaa07f0df4b5adfd,ac5aa0e404b82001a139ebedecc12f55b3cc79a987e4f70a35ab6e5a0df2cf50,44a382350d9b8390851dddfe1f0baf2d59cfb66ab1a197c2da73999d723806e1
"0","1009814","1","0","4","0.8","0","0","1","0","0","100981401"
"0","1009814","0","vo_lsv","2","0","0","0","2","vo_lsv_1401","0","100981402"
"1","1009814","0","0","1","0","0.677","160","3","0","0","100981403"
"0","1009814","1","0","4","0.7","0","0","4","0","0","100981404"
"2","1009814","0","0","1","0","1.677","270","5","0","0","100981405"
"0","1009814","1","0","4","3.5","0","0","6","0","0","100981406"
"0","1009814","0","vo_lsv","2","0","0","0","7","vo_lsv_1402","0","100981407"
"4","1009814","0","0","1","0","1.099","270","8","0","0","100981408"
"0","1009814","1","0","4","1.13","0","0","9","0","0","100981409"
"5","1009814","0","0","1","0","1.234","160","10","0","0","100981410"
"0","1009814","1","0","4","2.2","0","0","11","0","0","100981411"
"0","1009814","0","vo_lsv","2","0","0","0","12","vo_lsv_1403","0","100981412"
"6","1009814","0","0","1","0","1.37","180","13","0","0","100981413"
"0","1009814","1","0","4","2.5","0","0","14","0","0","100981414"
"0","1009814","0","vo_lsv","2","0","0","0","15","vo_lsv_1404","0","100981415"
"8","1009814","0","0","1","0","1","100","16","0","0","100981416"
"0","1009814","1","0","4","1.3","0","0","17","0","0","100981417"
"9","1009814","0","0","1","0","1.661","327","18","0","0","100981418"
"0","1009814","1","0","4","1.7","0","0","19","0","0","100981419"
"10","1009814","0","0","1","0","1.344","180","20","0","0","100981420"
"0","1009814","1","0","4","2.5","0","0","21","0","0","100981421"
"0","1009814","0","vo_lsv","2","0","0","0","22","vo_lsv_1405","0","100981422"
"12","1009814","0","0","1","0","0.82","50","23","0","0","100981423"
"0","1009814","1","0","4","1.4","0","0","24","0","0","100981424"
"12","1009814","0","0","1","0","1.83","300","25","0","52","100981425"
"0","1009815","1","0","4","0.8","0","0","1","0","0","100981501"
"0","1009815","0","vo_lsv","2","0","0","0","2","vo_lsv_1501","0","100981502"
"1","1009815","0","0","1","0","2.384","300","3","0","0","100981503"
"0","1009815","1","0","4","2.41","0","0","4","0","0","100981504"
"2","1009815","0","0","1","0","1","180","5","0","0","100981505"
"0","1009815","1","0","4","2","0","0","6","0","0","100981506"
"0","1009815","0","vo_lsv","2","0","0","0","7","vo_lsv_1502","0","100981507"
"3","1009815","0","0","1","0","1.71","300","8","0","0","100981508"
"0","1009815","1","0","4","2","0","0","9","0","0","100981509"
"4","1009815","0","0","1","0","1.369","300","10","0","0","100981510"
"0","1009815","1","0","4","1.39","0","0","11","0","0","100981511"
"5","1009815","0","0","1","0","2.431","327","12","0","0","100981512"
"0","1009815","1","0","4","2.432","0","0","13","0","0","100981513"
"6","1009815","0","0","1","0","1.164","250","14","0","0","100981514"
"0","1009815","1","0","4","2.5","0","0","15","0","0","100981515"
"0","1009815","0","vo_lsv","2","0","0","0","16","vo_lsv_1503","0","100981516"
"7","1009815","0","0","1","0","3.101","327","17","0","0","100981517"
"0","1009815","1","0","4","4.5","0","0","18","0","0","100981518"
"0","1009815","0","vo_lsv","2","0","0","0","19","vo_lsv_1504","0","100981519"
"8","1009815","0","0","1","0","2.454","327","20","0","0","100981520"
"0","1009815","1","0","4","2.484","0","0","21","0","0","100981521"
"9","1009815","0","0","1","0","0.727","150","22","0","0","100981522"
"0","1009815","1","0","4","2","0","0","23","0","0","100981523"
"0","1009815","0","vo_lsv","2","0","0","0","24","vo_lsv_1505","0","100981524"
"10","1009815","0","0","1","0","1.984","300","25","0","0","100981525"
"0","1009815","1","0","4","3","0","0","26","0","0","100981526"
"0","1009815","0","vo_lsv","2","0","0","0","27","vo_lsv_1506","0","100981527"
"12","1009815","0","0","1","0","2.1","327","28","0","0","100981528"
