8fd30c3a32f5661c3d5093d4b9bc494ae2ca3f2c4c728e9134517f573af7ce89,e1c4450a69229507a0ef866f508e0400328edb6a4c69f3fe83ae713dcc56dc96,6d358a4f5224a827831dac7e4214197a2e55eb2450a6f227563e627cde8af1a9,9cbf96b29d9421bcfe5a4b4b18e427446252100d457b93651eaf07adb7957c8d,0c498e90b0d5c4d13f0621b4cc71e0e7e5b9e63d396ed4ad73506d35ea46e6ca,91ac056b8d1af82333ee0c17e45f1ad5407bb85e7e444b7e436499b5b35eacce,44f8c6d0f6ae8d2b7fc0643db5c4ff56b9c8dc2723e3206994879148ca73ed61,5715b300989ad23dbbd77af7ec710eedaa133cd98c1b74173d45c83851e6c579,6fa5880f6a0e3d9d83d55638a620b0bdf45df23b35c5121cb001b6bb323434ed
"2","320120206","0","1","-74","520","40","502012201","0.7"
"3","320120206","0","2","10","521","67","502012203","1"
"1","320120206","0","3","43.5","522","11","0","0.65"
"2","320120207","0","1","-98","523","50","502012206","0.7"
"3","320120207","0","2","0","524","72","502012208","1"
"1","320120207","0","3","49","525","13","0","0.65"
"1","320120208","0","1","10","526","30","0","1.2"
"1","320120209","0","1","40","527","40","0","0.9"
"1","320120210","0","1","-20","528","-35","0","1.1"
"2","320120306","0","1","-74","529","40","502012301","0.7"
"3","320120306","0","2","10","530","67","502012303","1"
"1","320120306","0","3","43.5","531","11","0","0.65"
"2","320120307","0","1","-98","532","50","502012306","0.7"
"3","320120307","0","2","0","533","72","502012308","1"
"1","320120307","0","3","49","534","13","0","0.65"
"1","320120308","0","1","10","535","30","0","1.2"
"1","320120309","0","1","40","536","40","0","0.9"
"1","320120310","0","1","-20","537","-35","0","1.1"
"2","320120406","0","1","-74","538","40","502012401","0.7"
"3","320120406","0","2","10","539","67","502012403","1"
"1","320120406","0","3","43.5","540","11","0","0.65"
"2","320120407","0","1","-98","541","50","502012406","0.7"
"3","320120407","0","2","0","542","72","502012408","1"
"1","320120407","0","3","49","543","13","0","0.65"
"1","320120408","0","1","10","544","30","0","1.2"
"1","320120409","0","1","40","545","40","0","0.9"
"1","320120410","0","1","-20","546","-35","0","1.1"
"2","320120506","0","1","-74","547","40","502012501","0.7"
"3","320120506","0","2","10","548","67","502012503","1"
"1","320120506","0","3","43.5","549","11","0","0.65"
"2","320120507","0","1","-98","550","50","502012506","0.7"
"3","320120507","0","2","0","551","72","502012508","1"
"1","320120507","0","3","49","552","13","0","0.65"
"1","320120508","0","1","10","553","30","0","1.2"
"1","320120509","0","1","40","554","40","0","0.9"
"1","320120510","0","1","-20","555","-35","0","1.1"
