33e48417c7ffea85e535f28ce03fa495d04b20ed87fb8104e81b9483a75db540,c88fa09f56d49a4ebb1a96cdd76cb2d18d4ad9a8b38d9ddaef19fcf3b8407962,9a849f1650e1793198234b266df8623bc5ef3061c72fdda6ab27e69fdd0a2b3d,765e0334e7811770c13ca7edf939d4f586df65b016d69cf027fcdca007c6c779,ee479fb7d273d545d5a5db236e1e60c3faddb48a87478b462c90deaddd9e2107,7aef675eaaf901fc1d2edbebe2f58a8a9139a18cf14327491261b406edabe06e,8659c1d9418b7a3cf364668084773a973dcfa5a277f7bd05544622d88411f602,f296daca9f9ee3a52f712cb9c11bd19eec81436b5636376cdc1e1a50ed46d4f2,390169fdf689f8fccf68b68ba820dd1980f777014d0e2a581fe23b7f684da12e,8de3b7a67dcabe21bac7c347bc035c5cde9e4e038189858bd67d4537cb9875e1,9e9fdaed5dc4e6b02e5e55a4f61ea93a618cabb5fee872092a935e77d0dfbb54
"1","1070046","10","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","","11","112511","7","1","",""
"","1070047","","","","91","0","7","","",""
"","1070048","1","omp_idle_calm","","3","112511","7","","0",""
"","1070049","1","omp_talk_joy1","","3","112411","7","","0",""
"0","1070050","0","vo_omp_7007_007","","21","vo_omp_7007","7","","",""
"1","1070051","10","リンちゃん…！","","11","112411","7","1","",""
"","1070052","","","","91","0","7","","",""
"","1070053","","0","","4","112611","7","","",""
"","1070054","1","omp_psn_20","","3","112411","7","","0",""
"","1070055","1","omp_talk_joy1","","3","112611","7","","0",""
"0","1070056","0","vo_omp_7007_008","","21","vo_omp_7007","7","","",""
"1","1070057","10","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","","11","112611","7","1","",""
"","1070058","","1","","93","10","7","","",""
"","1070059","1","0","","4","112611","7","","",""
"0","1070060","-205","120","","2","112611","7","1","",""
"0","1070061","-205","420","","2","112411","7","1","",""
"omp_psn_13_loop","1070062","0","omp_psn_13","0.1","3","112611","7","1","0",""
"omp_psn_13_loop","1070063","0","omp_psn_13","0.1","3","112411","7","1","0",""
"omp_psn_15_loop","1070064","0","omp_psn_15","0","3","112511","7","1","0",""
"","1070065","","1","","93","1","7","","",""
"omp_idle_surprise1","1070066","0","omp_surprise","","3","105831","7","1","0",""
"omp_idle_surprise1","1070067","0","omp_surprise","","3","105931","7","1","0",""
"omp_idle_surprise2","1070068","0","omp_surprise","0.2","3","106031","7","1","0",""
"","1070069","","","","91","1070057","7","","",""
"0","1070070","0","vo_omp_7007_009","","21","vo_omp_7007","7","","",""
"1","1070071","10","ちょっ、や、やめてよ…！","","11","112511","7","1","",""
"","1070072","","","","91","0","7","","",""
"","1070073","1","1","","4","105831","7","","",""
"","1070074","1","omp_talk_joy1","","3","105831","7","","0",""
"0","1070075","0","vo_omp_7007_010","","21","vo_omp_7007","7","","",""
"1","1070076","10","キャルちゃん、\nわたしたちもやりましょう♪","","11","105831","7","1","",""
"","1070077","","","","91","0","7","","",""
"","1070078","1","omp_idle_joy1","","3","105831","7","","0",""
"","1070079","1","omp_talk_tsun","","3","106031","7","","0",""
"0","1070080","0","vo_omp_7007_011","","21","vo_omp_7007","7","","",""
"1","1070081","10","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","","11","106031","7","1","",""
"","1070082","","1","","93","4","7","","",""
"","1070083","1","omp_walk","","3","105831","7","","0",""
"1","1070084","-205","-120","","2","105831","7","1","",""
"","1070085","","","","91","0","7","","",""
"","1070086","1","omp_idle_joy1","","3","105831","7","","0.2",""
"","1070087","","","","91","1070081","7","","",""
"","1070088","1","omp_idle_joy1","","3","105831","7","","0",""
"","1070089","1","omp_idle_tsun","","3","106031","7","","0",""
"","1070090","1","omp_talk_normal","","3","105931","7","","0",""
"0","1070091","0","vo_omp_7007_012","","21","vo_omp_7007","7","","",""
"1","1070092","10","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","","11","105931","7","1","",""
"","1070093","","","","91","0","7","","",""
"0","1070094","-205","-120","","2","105831","7","1","",""
"0","1070095","-205","-440","","2","105931","7","1","",""
"omp_psn_14_loop","1070096","0","omp_psn_14","0.1","3","105831","7","1","0",""
"omp_psn_14_loop","1070097","0","omp_psn_14","0.1","3","105931","7","1","0",""
"omp_psn_15_loop","1070098","0","omp_psn_15","0","3","106031","7","1","0",""
"0","1070099","0","vo_omp_7007_013","","21","vo_omp_7007","7","","",""
"1","1070100","10","ぎゅう～♪","","11","105831","7","1","",""
"","1070101","","","","91","0","7","","",""
"","1070102","1","omp_psn_16_loop","","3","106031","7","","0",""
"0","1070103","0","vo_omp_7007_014","","21","vo_omp_7007","7","","",""
"1","1070104","10","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","","11","106031","7","1","",""
"","1070105","","","","91","0","7","","",""
"","1070106","1","omp_psn_13_loop","","3","112611","7","","0",""
"0","1070107","0","vo_omp_7007_015","","21","vo_omp_7007","7","","",""
"1","1070108","10","わー！\nキャルキャル～！","","11","112611","7","1","",""
"","1070109","","","","91","0","7","","",""
"","1070110","1","omp_psn_13_loop","","3","112611","7","","0",""
"","1070111","1","omp_psn_13_loop","","3","112411","7","","0",""
"0","1070112","0","vo_omp_7007_016","","21","vo_omp_7007","7","","",""
"1","1070113","10","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","","11","112411","7","1","",""
"","1070114","","","","91","0","7","","",""
"","1070115","1","omp_psn_13_loop","","3","112411","7","","0",""
"","1070116","1","omp_psn_15_loop","","3","112511","7","","0",""
"0","1070117","0","vo_omp_7007_017","","21","vo_omp_7007","7","","",""
"1","1070118","10","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","","11","112511","7","1","",""
"","1070119","","1","","93","5.5","7","","",""
"","1070120","1","omp_psn_16_loop","","3","112511","7","","0.1",""
"","1070121","","","","91","1070118","7","","",""
"","1070122","","","","93","0.4","7","","",""
"200","1080001","1600","105831","1","1","1","8","-195","1.8","omp_idle_normal"
"0","1080002","1500","105931","0","1","1","8","-185","1.8","omp_talk_normal"
"-200","1080003","1600","106031","0","1","1","8","-205","1.8","omp_idle_normal"
"0","1080004","0","1","","31","1","8","1","1",""
"","1080005","","","","93","1","8","","",""
"0","1080006","0","vo_omp_7008_000","","21","vo_omp_7008","8","","",""
"1","1080007","10","ムーサの町…初めて訪れましたが\n素敵な町でございますね","","11","105931","8","1","",""
"","1080008","","","","91","0","8","","",""
"","1080009","1","omp_idle_normal","","3","105931","8","","0",""
"","1080010","1","omp_talk_joy1","","3","105831","8","","0",""
"0","1080011","0","vo_omp_7008_001","","21","vo_omp_7008","8","","",""
"1","1080012","10","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","","11","105831","8","1","",""
"","1080013","","","","91","0","8","","",""
"","1080014","1","omp_idle_joy1","","3","105831","8","","0",""
"","1080015","1","omp_talk_sad","","3","106031","8","","0",""
"0","1080016","0","vo_omp_7008_002","","21","vo_omp_7008","8","","",""
"1","1080017","10","はぁ。本当にあんたの頭の中は\n食べることばっかりね","","11","106031","8","1","",""
"","1080018","","","","91","0","8","","",""
"","1080019","1","omp_idle_sad","","3","106031","8","","0",""
"","1080020","1","omp_talk_normal","","3","105931","8","","0",""
"0","1080021","0","vo_omp_7008_003","","21","vo_omp_7008","8","","",""
"1","1080022","10","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","","11","105931","8","1","",""
"","1080023","","","","91","0","8","","",""
"","1080024","1","omp_idle_normal","","3","105931","8","","0",""
"","1080025","1","omp_talk_surprise1","","3","106031","8","","0",""
"0","1080026","0","vo_omp_7008_004","","21","vo_omp_7008","8","","",""
"1","1080027","10","コロ助まで！？","","11","106031","8","1","",""
"","1080028","","","","91","0","8","","",""
"","1080029","1","omp_idle_surprise1","","3","106031","8","","0",""
"","1080030","1","omp_talk_normal","","3","105831","8","","0",""
"0","1080031","0","vo_omp_7008_005","","21","vo_omp_7008","8","","",""
"1","1080032","10","キャルちゃんはどうしますか～？","","11","105831","8","1","",""
"","1080033","","","","91","0","8","","",""
"","1080034","","1","","4","105931","8","","",""
"","1080035","1","omp_idle_normal","","3","105831","8","","0",""
"","1080036","1","omp_talk_tsun","","3","106031","8","","0",""
"0","1080037","0","vo_omp_7008_006","","21","vo_omp_7008","8","","",""
"1","1080038","10","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","","11","106031","8","1","",""
"","1080039","","","","91","0","8","","",""
"","1080040","1","omp_idle_tsun","","3","106031","8","","0",""
"","1080041","1","omp_talk_normal","","3","105931","8","","0",""
"0","1080042","0","vo_omp_7008_007","","21","vo_omp_7008","8","","",""
"1","1080043","10","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","","11","105931","8","1","",""
"","1080044","","","","91","0","8","","",""
"","1080045","","0","","4","105931","8","","",""
"","1080046","1","omp_idle_normal","","3","105931","8","","0",""
"","1080047","1","omp_talk_joy1","","3","105831","8","","0",""
"0","1080048","0","vo_omp_7008_008","","21","vo_omp_7008","8","","",""
"1","1080049","10","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","","11","105831","8","1","",""
"","1080050","","","","91","0","8","","",""
"","1080051","","","","93","0.4","8","","",""
"300","1090001","1600","105831","1","1","1","9","-270","1.8","omp_idle_normal"
"450","1090002","1700","105931","1","1","1","9","-285","1.8","omp_idle_normal"
"-310","1090003","1600","106031","1","1","1","9","-230","1.8","omp_idle_normal"
"-45","1090004","1500","112511","1","1","1","9","-190","1.8","omp_idle_normal"
"65","1090005","1600","112411","1","1","1","9","-240","1.8","omp_idle_normal"
"205","1090006","1500","112611","1","1","1","9","-192","1.8","omp_idle_normal"
"0","1090007","0","1","","31","1","9","1","1",""
"","1090008","","","","93","0.2","9","","",""
"","1090009","1","omp_idle_normal","","3","112611","9","","0.1",""
"","1090010","1","omp_talk_sad","","3","106031","9","","0",""
"","1090011","1","omp_idle_normal","","3","112511","9","","0.1",""
"","1090012","1","omp_idle_normal","","3","105831","9","","0.1",""
"","1090013","","","","93","0.1","9","","",""
"","1090014","","","","93","1","9","","",""
"0","1090015","0","vo_omp_7009_000","","21","vo_omp_7009","9","","",""
"1","1090016","10","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","","11","106031","9","1","",""
"","1090017","","","","91","0","9","","",""
"","1090018","0","omp_psn_17","","3","106031","9","","0",""
"0","1090019","0","vo_omp_7009_001","","21","vo_omp_7009","9","","",""
"1","1090020","10","…きゃるきゃるーん\nなんて、にゃ","","11","106031","9","1","",""
"","1090021","","1","","93","2","9","","",""
"","1090022","1","omp_talk_sad","","3","106031","9","","0.2",""
"","1090023","","","","91","1090020","9","","",""
"","1090024","1","omp_idle_sad","","3","106031","9","","0",""
"omp_idle_joy1","1090025","0","omp_psn_17","0.2","3","105831","9","1","0",""
"0","1090026","0","vo_omp_7009_002","","21","vo_omp_7009","9","","",""
"1","1090027","10","きゃるきゃるーん♪","","11","105831","9","1","",""
"","1090028","","","","91","0","9","","",""
"omp_idle_normal","1090029","1","omp_psn_17","0.2","3","105931","9","","0",""
"0","1090030","0","vo_omp_7009_003","","21","vo_omp_7009","9","","",""
"1","1090031","10","きゃるきゃるーん、でございますにゃ","","11","105931","9","1","",""
"","1090032","","","","91","0","9","","",""
"","1090033","","0","","4","106031","9","","",""
"omp_idle_surprise1","1090034","0","omp_surprise","0","3","106031","9","1","0",""
"0","1090035","0","vo_omp_7009_004","","21","vo_omp_7009","9","","",""
"1","1090036","10","なっ、あんたたち！？\nい、今のっ、見てっ…！？","","11","106031","9","1","",""
"","1090037","","","","91","0","9","","",""
"omp_idle_joy1","1090038","1","omp_psn_17_other","0.2","3","112611","9","","0",""
"0","1090039","0","vo_omp_7009_005","","21","vo_omp_7009","9","","",""
"1","1090040","10","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","","11","112611","9","1","",""
"","1090041","","","","91","0","9","","",""
"","1090042","1","omp_talk_anger2","","3","106031","9","","0",""
"0","1090043","0","vo_omp_7009_006","","21","vo_omp_7009","9","","",""
"1","1090044","10","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","","11","106031","9","1","",""
"","1090045","","","","91","0","9","","",""
"","1090046","1","omp_idle_anger2","","3","106031","9","","0",""
"","1090047","1","omp_talk_sad","","3","112411","9","","0",""
"0","1090048","0","vo_omp_7009_007","","21","vo_omp_7009","9","","",""
"1","1090049","10","キャ、キャルちゃん。えっと、その…","","11","112411","9","1","",""
"","1090050","","","","91","0","9","","",""
"","1090051","1","omp_idle_sad","","3","112411","9","","0",""
"","1090052","1","omp_talk_normal","","3","112511","9","","0",""
"0","1090053","0","vo_omp_7009_008","","21","vo_omp_7009","9","","",""
"1","1090054","10","大変だね","","11","112511","9","1","",""
"","1090055","","","","91","0","9","","",""
"","1090056","1","omp_idle_normal","","3","112511","9","","0",""
"","1090057","1","omp_talk_tsun","","3","106031","9","","0",""
"0","1090058","0","vo_omp_7009_009","","21","vo_omp_7009","9","","",""
"1","1090059","10","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","","11","106031","9","1","",""
"","1090060","","","","91","0","9","","",""
"","1090061","1","omp_idle_tsun","","3","106031","9","","0",""
"","1090062","1","omp_talk_normal","","3","112511","9","","0",""
"0","1090063","0","vo_omp_7009_010","","21","vo_omp_7009","9","","",""
"1","1090064","10","でもあれ、かわいかったと思うけど","","11","112511","9","1","",""
"","1090065","","","","91","0","9","","",""
"","1090066","1","omp_idle_normal","","3","112511","9","","0",""
"","1090067","1","omp_talk_joy2","","3","112411","9","","0",""
"0","1090068","0","vo_omp_7009_011","","21","vo_omp_7009","9","","",""
"1","1090069","10","はい！　とっても素敵でした！","","11","112411","9","1","",""
"","1090070","","","","91","0","9","","",""
"","1090071","1","omp_psn_20","","3","112411","9","","0",""
"","1090072","1","omp_talk_tsun","","3","106031","9","","0",""
"0","1090073","0","vo_omp_7009_012","","21","vo_omp_7009","9","","",""
"1","1090074","10","そんなのうれしくないわよ～っ！？","","11","106031","9","1","",""
"","1090075","","","","91","0","9","","",""
"","1090076","1","omp_idle_tsun","","3","106031","9","","0",""
"omp_idle_joy1","1090077","0","omp_psn_17","0.2","3","105831","9","1","0",""
"omp_idle_normal","1090078","0","omp_psn_17","0.2","3","105931","9","1","0",""
"omp_idle_joy1","1090079","0","omp_psn_17_other","0.2","3","112611","9","1","0",""
"0","1090080","0","vo_omp_7009_013","","21","vo_omp_7009","9","","",""
"1","1090081","10","きゃるきゃるーん♪","","11","105831","9","1","",""
"","1090082","","","","91","0","9","","",""
"","1090083","1","omp_talk_anger2","","3","106031","9","","0",""
"0","1090084","0","vo_omp_7009_014","","21","vo_omp_7009","9","","",""
"1","1090085","10","絶対にぶっ殺す～～～～～～～！","","11","106031","9","1","",""
"","1090086","","","","91","0","9","","",""
"","1090087","","","","93","0.4","9","","",""
