adfca8b45739638dad6ef9881c6c8275b6f5c054af919cc3e905f6be45dfeea2,20d0e94cb87a9ab78b896f1f08cbd4cb83b1850e86d6aa7f1a09aeec6e80b786,6d9e4e0cc2d4df47a6e4fda63757f3ae7fd1cd79344104e369d4ae209d0c772a,9d399c0a7cae78e90c5c4c583f37e868c84c297a95437f817a56dc18b268e44b,e4af8cbd9a081c6f83a9a5c4e6da445707663aae06f8ab740d0082b8334c21a8
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501110","闇属性ボーナス特大アップ","607"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501110","物理防御力（ダウン不可）アップ","608"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501110","魔法防御力（ダウン不可）アップ","609"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501110","ＴＰダウンカット","610"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501110","ダメージ減衰","611"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501110","ＴＰ上昇上限付与","612"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501110","ＨＰ吸収ダウン","613"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501120","闇属性ボーナス特大アップ","614"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501120","物理防御力（ダウン不可）アップ","615"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501120","魔法防御力（ダウン不可）アップ","616"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501120","ＴＰダウンカット","617"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501120","ダメージ減衰","618"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501120","ＴＰ上昇上限付与","619"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501120","ＨＰ吸収ダウン","620"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501130","闇属性ボーナス特大アップ","621"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501130","物理防御力（ダウン不可）アップ","622"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501130","魔法防御力（ダウン不可）アップ","623"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501130","ＴＰダウンカット","624"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501130","ダメージ減衰","625"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501130","ＴＰ上昇上限付与","626"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501130","ＨＰ吸収ダウン","627"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501140","闇属性ボーナス特大アップ","628"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501140","物理防御力（ダウン不可）アップ","629"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501140","魔法防御力（ダウン不可）アップ","630"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501140","ＴＰダウンカット","631"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501140","ダメージ減衰","632"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501140","ＴＰ上昇上限付与","633"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501140","ＨＰ吸収ダウン","634"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501210","闇属性ボーナス特大アップ","635"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501210","物理防御力（ダウン不可）アップ","636"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501210","魔法防御力（ダウン不可）アップ","637"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501210","ＴＰダウンカット","638"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501210","ダメージ減衰","639"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501210","ＴＰ上昇上限付与","640"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501210","ＨＰ吸収ダウン","641"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501220","闇属性ボーナス特大アップ","642"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501220","物理防御力（ダウン不可）アップ","643"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501220","魔法防御力（ダウン不可）アップ","644"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501220","ＴＰダウンカット","645"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501220","ダメージ減衰","646"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501220","ＴＰ上昇上限付与","647"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501220","ＨＰ吸収ダウン","648"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501230","闇属性ボーナス特大アップ","649"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501230","物理防御力（ダウン不可）アップ","650"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501230","魔法防御力（ダウン不可）アップ","651"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501230","ＴＰダウンカット","652"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501230","ダメージ減衰","653"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501230","ＴＰ上昇上限付与","654"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501230","ＨＰ吸収ダウン","655"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501240","闇属性ボーナス特大アップ","656"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501240","物理防御力（ダウン不可）アップ","657"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501240","魔法防御力（ダウン不可）アップ","658"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501240","ＴＰダウンカット","659"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501240","ダメージ減衰","660"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501240","ＴＰ上昇上限付与","661"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501240","ＨＰ吸収ダウン","662"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501310","闇属性ボーナス特大アップ","663"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501310","物理防御力（ダウン不可）アップ","664"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501310","魔法防御力（ダウン不可）アップ","665"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501310","ＴＰダウンカット","666"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501310","ダメージ減衰","667"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501310","ＴＰ上昇上限付与","668"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501310","ＨＰ吸収ダウン","669"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501320","闇属性ボーナス特大アップ","670"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501320","物理防御力（ダウン不可）アップ","671"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501320","魔法防御力（ダウン不可）アップ","672"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501320","ＴＰダウンカット","673"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501320","ダメージ減衰","674"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501320","ＴＰ上昇上限付与","675"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501320","ＨＰ吸収ダウン","676"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501330","闇属性ボーナス特大アップ","677"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501330","物理防御力（ダウン不可）アップ","678"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501330","魔法防御力（ダウン不可）アップ","679"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501330","ＴＰダウンカット","680"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501330","ダメージ減衰","681"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501330","ＴＰ上昇上限付与","682"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501330","ＨＰ吸収ダウン","683"
"16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501340","闇属性ボーナス特大アップ","684"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501340","物理防御力（ダウン不可）アップ","685"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501340","魔法防御力（ダウン不可）アップ","686"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501340","ＴＰダウンカット","687"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501340","ダメージ減衰","688"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501340","ＴＰ上昇上限付与","689"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501340","ＨＰ吸収ダウン","690"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414010","水属性ボーナス特大アップ","691"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414010","物理防御力（ダウン不可）アップ","692"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414010","魔法防御力（ダウン不可）アップ","693"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414010","ＴＰ上昇上限付与","694"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414010","ＨＰ吸収ダウン","695"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414020","水属性ボーナス特大アップ","696"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414020","物理防御力（ダウン不可）アップ","697"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414020","魔法防御力（ダウン不可）アップ","698"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414020","ＴＰ上昇上限付与","699"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414020","ＨＰ吸収ダウン","700"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414030","水属性ボーナス特大アップ","701"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414030","物理防御力（ダウン不可）アップ","702"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414030","魔法防御力（ダウン不可）アップ","703"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414030","ＴＰ上昇上限付与","704"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414030","ＨＰ吸収ダウン","705"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414110","水属性ボーナス特大アップ","706"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414110","物理防御力（ダウン不可）アップ","707"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414110","魔法防御力（ダウン不可）アップ","708"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414110","ＴＰダウンカット","709"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414110","ダメージ減衰","710"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414110","ＴＰ上昇上限付与","711"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414110","ＨＰ吸収ダウン","712"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414120","水属性ボーナス特大アップ","713"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414120","物理防御力（ダウン不可）アップ","714"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414120","魔法防御力（ダウン不可）アップ","715"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414120","ＴＰダウンカット","716"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414120","ダメージ減衰","717"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414120","ＴＰ上昇上限付与","718"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414120","ＨＰ吸収ダウン","719"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414130","水属性ボーナス特大アップ","720"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414130","物理防御力（ダウン不可）アップ","721"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414130","魔法防御力（ダウン不可）アップ","722"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414130","ＴＰダウンカット","723"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414130","ダメージ減衰","724"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414130","ＴＰ上昇上限付与","725"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414130","ＨＰ吸収ダウン","726"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414140","水属性ボーナス特大アップ","727"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414140","物理防御力（ダウン不可）アップ","728"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414140","魔法防御力（ダウン不可）アップ","729"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414140","ＴＰダウンカット","730"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414140","ダメージ減衰","731"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414140","ＴＰ上昇上限付与","732"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414140","ＨＰ吸収ダウン","733"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414210","水属性ボーナス特大アップ","734"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414210","物理防御力（ダウン不可）アップ","735"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414210","魔法防御力（ダウン不可）アップ","736"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414210","ＴＰダウンカット","737"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414210","ダメージ減衰","738"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414210","ＴＰ上昇上限付与","739"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414210","ＨＰ吸収ダウン","740"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414220","水属性ボーナス特大アップ","741"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414220","物理防御力（ダウン不可）アップ","742"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414220","魔法防御力（ダウン不可）アップ","743"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414220","ＴＰダウンカット","744"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414220","ダメージ減衰","745"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414220","ＴＰ上昇上限付与","746"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414220","ＨＰ吸収ダウン","747"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414230","水属性ボーナス特大アップ","748"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414230","物理防御力（ダウン不可）アップ","749"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414230","魔法防御力（ダウン不可）アップ","750"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414230","ＴＰダウンカット","751"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414230","ダメージ減衰","752"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414230","ＴＰ上昇上限付与","753"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414230","ＨＰ吸収ダウン","754"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414240","水属性ボーナス特大アップ","755"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414240","物理防御力（ダウン不可）アップ","756"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414240","魔法防御力（ダウン不可）アップ","757"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414240","ＴＰダウンカット","758"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414240","ダメージ減衰","759"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414240","ＴＰ上昇上限付与","760"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414240","ＨＰ吸収ダウン","761"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414310","水属性ボーナス特大アップ","762"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414310","物理防御力（ダウン不可）アップ","763"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414310","魔法防御力（ダウン不可）アップ","764"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414310","ＴＰダウンカット","765"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414310","ダメージ減衰","766"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414310","ＴＰ上昇上限付与","767"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414310","ＨＰ吸収ダウン","768"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414320","水属性ボーナス特大アップ","769"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414320","物理防御力（ダウン不可）アップ","770"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414320","魔法防御力（ダウン不可）アップ","771"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414320","ＴＰダウンカット","772"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414320","ダメージ減衰","773"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414320","ＴＰ上昇上限付与","774"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414320","ＨＰ吸収ダウン","775"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414330","水属性ボーナス特大アップ","776"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414330","物理防御力（ダウン不可）アップ","777"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414330","魔法防御力（ダウン不可）アップ","778"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414330","ＴＰダウンカット","779"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414330","ダメージ減衰","780"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414330","ＴＰ上昇上限付与","781"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414330","ＨＰ吸収ダウン","782"
"13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414340","水属性ボーナス特大アップ","783"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414340","物理防御力（ダウン不可）アップ","784"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414340","魔法防御力（ダウン不可）アップ","785"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414340","ＴＰダウンカット","786"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414340","ダメージ減衰","787"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414340","ＴＰ上昇上限付与","788"
"9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414340","ＨＰ吸収ダウン","789"
"14","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","92415010","風属性ボーナス特大アップ","790"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92415010","物理防御力（ダウン不可）アップ","791"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92415010","魔法防御力（ダウン不可）アップ","792"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92415010","ＴＰ上昇上限付与","793"
