089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8
"0","","0.2","3","","","33","","1330013","2","pkb_talk_yell"
"","","","93","","","33","","1330014","3",""
"0","1","0.2","3","pkb_idle_shock","","33","","1330015","2","pkb_shock"
"","","","91","","","33","","1330016","1330011",""
"1","","0.2","3","","","33","","1330017","2","pkb_idle_normal"
"100","-150","1.6","1","170","1","34","pkb_idle_normal","1340001","1","106531"
"100","-150","1.6","1","-20","0","34","pkb_idle_normal","1340002","1","113411"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","34","","1340003","106531","pkb_talk_arm_crossed"
"0","","","21","0","","34","","1340004","vo_minigame_1006","vo_minigame_1006_top_talk_13_301"
"8","0","0","11","0","0","34","-1","1340005","106531","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？"
"","","","93","","","34","","1340006","3.4",""
"1","","0.2","3","","","34","","1340007","106531","pkb_talk_normal"
"","","","91","","","34","","1340008","1340005",""
"1","","0.2","3","","","34","","1340009","106531","pkb_idle_normal"
"1","","0.2","3","","","34","","1340010","113411","pkb_talk_normal"
"0","","","21","0","","34","","1340011","vo_minigame_1006","vo_minigame_1006_top_talk_13_202"
"8","0","0","11","0","0","34","1","1340012","113411","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ"
"","","","93","","","34","","1340013","1.2",""
"0","1","0.2","3","pkb_talk_surprise1","0.2","34","","1340014","113411","pkb_surprise"
"","","","93","","","34","","1340015","1",""
"1","","0.2","3","","","34","","1340016","113411","pkb_talk_joy3"
"","","","91","","","34","","1340017","1340012",""
"1","","0.2","3","","","34","","1340018","113411","pkb_idle_normal"
"100","-150","1.6","1","-20","0","35","pkb_idle_normal","1350001","1","113511"
"100","-150","1.6","1","170","1","35","pkb_idle_normal","1350002","1","102311"
"1","","0.2","3","","","35","","1350003","113511","pkb_talk_joy3"
"0","","","21","0","","35","","1350004","vo_minigame_1006","vo_minigame_1006_top_talk_14_101"
"6","0","0","11","0","0","35","0.5","1350005","113511","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！"
"","","","93","","","35","","1350006","5.2",""
"1","","0.2","3","","","35","","1350007","113511","pkb_talk_wish"
"","","","91","","","35","","1350008","1350005",""
"1","","0.2","3","","","35","","1350009","113511","pkb_idle_normal"
"1","","0.2","3","","","35","","1350010","102311","pkb_talk_joy1"
"0","","","21","0","","35","","1350011","vo_minigame_1006","vo_minigame_1006_top_talk_14_402"
"8","0","0","11","0","0","35","-1","1350012","102311","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！"
"","","","93","","","35","","1350013","3.2",""
"0","1","0.2","3","pkb_idle_doya","","35","","1350014","102311","pkb_talk_doya"
"","","","91","","","35","","1350015","1350012",""
"1","","0.2","3","","","35","","1350016","102311","pkb_idle_normal"
"100","-130","55","5","170","1","36","pkb_idle_normal_l","1360001","3","3"
"100","-130","55","5","-20","0","36","pkb_idle_normal","1360002","1","1"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","36","","1360003","3","pkb_talk_arm_crossed_l"
"0","","","21","0","","36","","1360004","vo_minigame_1006","vo_minigame_1006_top_talk_15_601"
"8","0","0","11","0","0","36","-0.5","1360005","3","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！"
"","","","91","","","36","","1360006","1360005",""
"1","","0.2","3","","","36","","1360007","3","pkb_idle_normal_l"
"0","1","0.2","3","pkb_idle_guts","","36","","1360008","1","pkb_talk_guts"
"0","","","21","0","","36","","1360009","vo_minigame_1006","vo_minigame_1006_top_talk_15_702"
"8","0","0","11","0","0","36","0","1360010","1","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！"
"","","","91","","","36","","1360011","1360010",""
"1","","0.2","3","","","36","","1360012","1","pkb_idle_normal"
"100","-130","55","5","-20","0","37","pkb_idle_normal","1370001","1","1"
"100","-130","55","5","170","1","37","pkb_idle_normal_l","1370002","3","3"
"0","1","0.2","3","pkb_idle_guts","","37","","1370003","1","pkb_talk_guts"
"0","","","21","0","","37","","1370004","vo_minigame_1006","vo_minigame_1006_top_talk_16_701"
"8","0","0","11","0","0","37","-0.5","1370005","1","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！"
"","","","93","","","37","","1370006","3.2",""
"0","1","0.2","3","pkb_idle_normal","0.2","37","","1370007","1","pkb_talk_handsup"
"","","","91","","","37","","1370008","1370005",""
"1","","0.2","3","","","37","","1370009","1","pkb_idle_normal"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","37","","1370010","3","pkb_talk_arm_crossed_l"
"0","","","21","0","","37","","1370011","vo_minigame_1006","vo_minigame_1006_top_talk_16_602"
"8","0","0","11","0","0","37","1","1370012","3","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！"
"","","","93","","","37","","1370013","4.8",""
"0","1","0.2","3","pkb_idle_guts_l","","37","","1370014","3","pkb_talk_guts_l"
"","","","91","","","37","","1370015","1370012",""
"1","","0.2","3","","","37","","1370016","3","pkb_idle_normal_l"
"100","-150","1.6","1","170","1","38","pkb_idle_normal","1380001","1","106531"
"100","-130","55","5","-20","0","38","pkb_idle_normal","1380002","2","2"
"0","1","0.2","3","pkb_idle_arm_crossed","0.2","38","","1380003","106531","pkb_talk_arm_crossed"
"0","","","21","0","","38","","1380004","vo_minigame_1006","vo_minigame_1006_top_talk_17_301"
"8","0","0","11","0","0","38","-0.5","1380005","106531","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！"
"","","","93","","","38","","1380006","3.6",""
"0","1","0.2","3","pkb_idle_doya","","38","","1380007","106531","pkb_talk_doya"
"","","","93","","","38","","1380008","2",""
"0","1","0.2","3","pkb_idle_normal","0.2","38","","1380009","106531","pkb_talk_handsup"
"","","","91","","","38","","1380010","1380005",""
"","","","93","","","38","","1380011","1",""
"1","","0.2","3","","","38","","1380012","106531","pkb_idle_normal"
"0","1","0.2","3","pkb_idle_shock","","38","","1380013","2","pkb_shock"
"0","","","21","0","","38","","1380014","vo_minigame_1006","vo_minigame_1006_top_talk_17_802"
"7","0","0","11","0","0","38","1","1380015","2","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな"
"","","","91","","","38","","1380016","1380015",""
"1","","0.2","3","","","38","","1380017","2","pkb_idle_normal"
