e0386b05761a2b3407ea7cbb53b8c20e930a2b86921647db15b65fb021bfae36,c08a22190b17184c569c6e23b6c67db3410565e61c5a40a55ba2ab0b76349291,71114efc0886203c870d9a9d80128cd70977fdde096fb9402b6f42358c0832e6,9a9cd80d1b5f1c83b87fce442505d698d3df78fc79a832eb6f0190329f78963e,152269f117ccd67782e7f0f148f87fe82fc749f2879d5b43e8f5dbc59db49772,30f5846dc0c4041306982b3de5c828931743123b1eddcc0c2dbd4d2f35590bdb,339bead5d990ff9b9ee6d300e8d49c4ebe886e4e3c2fb0cae35baa1caa53e928,e0281db678d2328c8b826f5a2bd1dd69a7b189f3b879caace0c41943bac4671c,cc193e9d18339094cbd21a3f3eed198ab9197363740057f33f2833cae2c89aeb,fd2ddd5e9472e99c7adcd72c417b0c75e15995a1142fdffce60a21c2cf200f3d,aab9d7bde800f891d156babd2feef3b3b0e1fb0b8895fcb48437fc4ecee866a8
"","3112","","","3112013","","","91","","","0"
"","3112","0","","3112014","","","22","","","0"
"","3113","wac_idle_smile","1","3113001","","","3","0.2","","102311"
"","3113","wac_no_items","1","3113002","","","3","0.2","","111"
"","3113","200","-340","3113003","","","2","","0","102311"
"","3113","200","-340","3113004","","","2","","0","111"
"","3113","0","","3113005","","","32","","","1"
"","3113","1","","3113006","","","32","","","2"
"","3113","0","","3113007","","","32","","","11"
"","3113","","","3113008","","","91","","","0"
"0","3211","102111","202","3211001","wac_default_01","-212.75","1","2","-108","1"
"0","3211","111","201","3211002","wac_default_03","-212.75","5","2","-108","1"
"","3211","1","0","3211003","","1","31","1","0","1"
"","3211","2","0","3211004","","1","31","0","0","2"
"","3211","11","0","3211005","","1","31","0","0","11"
"","3211","wac_paint_01","0","3211006","","0","3","0.2","","102111"
"","3211","wac_paint_03","0","3211007","","0","3","0.2","","111"
"","3211","0","","3211008","","","93","","","0"
"","3211","1","","3211009","","","32","","","11"
"","3211","se_10035700_brush","0","3211010","","","23","","","se_10035700"
"","3211","","","3211011","","","131","","","1"
"","3212","wac_talk_wish_in","0","3212001","","1","3","0.2","wac_talk_wish_loop","102111"
"","3212","wac_no_items","1","3212002","","","3","0.2","","111"
"","3212","200","-340","3212003","","","2","","0","102111"
"","3212","200","-340","3212004","","","2","","0","111"
"","3212","0","","3212005","","","32","","","1"
"","3212","1","","3212006","","","32","","","2"
"","3212","0","","3212007","","","32","","","11"
"","3212","vo_wac_220318_000","0","3212008","","","21","","0","vo_wac_220318"
"0","3212","よい、しょっと。\nうん、上手に描けた……と思います。\n大道具さんはいっつもこういうこと\nしてるんだよね。すごいなぁ。","10","3212009","0.5","1","11","0","1","102111"
"","3212","","","3212010","","","91","","","0"
"","3212","vo_wac_220318_001","0","3212011","","","21","","0","vo_wac_220318"
"0","3212","いつも感謝してるけど、\nもっと舞台で活かせるように\nがんばろう。\nお兄ちゃん、楽しみにしててね♪","10","3212012","0.5","1","11","0","1","102111"
"","3212","","","3212013","","","91","","","0"
"","3212","0","","3212014","","","22","","","0"
"","3213","wac_idle_wish","1","3213001","","","3","0.2","","102111"
"","3213","wac_no_items","1","3213002","","","3","0.2","","111"
"","3213","200","-340","3213003","","","2","","0","102111"
"","3213","200","-340","3213004","","","2","","0","111"
"","3213","0","","3213005","","","32","","","1"
"","3213","1","","3213006","","","32","","","2"
"","3213","0","","3213007","","","32","","","11"
"","3213","","","3213008","","","91","","","0"
"0","3311","101011","202","3311001","wac_default_01","-175","1","2","-108","1"
"0","3311","111","201","3311002","wac_default_07","-175","5","2","-108","1"
"","3311","4","0","3311003","","1","31","1","0","4"
"","3311","2","0","3311004","","1","31","0","0","2"
"","3311","12","0","3311005","","1","31","0","0","12"
"","3311","wac_paint_01","0","3311006","","0","3","0.2","","101011"
"","3311","wac_paint_07","0","3311007","","0","3","0.2","","111"
"","3311","0","","3311008","","","93","","","0"
"","3311","1","","3311009","","","32","","","12"
"","3311","se_10035700_brush","0","3311010","","","23","","","se_10035700"
"","3311","","","3311011","","","131","","","1"
"","3312","wac_talk_smile_in","0","3312001","","1","3","0.2","wac_talk_smile_loop","101011"
"","3312","wac_no_items","1","3312002","","","3","0.2","","111"
"","3312","200","-340","3312003","","","2","","0","101011"
"","3312","200","-340","3312004","","","2","","0","111"
"","3312","0","","3312005","","","32","","","4"
"","3312","1","","3312006","","","32","","","2"
"","3312","0","","3312007","","","32","","","12"
"","3312","vo_wac_220319_000","0","3312008","","","21","","0","vo_wac_220319"
"0","3312","みらくる～\nまほりん～\nくるりんぱ～っと♪\nよし、いい絵ができましたなぁ～♪","10","3312009","0.5","1","11","0","1","101011"
"","3312","","","3312010","","","91","","","0"
"","3312","vo_wac_220319_001","0","3312011","","","21","","0","vo_wac_220319"
"0","3312","尻尾の先に絵の具が\n付いてしもたときは慌てましたけど\nうちの尻尾さばきで\n絵に深みが出ましたなぁ♪","10","3312012","0.5","1","11","0","1","101011"
"","3312","","","3312013","","","91","","","0"
"","3312","0","","3312014","","","22","","","0"
"","3313","wac_idle_smile","1","3313001","","","3","0.2","","101011"
"","3313","wac_no_items","1","3313002","","","3","0.2","","111"
"","3313","200","-340","3313003","","","2","","0","101011"
"","3313","200","-340","3313004","","","2","","0","111"
"","3313","0","","3313005","","","32","","","4"
"","3313","1","","3313006","","","32","","","2"
"","3313","0","","3313007","","","32","","","12"
"","3313","","","3313008","","","91","","","0"
"0","3411","104311","202","3411001","wac_default_01","-175","1","2","-108","1"
"0","3411","111","201","3411002","wac_default_08","-175","5","2","-108","1"
"","3411","4","0","3411003","","1","31","1","0","4"
"","3411","2","0","3411004","","1","31","0","0","2"
"","3411","12","0","3411005","","1","31","0","0","12"
"","3411","wac_paint_01","0","3411006","","0","3","0.2","","104311"
"","3411","wac_paint_08","0","3411007","","0","3","0.2","","111"
"","3411","0","","3411008","","","93","","","0"
"","3411","1","","3411009","","","32","","","12"
"","3411","se_10035700_brush","0","3411010","","","23","","","se_10035700"
"","3411","","","3411011","","","131","","","1"
"","3412","wac_talk_doya_in","0","3412001","","1","3","0.2","wac_talk_doya_loop","104311"
"","3412","wac_no_items","1","3412002","","","3","0.2","","111"
"","3412","200","-340","3412003","","","2","","0","104311"
"","3412","200","-340","3412004","","","2","","0","111"
"","3412","0","","3412005","","","32","","","4"
"","3412","1","","3412006","","","32","","","2"
"","3412","0","","3412007","","","32","","","12"
"","3412","vo_wac_220320_000","0","3412008","","","21","","0","vo_wac_220320"
"0","3412","こんな感じでどうだ！\nなかなかかわいく……\nじゃなかった。\nきれいに描けたぜ。","10","3412009","0.5","1","11","0","1","104311"
"","3412","","","3412010","","","91","","","0"
"","3412","vo_wac_220320_001","0","3412011","","","21","","0","vo_wac_220320"
"0","3412","こういうのも街の平和を\n守ることに繋がるよな。\nま、あたしはやっぱり腕っぷし\n使う方が得意だけどさ！","10","3412012","0.5","1","11","0","1","104311"
"","3412","","","3412013","","","91","","","0"
"","3412","0","","3412014","","","22","","","0"
"","3413","wac_idle_doya","1","3413001","","","3","0.2","","104311"
"","3413","wac_no_items","1","3413002","","","3","0.2","","111"
"","3413","200","-340","3413003","","","2","","0","104311"
"","3413","200","-340","3413004","","","2","","0","111"
"","3413","0","","3413005","","","32","","","4"
"","3413","1","","3413006","","","32","","","2"
"","3413","0","","3413007","","","32","","","12"
"","3413","","","3413008","","","91","","","0"
"0","3511","101711","202","3511001","wac_default_01","-175","1","2","-108","1"
"0","3511","111","201","3511002","wac_default_03","-175","5","2","-108","1"
"","3511","4","0","3511003","","1","31","1","0","4"
"","3511","2","0","3511004","","1","31","0","0","2"
"","3511","12","0","3511005","","1","31","0","0","12"
"","3511","wac_paint_01","0","3511006","","0","3","0.2","","101711"
"","3511","wac_paint_03","0","3511007","","0","3","0.2","","111"
"","3511","0","","3511008","","","93","","","0"
"","3511","1","","3511009","","","32","","","12"
"","3511","se_10035700_brush","0","3511010","","","23","","","se_10035700"
"","3511","","","3511011","","","131","","","1"
"","3512","wac_talk_kyapi_in","0","3512001","","1","3","0.2","wac_talk_kyapi_loop","101711"
"","3512","wac_no_items","1","3512002","","","3","0.2","","111"
"","3512","200","-340","3512003","","","2","","0","101711"
"","3512","200","-340","3512004","","","2","","0","111"
"","3512","0","","3512005","","","32","","","4"
"","3512","1","","3512006","","","32","","","2"
"","3512","0","","3512007","","","32","","","12"
"","3512","vo_wac_220321_000","0","3512008","","","21","","0","vo_wac_220321"
"0","3512","踊りながら描くさ～♪\n歌いながら描くさ～♪\nそうこうしてるうちに\n出来上がりさ～♪","10","3512009","0.5","1","11","0","1","101711"
"","3512","","","3512010","","","91","","","0"
"","3512","vo_wac_220321_001","0","3512011","","","21","","0","vo_wac_220321"
"0","3512","リズムに乗って描いた絵には\n楽しさがいっぱいさ～♪\nみんながこの絵を見て\n歌って踊ってくれるとうれしいね～♪","10","3512012","0.5","1","11","0","1","101711"
"","3512","","","3512013","","","91","","","0"
"","3512","0","","3512014","","","22","","","0"
"","3513","wac_idle_kyapi","1","3513001","","","3","0.2","","101711"
"","3513","wac_no_items","1","3513002","","","3","0.2","","111"
"","3513","200","-340","3513003","","","2","","0","101711"
"","3513","200","-340","3513004","","","2","","0","111"
"","3513","0","","3513005","","","32","","","4"
"","3513","1","","3513006","","","32","","","2"
"","3513","0","","3513007","","","32","","","12"
"","3513","","","3513008","","","91","","","0"
"0","3611","101411","202","3611001","wac_default_01","-212.75","1","2","-108","1"
"0","3611","111","201","3611002","wac_default_02","-212.75","5","2","-108","1"
"","3611","1","0","3611003","","1","31","1","0","1"
"","3611","2","0","3611004","","1","31","0","0","2"
"","3611","11","0","3611005","","1","31","0","0","11"
"","3611","wac_paint_01","0","3611006","","0","3","0.2","","101411"
"","3611","wac_paint_02","0","3611007","","0","3","0.2","","111"
"","3611","0","","3611008","","","93","","","0"
"","3611","1","","3611009","","","32","","","11"
"","3611","se_10035700_brush","0","3611010","","","23","","","se_10035700"
"","3611","","","3611011","","","131","","","1"
"","3612","wac_talk_doya_in","0","3612001","","1","3","0.2","wac_talk_doya_loop","101411"
"","3612","wac_no_items","1","3612002","","","3","0.2","","111"
"","3612","200","-340","3612003","","","2","","0","101411"
"","3612","200","-340","3612004","","","2","","0","111"
"","3612","0","","3612005","","","32","","","1"
"","3612","1","","3612006","","","32","","","2"
"","3612","0","","3612007","","","32","","","11"
"","3612","vo_wac_220322_000","0","3612008","","","21","","0","vo_wac_220322"
"0","3612","美を表現するというのは\n難事件に直面した時に似ているね\nこれでいいのかなと\n悩みながらの作業だったよ","10","3612009","0.5","1","11","0","1","101411"
"","3612","","","3612010","","","91","","","0"
"","3612","vo_wac_220322_001","0","3612011","","","21","","0","vo_wac_220322"
"0","3612","でも時間をかけただけあって\nいいものができたね\nこれにて事件解決！\n……事件ではないけれど。","10","3612012","0.5","1","11","0","1","101411"
"","3612","","","3612013","","","91","","","0"
"","3612","0","","3612014","","","22","","","0"
"","3613","wac_idle_doya","1","3613001","","","3","0.2","","101411"
"","3613","wac_no_items","1","3613002","","","3","0.2","","111"
"","3613","200","-340","3613003","","","2","","0","101411"
"","3613","200","-340","3613004","","","2","","0","111"
"","3613","0","","3613005","","","32","","","1"
"","3613","1","","3613006","","","32","","","2"
"","3613","0","","3613007","","","32","","","11"
"","3613","","","3613008","","","91","","","0"
"0","3711","106111","202","3711001","wac_default_11","-212.75","1","2","-108","1"
"0","3711","111","201","3711002","wac_default_11","-212.75","5","2","-108","1"
"","3711","1","0","3711003","","1","31","1","0","1"
"","3711","2","0","3711004","","1","31","0","0","2"
"","3711","11","0","3711005","","1","31","0","0","11"
"","3711","wac_paint_11","0","3711006","","0","3","0.2","","106111"
"","3711","wac_paint_11","0","3711007","","0","3","0.2","","111"
"","3711","0","","3711008","","","93","","","0.3"
"","3711","1","","3711009","","","32","","","11"
"","3711","se_10035700_roller","0","3711010","","","23","","","se_10035700"
"","3711","","","3711011","","","131","","","1"
"","3712","wac_talk_kyapi_in","0","3712001","","1","3","0.2","wac_talk_kyapi_loop","106111"
"","3712","wac_no_items","1","3712002","","","3","0.2","","111"
"","3712","200","-340","3712003","","","2","","0","106111"
"","3712","200","-340","3712004","","","2","","0","111"
"","3712","0","","3712005","","","32","","","1"
"","3712","1","","3712006","","","32","","","2"
"","3712","0","","3712007","","","32","","","11"
"","3712","vo_wac_220323_000","0","3712008","","","21","","0","vo_wac_220323"
"0","3712","よおーしっ！\n壁にでかでかと描いてやったぞ！\nこれだけの悪さをするのは\nアタシくらいだろ！","10","3712009","0.5","1","11","0","1","106111"
"","3712","","","3712010","","","91","","","0"
"","3712","vo_wac_220323_001","0","3712011","","","21","","0","vo_wac_220323"
"0","3712","やっぱり悪いことをするのは\n気持ちいいな！\nこれからもどんどんランドソルで\n悪事を働いていってやるぞ！","10","3712012","0.5","1","11","0","1","106111"
"","3712","","","3712013","","","91","","","0"
"","3712","0","","3712014","","","22","","","0"
"","3713","wac_idle_kyapi","1","3713001","","","3","0.2","","106111"
"","3713","wac_no_items","1","3713002","","","3","0.2","","111"
"","3713","200","-340","3713003","","","2","","0","106111"
"","3713","200","-340","3713004","","","2","","0","111"
"","3713","0","","3713005","","","32","","","1"
"","3713","1","","3713006","","","32","","","2"
"","3713","0","","3713007","","","32","","","11"
"","3713","","","3713008","","","91","","","0"
"0","3811","107011","202","3811001","wac_default_01","-212.75","1","2","-108","1"
"0","3811","111","201","3811002","wac_default_01","-212.75","5","2","-108","1"
"","3811","1","0","3811003","","1","31","1","0","1"
"","3811","2","0","3811004","","1","31","0","0","2"
"","3811","11","0","3811005","","1","31","0","0","11"
"","3811","wac_paint_01","0","3811006","","0","3","0.2","","107011"
"","3811","wac_paint_01","0","3811007","","0","3","0.2","","111"
"","3811","0","","3811008","","","93","","","0"
"","3811","1","","3811009","","","32","","","11"
"","3811","se_10035700_brush","0","3811010","","","23","","","se_10035700"
"","3811","","","3811011","","","131","","","1"
"","3812","wac_talk_sad_in","0","3812001","","1","3","0.2","wac_talk_sad_loop","107011"
"","3812","wac_no_items","1","3812002","","","3","0.2","","111"
"","3812","200","-340","3812003","","","2","","0","107011"
"","3812","200","-340","3812004","","","2","","0","111"
"","3812","0","","3812005","","","32","","","1"
"","3812","1","","3812006","","","32","","","2"
"","3812","0","","3812007","","","32","","","11"
"","3812","vo_wac_220324_000","0","3812008","","","21","","0","vo_wac_220324"
"0","3812","ふむ……こんなところでしょうか。\n模倣するのには慣れているつもりですが\n絵にすると少し勝手が違うものですね。","10","3812009","0.5","1","11","0","1","107011"
"","3812","","","3812010","","","91","","","0"
"","3812","vo_wac_220324_001","0","3812011","","","21","","0","vo_wac_220324"
"0","3812","これでランドソルが少しでも\n明るくなれば……などということは\n本来気にする必要はないはずなのに……\n公務に関わっている影響ですかね。","10","3812012","0.5","1","11","0","1","107011"
"","3812","","","3812013","","","91","","","0"
"","3812","0","","3812014","","","22","","","0"
"","3813","wac_idle_sad","1","3813001","","","3","0.2","","107011"
"","3813","wac_no_items","1","3813002","","","3","0.2","","111"
"","3813","200","-340","3813003","","","2","","0","107011"
"","3813","200","-340","3813004","","","2","","0","111"
"","3813","0","","3813005","","","32","","","1"
"","3813","1","","3813006","","","32","","","2"
"","3813","0","","3813007","","","32","","","11"
"","3813","","","3813008","","","91","","","0"
"0","3911","106511","202","3911001","wac_default_11","-212.75","1","2","-108","1"
"0","3911","111","201","3911002","wac_default_12","-212.75","5","2","-108","1"
"","3911","1","0","3911003","","1","31","1","0","1"
"","3911","2","0","3911004","","1","31","0","0","2"
"","3911","11","0","3911005","","1","31","0","0","11"
"","3911","wac_paint_11","0","3911006","","0","3","0.2","","106511"
"","3911","wac_paint_12","0","3911007","","0","3","0.2","","111"
"","3911","0","","3911008","","","93","","","0.3"
"","3911","1","","3911009","","","32","","","11"
"","3911","se_10035700_roller","0","3911010","","","23","","","se_10035700"
"","3911","","","3911011","","","131","","","1"
"","3912","wac_talk_smile_in","0","3912001","","1","3","0.2","wac_talk_smile_loop","106511"
"","3912","wac_no_items","1","3912002","","","3","0.2","","111"
"","3912","200","-340","3912003","","","2","","0","106511"
"","3912","200","-340","3912004","","","2","","0","111"
"","3912","0","","3912005","","","32","","","1"
"","3912","1","","3912006","","","32","","","2"
"","3912","0","","3912007","","","32","","","11"
"","3912","vo_wac_220325_000","0","3912008","","","21","","0","vo_wac_220325"
"0","3912","オラァ！　これでどうだ！\nよし、いい感じに\n仕上がったんじゃないか？","10","3912009","0.5","1","11","0","1","106511"
"","3912","","","3912010","","","91","","","0"
"","3912","vo_wac_220325_001","0","3912011","","","21","","0","vo_wac_220325"
"0","3912","しっかし、壁に絵を描くなんて\n思い切ったことをするもんだね。\n楽しかったし、街のために働くってのも\nたまになら悪くないからいいけどさ。","10","3912012","0.5","1","11","0","1","106511"
"","3912","","","3912013","","","91","","","0"
"","3912","0","","3912014","","","22","","","0"
"","3913","wac_idle_smile","1","3913001","","","3","0.2","","106511"
"","3913","wac_no_items","1","3913002","","","3","0.2","","111"
"","3913","200","-340","3913003","","","2","","0","106511"
"","3913","200","-340","3913004","","","2","","0","111"
"","3913","0","","3913005","","","32","","","1"
"","3913","1","","3913006","","","32","","","2"
"","3913","0","","3913007","","","32","","","11"
"","3913","","","3913008","","","91","","","0"
"0","4011","106611","202","4011001","wac_default_bot_01","-325","1","2","-108","1"
"0","4011","111","201","4011002","wac_default_05","-325","5","2","-108","1"
"","4011","3","0","4011003","","1","31","1","0","3"
"","4011","2","0","4011004","","1","31","0","0","2"
"","4011","13","0","4011005","","1","31","0","0","13"
"","4011","wac_paint_bot_01","0","4011006","","0","3","0.2","","106611"
"","4011","wac_paint_05","0","4011007","","0","3","0.2","","111"
"","4011","0","","4011008","","","93","","","0"
"","4011","1","","4011009","","","32","","","13"
"","4011","se_10035700_brush","0","4011010","","","23","","","se_10035700"
"","4011","","","4011011","","","131","","","1"
"","4012","wac_talk_wish_in","0","4012001","","1","3","0.2","wac_talk_wish_loop","106611"
"","4012","wac_no_items","1","4012002","","","3","0.2","","111"
"","4012","200","-340","4012003","","","2","","0","106611"
"","4012","200","-340","4012004","","","2","","0","111"
"","4012","0","","4012005","","","32","","","3"
"","4012","1","","4012006","","","32","","","2"
"","4012","0","","4012007","","","32","","","13"
"","4012","vo_wac_220326_000","0","4012008","","","21","","0","vo_wac_220326"
"0","4012","このっ、このやろっ！\nここをこうしてフィニ～ッシュ！\nふぅ。ボスへの怒り……じゃなくて\n街への想いを込めた傑作ができたです。","10","4012009","0.5","1","11","0","1","106611"
"","4012","","","4012010","","","91","","","0"
"","4012","vo_wac_220326_001","0","4012011","","","21","","0","vo_wac_220326"
"0","4012","これも立派な下克上への道。\nバレない所から少しずつ……って！\nあそこに居るのはボス！？\nこうしちゃいられない！　逃げるです！","10","4012012","0.5","1","11","0","1","106611"
"","4012","","","4012013","","","91","","","0"
"","4012","0","","4012014","","","22","","","0"
"","4013","wac_idle_wish","1","4013001","","","3","0.2","","106611"
"","4013","wac_no_items","1","4013002","","","3","0.2","","111"
"","4013","200","-340","4013003","","","2","","0","106611"
"","4013","200","-340","4013004","","","2","","0","111"
"","4013","0","","4013005","","","32","","","3"
"","4013","1","","4013006","","","32","","","2"
"","4013","0","","4013007","","","32","","","13"
"","4013","","","4013008","","","91","","","0"
"0","4111","103311","202","4111001","wac_default_bot_01","-325","1","2","-108","1"
"0","4111","111","201","4111002","wac_default_05","-325","5","2","-108","1"
"","4111","3","0","4111003","","1","31","1","0","3"
"","4111","2","0","4111004","","1","31","0","0","2"
"","4111","13","0","4111005","","1","31","0","0","13"
"","4111","wac_paint_bot_01","0","4111006","","0","3","0.2","","103311"
"","4111","wac_paint_05","0","4111007","","0","3","0.2","","111"
"","4111","0","","4111008","","","93","","","0"
"","4111","1","","4111009","","","32","","","13"
"","4111","se_10035700_brush","0","4111010","","","23","","","se_10035700"
"","4111","","","4111011","","","131","","","1"
"","4112","wac_talk_smile_in","0","4112001","","1","3","0.2","wac_talk_smile_loop","103311"
"","4112","wac_no_items","1","4112002","","","3","0.2","","111"
"","4112","200","-340","4112003","","","2","","0","103311"
"","4112","200","-340","4112004","","","2","","0","111"
"","4112","0","","4112005","","","32","","","3"
"","4112","1","","4112006","","","32","","","2"
"","4112","0","","4112007","","","32","","","13"
"","4112","vo_wac_220327_000","0","4112008","","","21","","0","vo_wac_220327"
"0","4112","牧場の仕事で柵を塗ったりすっけど、\n絵を描くってのはなかなかねぇから\n苦労したべ。","10","4112009","0.5","1","11","0","1","103311"
"","4112","","","4112010","","","91","","","0"
"","4112","vo_wac_220327_001","0","4112011","","","21","","0","vo_wac_220327"
"0","4112","その割にはよく描けたと思うけんど……\nどうだべ？　牧場に来てくれる人たちが\nこの絵を見てほっこりしてくれると\nうれしいなぁ。","10","4112012","0.5","1","11","0","1","103311"
"","4112","","","4112013","","","91","","","0"
"","4112","0","","4112014","","","22","","","0"
"","4113","wac_idle_smile","1","4113001","","","3","0.2","","103311"
"","4113","wac_no_items","1","4113002","","","3","0.2","","111"
"","4113","200","-340","4113003","","","2","","0","103311"
"","4113","200","-340","4113004","","","2","","0","111"
"","4113","0","","4113005","","","32","","","3"
"","4113","1","","4113006","","","32","","","2"
"","4113","0","","4113007","","","32","","","13"
"","4113","","","4113008","","","91","","","0"
"0","4211","105211","202","4211001","wac_default_11","-212.75","1","2","419","1"
"0","4211","111","201","4211002","wac_default_12","-212.75","5","2","419","1"
"","4211","1","527","4211003","","1","31","1","0","1"
"","4211","10","0","4211004","","1","31","0","0","10"
"","4211","11","527","4211005","","1","31","0","0","11"
"","4211","14","0","4211006","","1","31","0","0","14"
"","4211","18","0","4211007","","1","31","0","0","18"
"","4211","wac_paint_11","0","4211008","","0","3","0.2","","105211"
"","4211","wac_paint_12","0","4211009","","0","3","0.2","","111"
"","4211","0","","4211010","","","93","","","0.3"
"","4211","1","","4211011","","","32","","","11"
"","4211","se_10035700_roller","0","4211012","","","23","","","se_10035700"
"","4211","","","4211013","","","131","","","1"
"","4212","1","","4212001","","","32","","","14"
"","4212","1","","4212002","","","32","","","18"
"","4212","wac_talk_wish_in","0","4212003","","1","3","0.2","wac_talk_wish_loop","105211"
"","4212","wac_no_items","1","4212004","","","3","0.2","","111"
"","4212","287","-357","4212005","","","2","","0","105211"
"","4212","287","-357","4212006","","","2","","0","111"
"","4212","0","","4212007","","","32","","","1"
"","4212","1","","4212008","","","32","","","10"
"","4212","0","","4212009","","","32","","","11"
"","4212","0","","4212010","","","93","","","1.8"
"","4212","vo_wac_220328_000","0","4212011","","","21","","0","vo_wac_220328"
"0","4212","と～～ってもかわいい絵が描けたわ♪\n城壁にこんな絵が描いてあれば、\nランドソルが素敵な場所って\n伝わるわよね♪","10","4212012","0.5","1","11","0","1","105211"
"","4212","","","4212013","","","91","","","0"
"","4212","vo_wac_220328_001","0","4212014","","","21","","0","vo_wac_220328"
"0","4212","大切な人たちが居る街を明るくする\nお手伝いができて、とっても幸せ。\nみんなもあったかい気持ちに\nなってくれたらうれしいわ。","10","4212015","0.5","1","11","0","1","105211"
"","4212","","","4212016","","","91","","","0"
"","4212","0","","4212017","","","22","","","0"
"","4213","0","","4213001","","","32","","","14"
"","4213","1","","4213002","","","32","","","18"
"","4213","wac_idle_wish","1","4213003","","","3","0.2","","105211"
"","4213","wac_no_items","1","4213004","","","3","0.2","","111"
"","4213","287","-357","4213005","","","2","","0","105211"
"","4213","287","-357","4213006","","","2","","0","111"
"","4213","0","","4213007","","","32","","","1"
"","4213","1","","4213008","","","32","","","10"
"","4213","0","","4213009","","","32","","","11"
"","4213","","","4213010","","","91","","","0"
"0","4311","103811","202","4311001","wac_default_01","-212.75","1","2","-108","1"
"0","4311","111","201","4311002","wac_default_02","-212.75","5","2","-108","1"
"","4311","1","0","4311003","","1","31","1","0","1"
"","4311","2","0","4311004","","1","31","0","0","2"
"","4311","11","0","4311005","","1","31","0","0","11"
"","4311","wac_paint_01","0","4311006","","0","3","0.2","","103811"
"","4311","wac_paint_02","0","4311007","","0","3","0.2","","111"
"","4311","0","","4311008","","","93","","","0"
"","4311","1","","4311009","","","32","","","11"
"","4311","se_10035700_brush","0","4311010","","","23","","","se_10035700"
"","4311","300","","4311011","","","13","","","103811"
"","4311","","","4311012","","","131","","","1"
"","4312","wac_talk_wish_in","0","4312001","","1","3","0.2","wac_talk_wish_loop","103811"
"","4312","wac_no_items","1","4312002","","","3","0.2","","111"
"","4312","200","-340","4312003","","","2","","0","103811"
"","4312","200","-340","4312004","","","2","","0","111"
"","4312","0","","4312005","","","32","","","1"
"","4312","1","","4312006","","","32","","","2"
"","4312","0","","4312007","","","32","","","11"
"","4312","vo_wac_220329_000","0","4312008","","","21","","0","vo_wac_220329"
"0","4312","ゆっくり、時間をかけちゃいましたけど\nこれで完成、です。\nふふっ、絵を描くのって楽しいですね。","10","4312009","0.5","1","11","0","1","103811"
"","4312","","","4312010","","","91","","","0"
"","4312","vo_wac_220329_001","0","4312011","","","21","","0","vo_wac_220329"
"0","4312","これができたら\n私も、ときどき見に来ようと思います。\nこの楽しさを思い出しながら\nのんびりできたらいいと思うんです。","10","4312012","0.5","1","11","0","1","103811"
"","4312","","","4312013","","","91","","","0"
"","4312","0","","4312014","","","22","","","0"
"","4313","wac_idle_wish","1","4313001","","","3","0.2","","103811"
"","4313","wac_no_items","1","4313002","","","3","0.2","","111"
"","4313","200","-340","4313003","","","2","","0","103811"
"","4313","200","-340","4313004","","","2","","0","111"
"","4313","0","","4313005","","","32","","","1"
"","4313","1","","4313006","","","32","","","2"
"","4313","0","","4313007","","","32","","","11"
"","4313","","","4313008","","","91","","","0"
"0","4411","102611","202","4411001","wac_default_01","-212.75","1","2","-108","1"
"0","4411","111","201","4411002","wac_default_03","-212.75","5","2","-108","1"
"","4411","1","0","4411003","","1","31","1","0","1"
"","4411","2","0","4411004","","1","31","0","0","2"
"","4411","11","0","4411005","","1","31","0","0","11"
"","4411","wac_paint_01","0","4411006","","0","3","0.2","","102611"
"","4411","wac_paint_03","0","4411007","","0","3","0.2","","111"
"","4411","0","","4411008","","","93","","","0"
"","4411","1","","4411009","","","32","","","11"
"","4411","se_10035700_brush","0","4411010","","","23","","","se_10035700"
"","4411","300","","4411011","","","13","","","102611"
"","4411","","","4411012","","","131","","","1"
"","4412","wac_talk_smile_in","0","4412001","","1","3","0.2","wac_talk_smile_loop","102611"
"","4412","wac_no_items","1","4412002","","","3","0.2","","111"
"","4412","200","-340","4412003","","","2","","0","102611"
"","4412","200","-340","4412004","","","2","","0","111"
"","4412","0","","4412005","","","32","","","1"
"","4412","1","","4412006","","","32","","","2"
"","4412","0","","4412007","","","32","","","11"
"","4412","vo_wac_220330_000","0","4412008","","","21","","0","vo_wac_220330"
"0","4412","は～めんどくさかった。\nまったく、壁に絵を描くなんて\nそんなことあたしに\nやらせるんじゃないよ。","10","4412009","0.5","1","11","0","1","102611"
"","4412","","","4412010","","","91","","","0"
"","4412","vo_wac_220330_001","0","4412011","","","21","","0","vo_wac_220330"
"0","4412","ん～でもまっひ～もみんなも\n楽しそうだったし、一緒に\nできたのはうれしかった、かな？\nとりあえずあたしは寝るよ。おやすみ。","10","4412012","0.5","1","11","0","1","102611"
"","4412","","","4412013","","","91","","","0"
"","4412","0","","4412014","","","22","","","0"
"","4413","wac_idle_sleep","1","4413001","","","3","0.2","","102611"
"","4413","wac_no_items","1","4413002","","","3","0.2","","111"
"","4413","200","-340","4413003","","","2","","0","102611"
"","4413","200","-340","4413004","","","2","","0","111"
"","4413","0","","4413005","","","32","","","1"
"","4413","1","","4413006","","","32","","","2"
"","4413","0","","4413007","","","32","","","11"
"","4413","","","4413008","","","91","","","0"
"0","4511","106011","204","4511001","wac_default_bot_31","-325","1","2","-167","1"
"0","4511","105811","202","4511002","wac_default_51","-325","1","2","230","1"
