eee4efe3e720aec1ed0c634be03c62facd8a2223387e5c4935f9f811a1ecc3ca,1aadb6a8ba6604d53f5330a29705244faec03036ea1fe24ebc035e6f7fba4942,3b19b79cbbf41b22ecf306e668a6dcdc2041f3dc93f0463e17392aa84d56e3c4,91a40c2f23f81346a498430e5fd833b681bf3d3cfdecacf4ec4a4242b6cc1cd0,2ef562a44edbebc3cf6a615eac8bafa60019487afbdc8e34f0d45e6d3bedc169,a33d65ba2e4fe1487db1665415cc051eaf630df699ae7b52badfa096d7f714d1,bd747a8215e29b60d3317505cc727e79f3861f29a835402758dceebe0e2c8e86,e18126caf048a16ca61484d698ea6fbacaaf0636b81bb26a835eac07c705b706,9acd864872198c952d7c08d5d8633e740610d5a6d5af4eaca6c93ee9cd323baf,8ed65a4a9ad00c19530fb0d9f16a6b11730af07d26b15ab4a1572266fd4dafb7,9cabeff58d1781446f30c3b9624c92a426d843c5d7528f7cbdaab1316adf542d
"1070046","112511","","11","7","10","","1","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","","1"
"1070047","0","","91","7","","","","","",""
"1070048","112511","","3","7","1","0","","omp_idle_calm","",""
"1070049","112411","","3","7","1","0","","omp_talk_joy1","",""
"1070050","vo_omp_7007","","21","7","0","","","vo_omp_7007_007","","0"
"1070051","112411","","11","7","10","","1","リンちゃん…！","","1"
"1070052","0","","91","7","","","","","",""
"1070053","112611","","4","7","","","","0","",""
"1070054","112411","","3","7","1","0","","omp_psn_20","",""
"1070055","112611","","3","7","1","0","","omp_talk_joy1","",""
"1070056","vo_omp_7007","","21","7","0","","","vo_omp_7007_008","","0"
"1070057","112611","","11","7","10","","1","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","","1"
"1070058","10","","93","7","","","","1","",""
"1070059","112611","","4","7","1","","","0","",""
"1070060","112611","","2","7","-205","","1","120","","0"
"1070061","112411","","2","7","-205","","1","420","","0"
"1070062","112611","","3","7","0","0","1","omp_psn_13","0.1","omp_psn_13_loop"
"1070063","112411","","3","7","0","0","1","omp_psn_13","0.1","omp_psn_13_loop"
"1070064","112511","","3","7","0","0","1","omp_psn_15","0","omp_psn_15_loop"
"1070065","1","","93","7","","","","1","",""
"1070066","105831","","3","7","0","0","1","omp_surprise","","omp_idle_surprise1"
"1070067","105931","","3","7","0","0","1","omp_surprise","","omp_idle_surprise1"
"1070068","106031","","3","7","0","0","1","omp_surprise","0.2","omp_idle_surprise2"
"1070069","1070057","","91","7","","","","","",""
"1070070","vo_omp_7007","","21","7","0","","","vo_omp_7007_009","","0"
"1070071","112511","","11","7","10","","1","ちょっ、や、やめてよ…！","","1"
"1070072","0","","91","7","","","","","",""
"1070073","105831","","4","7","1","","","1","",""
"1070074","105831","","3","7","1","0","","omp_talk_joy1","",""
"1070075","vo_omp_7007","","21","7","0","","","vo_omp_7007_010","","0"
"1070076","105831","","11","7","10","","1","キャルちゃん、\nわたしたちもやりましょう♪","","1"
"1070077","0","","91","7","","","","","",""
"1070078","105831","","3","7","1","0","","omp_idle_joy1","",""
"1070079","106031","","3","7","1","0","","omp_talk_tsun","",""
"1070080","vo_omp_7007","","21","7","0","","","vo_omp_7007_011","","0"
"1070081","106031","","11","7","10","","1","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","","1"
"1070082","4","","93","7","","","","1","",""
"1070083","105831","","3","7","1","0","","omp_walk","",""
"1070084","105831","","2","7","-205","","1","-120","","1"
"1070085","0","","91","7","","","","","",""
"1070086","105831","","3","7","1","0.2","","omp_idle_joy1","",""
"1070087","1070081","","91","7","","","","","",""
"1070088","105831","","3","7","1","0","","omp_idle_joy1","",""
"1070089","106031","","3","7","1","0","","omp_idle_tsun","",""
"1070090","105931","","3","7","1","0","","omp_talk_normal","",""
"1070091","vo_omp_7007","","21","7","0","","","vo_omp_7007_012","","0"
"1070092","105931","","11","7","10","","1","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","","1"
"1070093","0","","91","7","","","","","",""
"1070094","105831","","2","7","-205","","1","-120","","0"
"1070095","105931","","2","7","-205","","1","-440","","0"
"1070096","105831","","3","7","0","0","1","omp_psn_14","0.1","omp_psn_14_loop"
"1070097","105931","","3","7","0","0","1","omp_psn_14","0.1","omp_psn_14_loop"
"1070098","106031","","3","7","0","0","1","omp_psn_15","0","omp_psn_15_loop"
"1070099","vo_omp_7007","","21","7","0","","","vo_omp_7007_013","","0"
"1070100","105831","","11","7","10","","1","ぎゅう～♪","","1"
"1070101","0","","91","7","","","","","",""
"1070102","106031","","3","7","1","0","","omp_psn_16_loop","",""
"1070103","vo_omp_7007","","21","7","0","","","vo_omp_7007_014","","0"
"1070104","106031","","11","7","10","","1","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","","1"
"1070105","0","","91","7","","","","","",""
"1070106","112611","","3","7","1","0","","omp_psn_13_loop","",""
"1070107","vo_omp_7007","","21","7","0","","","vo_omp_7007_015","","0"
"1070108","112611","","11","7","10","","1","わー！\nキャルキャル～！","","1"
"1070109","0","","91","7","","","","","",""
"1070110","112611","","3","7","1","0","","omp_psn_13_loop","",""
"1070111","112411","","3","7","1","0","","omp_psn_13_loop","",""
"1070112","vo_omp_7007","","21","7","0","","","vo_omp_7007_016","","0"
"1070113","112411","","11","7","10","","1","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","","1"
"1070114","0","","91","7","","","","","",""
"1070115","112411","","3","7","1","0","","omp_psn_13_loop","",""
"1070116","112511","","3","7","1","0","","omp_psn_15_loop","",""
"1070117","vo_omp_7007","","21","7","0","","","vo_omp_7007_017","","0"
"1070118","112511","","11","7","10","","1","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","","1"
"1070119","5.5","","93","7","","","","1","",""
"1070120","112511","","3","7","1","0.1","","omp_psn_16_loop","",""
"1070121","1070118","","91","7","","","","","",""
"1070122","0.4","","93","7","","","","","",""
"1080001","1","omp_idle_normal","1","8","1600","1.8","-195","105831","1","200"
"1080002","1","omp_talk_normal","1","8","1500","1.8","-185","105931","0","0"
"1080003","1","omp_idle_normal","1","8","1600","1.8","-205","106031","0","-200"
"1080004","1","","31","8","0","1","1","1","","0"
"1080005","1","","93","8","","","","","",""
"1080006","vo_omp_7008","","21","8","0","","","vo_omp_7008_000","","0"
"1080007","105931","","11","8","10","","1","ムーサの町…初めて訪れましたが\n素敵な町でございますね","","1"
"1080008","0","","91","8","","","","","",""
"1080009","105931","","3","8","1","0","","omp_idle_normal","",""
"1080010","105831","","3","8","1","0","","omp_talk_joy1","",""
"1080011","vo_omp_7008","","21","8","0","","","vo_omp_7008_001","","0"
"1080012","105831","","11","8","10","","1","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","","1"
"1080013","0","","91","8","","","","","",""
"1080014","105831","","3","8","1","0","","omp_idle_joy1","",""
"1080015","106031","","3","8","1","0","","omp_talk_sad","",""
"1080016","vo_omp_7008","","21","8","0","","","vo_omp_7008_002","","0"
"1080017","106031","","11","8","10","","1","はぁ。本当にあんたの頭の中は\n食べることばっかりね","","1"
"1080018","0","","91","8","","","","","",""
"1080019","106031","","3","8","1","0","","omp_idle_sad","",""
"1080020","105931","","3","8","1","0","","omp_talk_normal","",""
"1080021","vo_omp_7008","","21","8","0","","","vo_omp_7008_003","","0"
"1080022","105931","","11","8","10","","1","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","","1"
"1080023","0","","91","8","","","","","",""
"1080024","105931","","3","8","1","0","","omp_idle_normal","",""
"1080025","106031","","3","8","1","0","","omp_talk_surprise1","",""
"1080026","vo_omp_7008","","21","8","0","","","vo_omp_7008_004","","0"
"1080027","106031","","11","8","10","","1","コロ助まで！？","","1"
"1080028","0","","91","8","","","","","",""
"1080029","106031","","3","8","1","0","","omp_idle_surprise1","",""
"1080030","105831","","3","8","1","0","","omp_talk_normal","",""
"1080031","vo_omp_7008","","21","8","0","","","vo_omp_7008_005","","0"
"1080032","105831","","11","8","10","","1","キャルちゃんはどうしますか～？","","1"
"1080033","0","","91","8","","","","","",""
"1080034","105931","","4","8","","","","1","",""
"1080035","105831","","3","8","1","0","","omp_idle_normal","",""
"1080036","106031","","3","8","1","0","","omp_talk_tsun","",""
"1080037","vo_omp_7008","","21","8","0","","","vo_omp_7008_006","","0"
"1080038","106031","","11","8","10","","1","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","","1"
"1080039","0","","91","8","","","","","",""
"1080040","106031","","3","8","1","0","","omp_idle_tsun","",""
"1080041","105931","","3","8","1","0","","omp_talk_normal","",""
"1080042","vo_omp_7008","","21","8","0","","","vo_omp_7008_007","","0"
"1080043","105931","","11","8","10","","1","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","","1"
"1080044","0","","91","8","","","","","",""
"1080045","105931","","4","8","","","","0","",""
"1080046","105931","","3","8","1","0","","omp_idle_normal","",""
"1080047","105831","","3","8","1","0","","omp_talk_joy1","",""
"1080048","vo_omp_7008","","21","8","0","","","vo_omp_7008_008","","0"
"1080049","105831","","11","8","10","","1","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","","1"
"1080050","0","","91","8","","","","","",""
"1080051","0.4","","93","8","","","","","",""
"1090001","1","omp_idle_normal","1","9","1600","1.8","-270","105831","1","300"
"1090002","1","omp_idle_normal","1","9","1700","1.8","-285","105931","1","450"
"1090003","1","omp_idle_normal","1","9","1600","1.8","-230","106031","1","-310"
"1090004","1","omp_idle_normal","1","9","1500","1.8","-190","112511","1","-45"
"1090005","1","omp_idle_normal","1","9","1600","1.8","-240","112411","1","65"
"1090006","1","omp_idle_normal","1","9","1500","1.8","-192","112611","1","205"
"1090007","1","","31","9","0","1","1","1","","0"
"1090008","0.2","","93","9","","","","","",""
"1090009","112611","","3","9","1","0.1","","omp_idle_normal","",""
"1090010","106031","","3","9","1","0","","omp_talk_sad","",""
"1090011","112511","","3","9","1","0.1","","omp_idle_normal","",""
"1090012","105831","","3","9","1","0.1","","omp_idle_normal","",""
"1090013","0.1","","93","9","","","","","",""
"1090014","1","","93","9","","","","","",""
"1090015","vo_omp_7009","","21","9","0","","","vo_omp_7009_000","","0"
"1090016","106031","","11","9","10","","1","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","","1"
"1090017","0","","91","9","","","","","",""
"1090018","106031","","3","9","0","0","","omp_psn_17","",""
"1090019","vo_omp_7009","","21","9","0","","","vo_omp_7009_001","","0"
"1090020","106031","","11","9","10","","1","…きゃるきゃるーん\nなんて、にゃ","","1"
"1090021","2","","93","9","","","","1","",""
"1090022","106031","","3","9","1","0.2","","omp_talk_sad","",""
"1090023","1090020","","91","9","","","","","",""
"1090024","106031","","3","9","1","0","","omp_idle_sad","",""
"1090025","105831","","3","9","0","0","1","omp_psn_17","0.2","omp_idle_joy1"
"1090026","vo_omp_7009","","21","9","0","","","vo_omp_7009_002","","0"
"1090027","105831","","11","9","10","","1","きゃるきゃるーん♪","","1"
"1090028","0","","91","9","","","","","",""
"1090029","105931","","3","9","1","0","","omp_psn_17","0.2","omp_idle_normal"
"1090030","vo_omp_7009","","21","9","0","","","vo_omp_7009_003","","0"
"1090031","105931","","11","9","10","","1","きゃるきゃるーん、でございますにゃ","","1"
"1090032","0","","91","9","","","","","",""
"1090033","106031","","4","9","","","","0","",""
"1090034","106031","","3","9","0","0","1","omp_surprise","0","omp_idle_surprise1"
"1090035","vo_omp_7009","","21","9","0","","","vo_omp_7009_004","","0"
"1090036","106031","","11","9","10","","1","なっ、あんたたち！？\nい、今のっ、見てっ…！？","","1"
"1090037","0","","91","9","","","","","",""
"1090038","112611","","3","9","1","0","","omp_psn_17_other","0.2","omp_idle_joy1"
"1090039","vo_omp_7009","","21","9","0","","","vo_omp_7009_005","","0"
"1090040","112611","","11","9","10","","1","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","","1"
"1090041","0","","91","9","","","","","",""
"1090042","106031","","3","9","1","0","","omp_talk_anger2","",""
"1090043","vo_omp_7009","","21","9","0","","","vo_omp_7009_006","","0"
"1090044","106031","","11","9","10","","1","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","","1"
"1090045","0","","91","9","","","","","",""
"1090046","106031","","3","9","1","0","","omp_idle_anger2","",""
"1090047","112411","","3","9","1","0","","omp_talk_sad","",""
"1090048","vo_omp_7009","","21","9","0","","","vo_omp_7009_007","","0"
"1090049","112411","","11","9","10","","1","キャ、キャルちゃん。えっと、その…","","1"
"1090050","0","","91","9","","","","","",""
"1090051","112411","","3","9","1","0","","omp_idle_sad","",""
"1090052","112511","","3","9","1","0","","omp_talk_normal","",""
"1090053","vo_omp_7009","","21","9","0","","","vo_omp_7009_008","","0"
"1090054","112511","","11","9","10","","1","大変だね","","1"
"1090055","0","","91","9","","","","","",""
"1090056","112511","","3","9","1","0","","omp_idle_normal","",""
"1090057","106031","","3","9","1","0","","omp_talk_tsun","",""
"1090058","vo_omp_7009","","21","9","0","","","vo_omp_7009_009","","0"
"1090059","106031","","11","9","10","","1","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","","1"
"1090060","0","","91","9","","","","","",""
"1090061","106031","","3","9","1","0","","omp_idle_tsun","",""
"1090062","112511","","3","9","1","0","","omp_talk_normal","",""
"1090063","vo_omp_7009","","21","9","0","","","vo_omp_7009_010","","0"
"1090064","112511","","11","9","10","","1","でもあれ、かわいかったと思うけど","","1"
"1090065","0","","91","9","","","","","",""
"1090066","112511","","3","9","1","0","","omp_idle_normal","",""
"1090067","112411","","3","9","1","0","","omp_talk_joy2","",""
"1090068","vo_omp_7009","","21","9","0","","","vo_omp_7009_011","","0"
"1090069","112411","","11","9","10","","1","はい！　とっても素敵でした！","","1"
"1090070","0","","91","9","","","","","",""
"1090071","112411","","3","9","1","0","","omp_psn_20","",""
"1090072","106031","","3","9","1","0","","omp_talk_tsun","",""
"1090073","vo_omp_7009","","21","9","0","","","vo_omp_7009_012","","0"
"1090074","106031","","11","9","10","","1","そんなのうれしくないわよ～っ！？","","1"
"1090075","0","","91","9","","","","","",""
"1090076","106031","","3","9","1","0","","omp_idle_tsun","",""
"1090077","105831","","3","9","0","0","1","omp_psn_17","0.2","omp_idle_joy1"
"1090078","105931","","3","9","0","0","1","omp_psn_17","0.2","omp_idle_normal"
"1090079","112611","","3","9","0","0","1","omp_psn_17_other","0.2","omp_idle_joy1"
"1090080","vo_omp_7009","","21","9","0","","","vo_omp_7009_013","","0"
"1090081","105831","","11","9","10","","1","きゃるきゃるーん♪","","1"
"1090082","0","","91","9","","","","","",""
"1090083","106031","","3","9","1","0","","omp_talk_anger2","",""
"1090084","vo_omp_7009","","21","9","0","","","vo_omp_7009_014","","0"
"1090085","106031","","11","9","10","","1","絶対にぶっ殺す～～～～～～～！","","1"
"1090086","0","","91","9","","","","","",""
"1090087","0.4","","93","9","","","","","",""
