9369650f6a8c1c313c29e01bb4a4aeb5b2b6ca62673625267771b8f4ca3a9a02,eb26c13f36b00c9bd6ee0844f689a9c4b2d43e8dca7e9356760e564f7c81ba2f,db5be89819c37d0b0724312e0830c7fc9fbc61a0f7889018614fcc266a7a360f,e7a4c480284bb333db4909e4bad19fa3dc7e5aba23c5f899aa21ecff6402a37a,62191603da7c885db3531065a7baf6708696f6e75db1bc5ea1927dccb80574f6
"393","83001004","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"394","83001004","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"395","83001004","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"396","83001004","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"397","83001004","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"398","83001005","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"399","83001005","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"400","83001005","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"401","83001005","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"402","83001005","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"403","83001005","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"404","83001006","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"405","83001006","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"406","83001006","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"407","83001006","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"408","83001006","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"409","83001006","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"410","83001007","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"411","83001007","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"412","83001007","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"413","83001007","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"414","83001007","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"415","83001007","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"416","83001008","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"417","83001008","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"418","83001008","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"419","83001008","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"420","83001008","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"421","83001008","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"422","83001009","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"423","83001009","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"424","83001009","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"425","83001009","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"426","83001009","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"427","83001009","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"428","83001010","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"429","83001010","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"430","83001010","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"431","83001010","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"432","83001010","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"433","83001010","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"434","83001010","boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。"
"435","83001011","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"436","83001011","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"437","83001011","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"438","83001011","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"439","83001011","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"440","83001011","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"441","83001012","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"442","83001012","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"443","83001012","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"444","83001012","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"445","83001012","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"446","83001012","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"447","83001013","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"448","83001013","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"449","83001013","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"450","83001013","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"451","83001013","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"452","83001013","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"453","83001014","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"454","83001014","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"455","83001014","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"456","83001014","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"457","83001014","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"458","83001014","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"459","83001015","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"460","83001015","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"461","83001015","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"462","83001015","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"463","83001015","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"464","83001015","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"465","83001016","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"466","83001016","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"467","83001016","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"468","83001016","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"469","83001016","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"470","83001016","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"471","83001017","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"472","83001017","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"473","83001017","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"474","83001017","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"475","83001017","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"476","83001017","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"477","83001018","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"478","83001018","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"479","83001018","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"480","83001018","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"481","83001018","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"482","83001018","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"483","83001019","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"484","83001019","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"485","83001019","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"486","83001019","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"487","83001019","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"488","83001019","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"489","83001020","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"490","83001020","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"491","83001020","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"492","83001020","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"493","83001020","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"494","83001020","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"495","83001020","boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。"
"496","83001020","boss_haste","行動速度アップ","バトル開始時、すべてのモンスターの行動速度を大アップさせる。"
"497","83001021","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"498","83001021","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"499","83001021","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"500","83001021","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"501","83001021","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"502","83001021","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"503","83001022","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"504","83001022","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"505","83001022","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"506","83001022","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"507","83001022","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"508","83001022","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"509","83001023","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"510","83001023","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"511","83001023","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"512","83001023","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"513","83001023","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"514","83001023","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"515","83001024","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"516","83001024","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"517","83001024","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"518","83001024","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"519","83001024","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"520","83001024","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"521","83001025","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"522","83001025","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"523","83001025","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"524","83001025","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"525","83001025","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"526","83001025","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"527","83001026","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"528","83001026","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"529","83001026","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"530","83001026","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"531","83001026","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"532","83001026","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"533","83001027","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"534","83001027","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"535","83001027","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"536","83001027","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"537","83001027","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"538","83001027","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"539","83001028","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"540","83001028","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"541","83001028","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"542","83001028","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"543","83001028","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"544","83001028","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"545","83001029","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"546","83001029","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"547","83001029","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"548","83001029","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"549","83001029","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"550","83001029","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"551","83001030","14","風属性ボーナス特大アップ","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。"
"552","83001030","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"553","83001030","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"554","83001030","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"555","83001030","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"556","83001030","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"557","83001030","boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。"
"558","83001030","5","物理攻撃力ダウン","バトル開始時、すべてのキャラの物理攻撃力を大ダウンさせる。"
"559","83001030","6","魔法攻撃力ダウン","バトル開始時、すべてのキャラの魔法攻撃力を大ダウンさせる。"
"560","84001001","15","光属性ボーナス特大アップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。"
"561","84001001","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"562","84001001","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"563","84001001","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"564","84001001","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"565","84001001","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"566","84001002","15","光属性ボーナス特大アップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。"
"567","84001002","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"568","84001002","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"569","84001002","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"570","84001002","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"571","84001002","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"572","84001003","15","光属性ボーナス特大アップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。"
"573","84001003","11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"574","84001003","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"575","84001003","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"576","84001003","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"577","84001003","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。"
"578","84001004","15","光属性ボーナス特大アップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。"
