8680c04f1e84c59c54c2adf1419beae71c6e665faab8429906242d6c04f93c4c,a7b642972dd934def9b4dbf918559d9d76585ab3618de8be04fdca8cacc674ea,dcac4327de9251535dfa41a90bd12a8c830f6222a8261546a381b74dce5e64ed,152d442538e2dd1bc630c752e473f44268d561b7eecdb6fba7da1a81056e8b01,0359b2086656fc770130097a5c9ef9aaa37189a68340ffc832da9a2fdc543a36,d5f4d7858577a259acceddd0f31ae84f1794fff2bb9a033ab2045d638d2f2713,8db46f1ed29f84d0b0da523924c88bd027dd1944c2d912be57906f5f96f39954,c89efc986537e69144cb5fb4d91557e1e1dc941db0f6af730336834da655b7eb,f9845a611d62d563b6756793c3f9e8661148ff662797ab7337aa558ed0937bb6,a6905d729f831afc82a46618cb9a1bb99597a424e2e216500db2041005e1b6a0,562cf272e88bb12ae984bc09638b4a6dbef7deb4654f53b7ddf5a171bea5fac7
"1.3","1360001","105","5","03_uek_cmn_idol_def_N","1","1","110","0","102531","36"
"1.3","1360002","10","10","03_uek_cmn_idol_def_N","1","1","100","0","102831","36"
"","1360003","","","","93","1","","","","36"
"0","1360004","03_uek_36_suzume_loop","1","","3","102531","0","0","03_uek_36_suzume","36"
"0","1360005","03_uek_36_saren_loop","1","","3","102831","0","0","03_uek_36_saren","36"
"","1360006","","","","91","0","","","","36"
"","1360007","0","0","","11","102531","10","","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","36"
"","1360008","","","","91","0","","","","36"
"","1360009","0","0","","11","102831","10","","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","36"
"1.3","1370001","-118","-22","01_uek_cmn_idol_def_N","1","1","100","0","112531","37"
"1.3","1370002","0","0","01_uek_cmn_idol_def_N","1","1","100","0","112431","37"
"1.3","1370003","179","0","01_uek_27_tamaki_loop","1","1","100","1","112631","37"
"","1370004","","0","","3","112631","0","","01_uek_27_tamaki_loop","37"
"","1370005","","","","91","0","","","","37"
"","1370006","","0","","3","112631","0","","01_uek_27_tamaki_loop","37"
"","1370007","","","","91","0","","","","37"
"","1370008","","0","","3","112631","0","","01_uek_27_tamaki_loop","37"
"","1370009","","","","91","0","","","","37"
"0.5","1370010","","0","","3","112631","1","","01_uek_cmn_pose06","37"
"","1370011","0","0","","11","112631","10","","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","37"
"","1370012","","","","91","0","","","","37"
"","1370013","01_uek_35_rei_loop","1","","3","112531","0","","01_uek_35_rei","37"
"","1370014","0","0","","11","112531","10","","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","37"
"","1370015","","","","91","0","","","","37"
"0.2","1370016","","0","","3","112631","1","","01_uek_cmn_idol_def_N","37"
"","1370017","01_uek_16_uduki_loop","1","","3","112431","0","","01_uek_37_uduki","37"
"","1370018","0","0","","11","112431","10","","あの星みたいに\n私たちも\n輝きたいですね！","37"
"","1370019","","","","91","0","","","","37"
"1","11010001","30","1","","31","101","0","","14","101"
"1","11110001","150","1","","31","111","0","","11","111"
"1","11120001","150","1","","31","112","0","","12","112"
"1","11130001","125","1","","31","113","0","","13","113"
