008e8ceedb9e3a718c67847df7cb6ba43fce42af7e531bfa63fabfbf9905883d,c71728ea6f475203009f7c859316252812c5079ca0083b2c371f075097f91742,08bf7d63075eab7a931a8d43ce587799fd3116ff87b1b81c5969f61d054359b7,08eef09ad2dc09aaaf0941a9c4d91b2cc079dabb82b71b8de8d80166928ae204,3a5f6af322747637cac99633371f415731a5e47ca48e101913db549b1d2cac37,37d076043316c5e0fe8099448b70ff2ab322f8185d4a77468f838ccfeb8d68ba,eb800081d31058f1606161f6d55957fc3b4c7387125d90837093b076078e3493,64aa37d72ff26e9012978bd4518aafdaf47319580529e043f5e8f31b47019567,9ecfea11a3970038fd05950d6e1bf7c9785dc128b407714ef13f5279e844be80,b1781607922d264989d31c11dc1b2e5fa0d2a745215eb61dd7b3516fd0b0c217,ba6c39bdd91484e96668339813d69c0b282d3257f60db2be378496789fa9fe6b
"","12314051","12314","","","91","","","","","0"
"","12314052","12314","1","","3","wac_birthday_idle_sad","0.2","","","106311"
"","12314053","12314","1","","3","wac_birthday_talk_smile","0.2","","","118511"
"","12314054","12314","0","","21","vo_wac_12314_001","","0","","vo_wac_12314"
"0","12314055","12314","10","0.5","11","ふふっ……\nそんなに喜んでもらえるなんて、\nサプライズ大成功ですね♪","0","1","1","118511"
"","12314056","12314","","","91","","","","","0"
"","12314057","12314","1","","3","wac_birthday_idle_smile","0.2","","","118511"
"","12314058","12314","1","","3","wac_birthday_talk_sad","0.2","","","106311"
"","12314059","12314","0","","21","vo_wac_12314_002","","0","","vo_wac_12314"
"0","12314060","12314","10","0.5","11","うぅ……はずかしい……\nここぞって時にかんじゃうなんて……\nでもそうなんです。本当にうれしくて！\nカリンさんに感謝してます！","0","1","1","106311"
"","12314061","12314","","","91","","","","","0"
"","12314062","12314","1","","3","wac_birthday_talk_smile","0.2","","","106311"
"","12314063","12314","0","","21","vo_wac_12314_003","","0","","vo_wac_12314"
"0","12314064","12314","10","0.5","11","それから、あなたも……\nこんな風にお祝いしてもらえるなんて、\n胸がいっぱいであふれちゃいそうだよ！\nあの！　また今度、森を案内させてね！","0","1","1","106311"
"","12314065","12314","","","91","","","","","0"
"","12314066","12314","","","22","","","","","0"
"","13114001","13114","","","25","bgm_M321_2C","","","","bgm_M321"
"0","13114002","13114","250","wac_birthday_idle_normal","1","106511","2","-1000","-70","1"
"1","13114003","13114","256","wac_birthday_idle_doya","1","106611","2","230","-270","1"
"1","13114004","13114","257","wac_birthday_idle_normal","1","106711","2","370","-310","1"
"","13114005","13114","","","13","300","","","","106511"
"","13114006","13114","","","13","300","","","","106611"
"","13114007","13114","0","","31","500","0","0","1","500"
"","13114008","13114","0","","31","600","1","0","1","600"
"","13114009","13114","0","","31","602","0","0","1","602"
"","13114010","13114","0","","31","603","0","0","1","603"
"","13114011","13114","30","","31","604","1","60","1","604"
"","13114012","13114","0","","31","612","1","0","1","612"
"","13114013","13114","0","","31","700","0","0","1","700"
"","13114014","13114","0","","31","701","0","0","1","701"
"","13114015","13114","0","","31","702","0","0","1","702"
"","13114016","13114","0","","31","800","0","0","1","800"
"","13114017","13114","30","","31","913","1","60","1","913"
"","13114018","13114","","","93","","","","","1"
"0.2","13114019","13114","0","","3","wac_birthday_homare_reaction_05","0.2","wac_birthday_reaction_03","1","106711"
"","13114020","13114","","","93","","","","","0.1"
"0.2","13114021","13114","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","106611"
"","13114022","13114","","","93","","","","","0.3"
"","13114023","13114","1","","3","wac_birthday_run_01","0.2","","","106511"
"","13114024","13114","-70","","2","0","","3","","106511"
"","13114025","13114","","","93","","","","","2.5"
"","13114026","13114","","","32","1","","","","602"
"","13114027","13114","","","93","","","","","0.6"
"","13114028","13114","","","32","1","","","","500"
"","13114029","13114","","","32","0","","","","600"
"","13114030","13114","","","32","0","","","","612"
"","13114031","13114","","","32","0","","","","604"
"","13114032","13114","","","32","1","","","","701"
"","13114033","13114","0","","33","0","","0.01","","913"
"0.2","13114034","13114","0","","3","wac_birthday_blowout_01","0.2","wac_birthday_wish_02","1","106511"
"","13114035","13114","-330","","2","-200","","0.01","","106511"
"","13114036","13114","1","","3","wac_birthday_idle_doya","0.2","","","106611"
"","13114037","13114","-320","","2","180","","0.01","","106611"
"","13114038","13114","1","","3","wac_birthday_idle_normal","0.2","","","106711"
"","13114039","13114","-340","","2","320","","0.01","","106711"
"","13114040","13114","","","93","","","","","0"
"","13114041","13114","","","32","1","","","","800"
"","13114042","13114","","","93","","","","","0.7"
"","13114043","13114","","","32","1","","","","702"
"","13114044","13114","","","93","","","","","0.5"
"","13114045","13114","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","13114046","13114","","","32","0","","","","701"
"","13114047","13114","","","93","","","","","0.4"
"","13114048","13114","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","13114049","13114","","","32","1","","","","700"
"","13114050","13114","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","13114051","13114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_doya","1","106611"
"","13114052","13114","","","93","","","","","0.1"
"0.2","13114053","13114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","106711"
"","13114054","13114","","","93","","","","","2"
"","13114055","13114","","","131","","","","","1"
"","13114056","13114","0","","21","vo_wac_13114_000","","0","","vo_wac_13114"
"0","13114057","13114","10","0.5","11","おいおい、ずいぶんと立派な\nケーキじゃないか。\nもしかしてオレの誕生日だからって\nわざわざ用意してくれたのか？","0","1","1","106511"
"","13114058","13114","","","91","","","","","0"
"","13114059","13114","1","","3","wac_birthday_idle_smile","0.2","","","106511"
"","13114060","13114","1","","3","wac_birthday_talk_doya","0.2","","","106611"
"","13114061","13114","0","","21","vo_wac_13114_001","","0","","vo_wac_13114"
"0","13114062","13114","10","0.5","11","ふっふっふ、とーぜんですよ！\nさあさあカヤぴぃ！\n存分にあたしに感謝するがいいです！","0","1","1","106611"
"","13114063","13114","","","91","","","","","0"
"","13114064","13114","1","","3","wac_birthday_idle_doya","0.2","","","106611"
"","13114065","13114","1","","3","wac_birthday_talk_smile","0.2","","","106711"
"","13114066","13114","0","","21","vo_wac_13114_002","","0","","vo_wac_13114"
"0","13114067","13114","10","0.5","11","イノリちゃんは彼が準備してるのを\nつまみ食いしながら\n見てただけじゃなかったっけ？","0","1","1","106711"
"","13114068","13114","","","91","","","","","0"
"","13114069","13114","1","","3","wac_birthday_idle_smile","0.2","","","106711"
"","13114070","13114","1","","3","wac_birthday_talk_doya","0.2","","","106511"
"","13114071","13114","0","","21","vo_wac_13114_003","","0","","vo_wac_13114"
"0","13114072","13114","10","0.5","11","ハハッ、でもボスもイノリも\n手伝ってくれたんだろ？\nキミもありがとうな。おかげで\n忘れられない誕生日になりそうだ。","0","1","1","106511"
"","13114073","13114","","","91","","","","","0"
"","13114074","13114","","","22","","","","","0"
"","14114001","14114","","","25","bgm_M321_2C","","","","bgm_M321"
"0","14114002","14114","250","wac_birthday_idle_normal","1","100911","2","-1000","-70","1"
"1","14114003","14114","256","wac_birthday_idle_smile","1","105611","2","170","-260","1"
"1","14114004","14114","259","wac_birthday_idle_normal","1","102711","2","270","-310","1"
"1","14114005","14114","257","wac_birthday_idle_kyapi","1","101311","2","390","-270","1"
"1","14114006","14114","258","wac_birthday_idle_wish","1","105111","2","500","-310","1"
"","14114007","14114","","","13","300","","","","100911"
"","14114008","14114","","","13","300","","","","105611"
"","14114009","14114","0","","31","501","0","0","1","501"
"","14114010","14114","0","","31","600","1","0","1","600"
"","14114011","14114","0","","31","602","0","0","1","602"
"","14114012","14114","0","","31","603","0","0","1","603"
"","14114013","14114","30","","31","604","1","60","1","604"
"","14114014","14114","0","","31","613","1","0","1","613"
"","14114015","14114","0","","31","700","0","0","1","700"
"","14114016","14114","0","","31","701","0","0","1","701"
"","14114017","14114","0","","31","702","0","0","1","702"
"","14114018","14114","0","","31","800","0","0","1","800"
"","14114019","14114","30","","31","914","1","60","1","914"
"","14114020","14114","","","93","","","","","1"
"0.2","14114021","14114","0","","3","wac_birthday_reaction_03","0.2","wac_birthday_reaction_05","1","102711"
"0.2","14114022","14114","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","105611"
"","14114023","14114","","","93","","","","","0.1"
"0.2","14114024","14114","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_03","1","101311"
"0.2","14114025","14114","0","","3","wac_birthday_reaction_04","0.2","wac_birthday_reaction_05","1","105111"
"","14114026","14114","","","93","","","","","0.3"
"","14114027","14114","1","","3","wac_birthday_anna_run_01","0.2","","","100911"
"","14114028","14114","-70","","2","0","","3","","100911"
"","14114029","14114","","","93","","","","","2.5"
"","14114030","14114","","","32","1","","","","602"
"","14114031","14114","","","93","","","","","0.6"
"","14114032","14114","","","32","1","","","","501"
"","14114033","14114","","","32","0","","","","600"
"","14114034","14114","","","32","0","","","","613"
"","14114035","14114","","","32","0","","","","604"
"","14114036","14114","","","32","1","","","","701"
"","14114037","14114","0","","33","0","","0.01","","914"
"0.2","14114038","14114","0","","3","wac_birthday_blowout_01","0.2","wac_birthday_anna_wish_02","1","100911"
"","14114039","14114","-330","","2","-200","","0.01","","100911"
"","14114040","14114","1","","3","wac_birthday_idle_smile","0.2","","","105611"
"","14114041","14114","-320","","2","150","","0.01","","105611"
"","14114042","14114","1","","3","wac_birthday_idle_normal","0.2","","","102711"
"","14114043","14114","-360","","2","260","","0.01","","102711"
"","14114044","14114","1","","3","wac_birthday_idle_kyapi","0.2","","","101311"
"","14114045","14114","-320","","2","380","","0.01","","101311"
"","14114046","14114","1","","3","wac_birthday_idle_wish","0.2","","","105111"
"","14114047","14114","-340","","2","480","","0.01","","105111"
"","14114048","14114","","","93","","","","","0"
"","14114049","14114","","","32","1","","","","800"
"","14114050","14114","","","93","","","","","0.7"
"","14114051","14114","","","32","1","","","","702"
"","14114052","14114","","","93","","","","","0.5"
"","14114053","14114","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","14114054","14114","","","32","0","","","","701"
"","14114055","14114","","","93","","","","","0.4"
"","14114056","14114","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","14114057","14114","","","32","1","","","","700"
"","14114058","14114","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","14114059","14114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","105611"
"0.2","14114060","14114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_kyapi","1","101311"
"","14114061","14114","","","93","","","","","0.1"
"0.2","14114062","14114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","102711"
"","14114063","14114","","","93","","","","","0.1"
"0.2","14114064","14114","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","105111"
"","14114065","14114","","","93","","","","","2"
"","14114066","14114","","","131","","","","","1"
"","14114067","14114","0","","21","vo_wac_14114_000","","0","","vo_wac_14114"
"0","14114068","14114","10","0.5","11","私の生誕祝い、だと……！？\nくっ、そのようなことをされたら、\n魔瞳の封印が解けてしまう！\nし、鎮まれ、鎮まりたまえ……！","0","1","1","100911"
"","14114069","14114","","","91","","","","","0"
"","14114070","14114","1","","3","wac_birthday_idle_sad","0.2","","","100911"
"","14114071","14114","1","","3","wac_birthday_talk_smile","0.2","","","105611"
"","14114072","14114","0","","21","vo_wac_14114_001","","0","","vo_wac_14114"
"0","14114073","14114","10","0.5","11","はは、その目に封印された\n誰かさんも、うれし涙は出るんだね？\n手間暇かけて、ケーキを\n準備したかいがあったよ。","0","1","1","105611"
"","14114074","14114","","","91","","","","","0"
"","14114075","14114","1","","3","wac_birthday_idle_smile","0.2","","","105611"
"","14114076","14114","1","","3","wac_birthday_talk_anger","0.2","","","100911"
"","14114077","14114","0","","21","vo_wac_14114_002","","0","","vo_wac_14114"
"0","14114078","14114","10","0.5","11","べ、別に泣いてなどいないぞっ！？\n今はちょっとその、顔についた\n絵の具を拭ってるだけで……！\n見られるのが恥ずかしいわけでは……","0","1","1","100911"
"","14114079","14114","","","91","","","","","0"
"","14114080","14114","1","","3","wac_birthday_talk_smile","0.2","","","100911"
"","14114081","14114","0","","21","vo_wac_14114_003","","0","","vo_wac_14114"
"0","14114082","14114","10","0.5","11","で、でもその……みんな、ありがとう！\n内なる封印が解かれそうなほどの……\n望外の喜びだ！　だから……\n大切に食べる！　味わって食べるぞ！","0","1","1","100911"
"","14114083","14114","","","91","","","","","0"
"","14114084","14114","","","22","","","","","0"
"","14314001","14314","","","25","bgm_M321_2C","","","","bgm_M321"
"0","14314002","14314","250","wac_birthday_idle_normal","1","101711","2","-1000","-70","1"
"1","14314003","14314","256","wac_birthday_idle_normal","1","104311","2","200","-270","1"
"1","14314004","14314","258","wac_birthday_idle_wish","1","101011","2","320","-310","1"
"1","14314005","14314","257","wac_birthday_idle_smile","1","101411","2","450","-290","1"
"","14314006","14314","","","13","300","","","","101711"
"","14314007","14314","","","13","300","","","","104311"
"","14314008","14314","0","","31","501","0","0","1","501"
"","14314009","14314","0","","31","600","1","0","1","600"
"","14314010","14314","0","","31","602","0","0","1","602"
"","14314011","14314","0","","31","603","0","0","1","603"
"","14314012","14314","30","","31","604","1","60","1","604"
"","14314013","14314","0","","31","613","1","0","1","613"
"","14314014","14314","0","","31","700","0","0","1","700"
"","14314015","14314","0","","31","701","0","0","1","701"
"","14314016","14314","0","","31","702","0","0","1","702"
"","14314017","14314","0","","31","800","0","0","1","800"
"","14314018","14314","30","","31","915","1","60","1","915"
"","14314019","14314","","","93","","","","","1"
"0.2","14314020","14314","0","","3","wac_birthday_reaction_03","0.2","wac_birthday_reaction_05","1","101011"
"","14314021","14314","","","93","","","","","0.1"
"0.2","14314022","14314","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","104311"
"0.2","14314023","14314","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","101411"
"","14314024","14314","","","93","","","","","0.3"
"","14314025","14314","1","","3","wac_birthday_run_01","0.2","","","101711"
"","14314026","14314","-70","","2","0","","3","","101711"
"","14314027","14314","","","93","","","","","2.5"
"","14314028","14314","","","32","1","","","","602"
"","14314029","14314","","","93","","","","","0.6"
"","14314030","14314","","","32","1","","","","501"
"","14314031","14314","","","32","0","","","","600"
"","14314032","14314","","","32","0","","","","613"
"","14314033","14314","","","32","0","","","","604"
"","14314034","14314","","","32","1","","","","701"
"","14314035","14314","0","","33","0","","0.01","","915"
"0.2","14314036","14314","0","","3","wac_birthday_blowout_02","0.2","wac_birthday_wish_02","1","101711"
"","14314037","14314","-330","","2","-200","","0.01","","101711"
"","14314038","14314","1","","3","wac_birthday_idle_normal","0.2","","","104311"
"","14314039","14314","-320","","2","180","","0.01","","104311"
"","14314040","14314","1","","3","wac_birthday_idle_wish","0.2","","","101011"
"","14314041","14314","-360","","2","300","","0.01","","101011"
"","14314042","14314","1","","3","wac_birthday_idle_smile","0.2","","","101411"
"","14314043","14314","-340","","2","430","","0.01","","101411"
"","14314044","14314","","","93","","","","","0"
"","14314045","14314","","","32","1","","","","800"
"","14314046","14314","","","93","","","","","0.7"
"","14314047","14314","","","32","1","","","","702"
"","14314048","14314","","","93","","","","","0.5"
"","14314049","14314","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","14314050","14314","","","32","0","","","","701"
"","14314051","14314","","","93","","","","","0.4"
"","14314052","14314","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","14314053","14314","","","32","1","","","","700"
"","14314054","14314","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","14314055","14314","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","104311"
"","14314056","14314","","","93","","","","","0.1"
"0.2","14314057","14314","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","101011"
"","14314058","14314","","","93","","","","","0.1"
"0.2","14314059","14314","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","101411"
"","14314060","14314","","","93","","","","","2"
"","14314061","14314","","","131","","","","","1"
"","14314062","14314","0","","21","vo_wac_14314_000","","0","","vo_wac_14314"
"0","14314063","14314","10","0.5","11","わぁっ、この誕生日ケーキ……！\nみんなで作ってくれたさ～？\nこんなでっかいケーキ、\n見たことないさー！","0","1","1","101711"
"","14314064","14314","","","91","","","","","0"
"","14314065","14314","1","","3","wac_birthday_idle_kyapi","0.2","","","101711"
"","14314066","14314","1","","3","wac_birthday_talk_doya","0.2","","","104311"
"","14314067","14314","0","","21","vo_wac_14314_001","","0","","vo_wac_14314"
"0","14314068","14314","10","0.5","11","へへ、慣れないことしちまったけど、\nあたしもちょっと手伝ったんだぜ。\nその、いちご切ったりとかさ……\nほんのちょっとだけだけどな！","0","1","1","104311"
"","14314069","14314","","","91","","","","","0"
"","14314070","14314","1","","3","wac_birthday_idle_doya","0.2","","","104311"
"","14314071","14314","1","","3","wac_birthday_talk_smile","0.2","","","101711"
"","14314072","14314","0","","21","vo_wac_14314_002","","0","","vo_wac_14314"
"0","14314073","14314","10","0.5","11","えへへ、言葉にできないくらい\nうれしいさ～！　この気持ちを\nみんなに伝えるには……\n歌って踊るしかないさー！","0","1","1","101711"
"","14314074","14314","","","91","","","","","0"
"","14314075","14314","1","","3","wac_birthday_talk_kyapi","0.2","","","101711"
"","14314076","14314","0","","21","vo_wac_14314_003","","0","","vo_wac_14314"
"0","14314077","14314","10","0.5","11","ほら、みんなも歌ってほしいさ～！\nそうしてくれたら私、\n今までで一番の踊りを\n披露して見せるから！","0","1","1","101711"
"","14314078","14314","","","91","","","","","0"
"","14314079","14314","","","22","","","","","0"
"","14714001","14714","","","25","bgm_M321_2C","","","","bgm_M321"
"0","14714002","14714","250","wac_birthday_idle_normal","1","105611","2","-1000","-70","1"
"1","14714003","14714","256","wac_birthday_idle_doya","1","100911","2","170","-260","1"
"1","14714004","14714","259","wac_birthday_idle_normal","1","105111","2","250","-310","1"
"1","14714005","14714","257","wac_birthday_idle_wish","1","102711","2","370","-270","1"
"1","14714006","14714","258","wac_birthday_idle_smile","1","101311","2","500","-310","1"
"","14714007","14714","","","13","300","","","","105611"
"","14714008","14714","","","13","300","","","","100911"
"","14714009","14714","0","","31","501","0","0","1","501"
"","14714010","14714","0","","31","600","1","0","1","600"
"","14714011","14714","0","","31","602","0","0","1","602"
"","14714012","14714","0","","31","603","0","0","1","603"
"","14714013","14714","30","","31","604","1","60","1","604"
"","14714014","14714","0","","31","613","1","0","1","613"
"","14714015","14714","0","","31","700","0","0","1","700"
"","14714016","14714","0","","31","701","0","0","1","701"
"","14714017","14714","0","","31","702","0","0","1","702"
"","14714018","14714","0","","31","800","0","0","1","800"
"","14714019","14714","30","","31","916","1","60","1","916"
"","14714020","14714","","","93","","","","","1"
"0.2","14714021","14714","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_04","1","105111"
"0.2","14714022","14714","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","100911"
"","14714023","14714","","","93","","","","","0.1"
"0.2","14714024","14714","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_03","1","102711"
"0.2","14714025","14714","0","","3","wac_birthday_reaction_03","0.2","wac_birthday_reaction_05","1","101311"
"","14714026","14714","","","93","","","","","0.3"
"","14714027","14714","1","","3","wac_birthday_run_01","0.2","","","105611"
"","14714028","14714","-70","","2","0","","3","","105611"
"","14714029","14714","","","93","","","","","2.5"
"","14714030","14714","","","32","1","","","","602"
"","14714031","14714","","","93","","","","","0.6"
"","14714032","14714","","","32","1","","","","501"
"","14714033","14714","","","32","0","","","","600"
"","14714034","14714","","","32","0","","","","613"
"","14714035","14714","","","32","0","","","","604"
"","14714036","14714","","","32","1","","","","701"
"","14714037","14714","0","","33","0","","0.01","","916"
"0.2","14714038","14714","0","","3","wac_birthday_blowout_01","0.2","wac_birthday_wish_01","1","105611"
"","14714039","14714","-330","","2","-200","","0.01","","105611"
"","14714040","14714","1","","3","wac_birthday_idle_doya","0.2","","","100911"
"","14714041","14714","-320","","2","150","","0.01","","100911"
"","14714042","14714","1","","3","wac_birthday_idle_normal","0.2","","","105111"
"","14714043","14714","-360","","2","260","","0.01","","105111"
"","14714044","14714","1","","3","wac_birthday_idle_wish","0.2","","","102711"
"","14714045","14714","-320","","2","380","","0.01","","102711"
"","14714046","14714","1","","3","wac_birthday_idle_smile","0.2","","","101311"
"","14714047","14714","-340","","2","500","","0.01","","101311"
"","14714048","14714","","","93","","","","","0"
"","14714049","14714","","","32","1","","","","800"
"","14714050","14714","","","93","","","","","0.7"
"","14714051","14714","","","32","1","","","","702"
"","14714052","14714","","","93","","","","","0.5"
"","14714053","14714","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","14714054","14714","","","32","0","","","","701"
"","14714055","14714","","","93","","","","","0.4"
"","14714056","14714","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","14714057","14714","","","32","1","","","","700"
"","14714058","14714","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","14714059","14714","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_doya","1","100911"
"0.2","14714060","14714","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","102711"
"","14714061","14714","","","93","","","","","0.1"
"0.2","14714062","14714","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","105111"
"","14714063","14714","","","93","","","","","0.1"
"0.2","14714064","14714","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","101311"
"","14714065","14714","","","93","","","","","2"
"","14714066","14714","","","131","","","","","1"
"","14714067","14714","0","","21","vo_wac_14714_000","","0","","vo_wac_14714"
"0","14714068","14714","10","0.5","11","おっと……こいつは驚いた。\nまさかこんな仕込みをしていたなんて。\nアンタらの誕生日は覚えてたが、\n自分のはすっかり忘れちまってたよ。","0","1","1","105611"
"","14714069","14714","","","91","","","","","0"
"","14714070","14714","1","","3","wac_birthday_idle_smile","0.2","","","105611"
"","14714071","14714","1","","3","wac_birthday_talk_doya","0.2","","","100911"
"","14714072","14714","0","","21","vo_wac_14714_001","","0","","vo_wac_14714"
"0","14714073","14714","10","0.5","11","ふっ、ルカには日ごろ世話になってる\nからな！　生誕を祝うのは当然だ！\nちなみに私はローソクを立てたぞ！\n見ろ、完璧なバランスだろう！？","0","1","1","100911"
"","14714074","14714","","","91","","","","","0"
"","14714075","14714","1","","3","wac_birthday_idle_doya","0.2","","","100911"
"","14714076","14714","1","","3","wac_birthday_talk_smile","0.2","","","105611"
"","14714077","14714","0","","21","vo_wac_14714_002","","0","","vo_wac_14714"
"0","14714078","14714","10","0.5","11","ああ、たしかに、こいつはすごい。\nまるで絵の中から飛び出してきた\nみたいじゃないか……ありがとう。\n大切にいただくとするよ。","0","1","1","105611"
"","14714079","14714","","","91","","","","","0"
"","14714080","14714","1","","3","wac_birthday_talk_doya","0.2","","","105611"
"","14714081","14714","0","","21","vo_wac_14714_003","","0","","vo_wac_14714"
"0","14714082","14714","10","0.5","11","そら、アンタたちも食べな。\nせっかく用意してくれた\nごちそうなんだ。みんなで\n景気よく楽しもうじゃないか♪","0","1","1","105611"
"","14714083","14714","","","91","","","","","0"
"","14714084","14714","","","22","","","","","0"
"","16114001","16114","","","25","bgm_M321_2C","","","","bgm_M321"
"0","16114002","16114","250","wac_birthday_idle_normal","1","106811","2","-1000","-70","1"
"1","16114003","16114","256","wac_birthday_idle_smile","1","101111","2","230","-270","1"
"1","16114004","16114","257","wac_birthday_idle_normal","1","104911","2","410","-310","1"
"","16114005","16114","","","13","300","","","","106811"
"","16114006","16114","","","13","300","","","","101111"
"","16114007","16114","","","13","300","","","","104911"
"","16114008","16114","0","","31","501","0","0","1","501"
"","16114009","16114","0","","31","600","1","0","1","600"
"","16114010","16114","0","","31","602","0","0","1","602"
"","16114011","16114","0","","31","603","0","0","1","603"
"","16114012","16114","30","","31","604","1","60","1","604"
"","16114013","16114","0","","31","613","1","0","1","613"
"","16114014","16114","0","","31","700","0","0","1","700"
"","16114015","16114","0","","31","701","0","0","1","701"
"","16114016","16114","0","","31","702","0","0","1","702"
"","16114017","16114","0","","31","800","0","0","1","800"
"","16114018","16114","30","","31","917","1","60","1","917"
"","16114019","16114","","","93","","","","","1"
"0.2","16114020","16114","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_03","1","104911"
"","16114021","16114","","","93","","","","","0.1"
"0.2","16114022","16114","0","","3","wac_birthday_reaction_03","0.2","wac_birthday_reaction_05","1","101111"
"","16114023","16114","","","93","","","","","0.3"
"","16114024","16114","1","","3","wac_birthday_run_01","0.2","","","106811"
"","16114025","16114","-70","","2","0","","3","","106811"
"","16114026","16114","","","93","","","","","2.5"
"","16114027","16114","","","32","1","","","","602"
"","16114028","16114","","","93","","","","","0.6"
"","16114029","16114","","","32","1","","","","501"
"","16114030","16114","","","32","0","","","","600"
"","16114031","16114","","","32","0","","","","613"
"","16114032","16114","","","32","0","","","","604"
"","16114033","16114","","","32","1","","","","701"
"","16114034","16114","0","","33","0","","0.01","","917"
"0.2","16114035","16114","0","","3","wac_birthday_blowout_01","0.2","wac_birthday_wish_01","1","106811"
"","16114036","16114","-330","","2","-200","","0.01","","106811"
"","16114037","16114","1","","3","wac_birthday_idle_smile","0.2","","","101111"
"","16114038","16114","-320","","2","180","","0.01","","101111"
"","16114039","16114","1","","3","wac_birthday_idle_normal","0.2","","","104911"
"","16114040","16114","-340","","2","320","","0.01","","104911"
"","16114041","16114","","","93","","","","","0"
"","16114042","16114","","","32","1","","","","800"
"","16114043","16114","","","93","","","","","0.7"
"","16114044","16114","","","32","1","","","","702"
"","16114045","16114","","","93","","","","","0.5"
"","16114046","16114","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","16114047","16114","","","32","0","","","","701"
"","16114048","16114","","","93","","","","","0.4"
"","16114049","16114","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","16114050","16114","","","32","1","","","","700"
"","16114051","16114","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","16114052","16114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","101111"
"","16114053","16114","","","93","","","","","0.1"
"0.2","16114054","16114","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_normal","1","104911"
"","16114055","16114","","","93","","","","","2"
"","16114056","16114","","","131","","","","","1"
"","16114057","16114","0","","21","vo_wac_16114_000","","0","","vo_wac_16114"
"0","16114058","16114","10","0.5","11","これはこれは……驚いたね。\n立派なケーキじゃないか。\nわざわざ用意してくれたんだ？\n嬉しいことしてくれるねえ。","0","1","1","106811"
"","16114059","16114","","","91","","","","","0"
"","16114060","16114","1","","3","wac_birthday_idle_normal","0.2","","","106811"
"","16114061","16114","1","","3","wac_birthday_talk_smile","0.2","","","101111"
"","16114062","16114","0","","21","vo_wac_16114_001","","0","","vo_wac_16114"
"0","16114063","16114","10","0.5","11","マスターにはいつもお世話に\nなってますもんね♪\nお兄ちゃんと私たちみんなで\n作っちゃいました！","0","1","1","101111"
"","16114064","16114","","","91","","","","","0"
"","16114065","16114","1","","3","wac_birthday_idle_smile","0.2","","","101111"
"","16114066","16114","1","","3","wac_birthday_talk_wish","0.2","","","104911"
"","16114067","16114","0","","21","vo_wac_16114_002","","0","","vo_wac_16114"
"0","16114068","16114","10","0.5","11","クレープ屋さんで培った技術を\nふんだんにつぎ込んだ\nお姉ちゃんと弟くんとの愛の傑作だよ！\nさぁ、マスター。食べて食べて。","0","1","1","104911"
"","16114069","16114","","","91","","","","","0"
"","16114070","16114","1","","3","wac_birthday_idle_wish","0.2","","","104911"
"","16114071","16114","1","","3","wac_birthday_talk_doya","0.2","","","101111"
