449706335ce2df5e96a831f81108582333464fc3e7a43e414ec2db2902aed727,774598b67b296ded80fcd4280803fc418de9a32571b3af1144b60f11c20c51b9,11e63b09921b0c673e3e8c14cb6a7ab68d77a70bb9c8b34cc0eb83bb315dd45c,49bae0d0f3707a96eb0b97cf17cf1dab0a6e88283fda448589fda498677ab046,c362d49a41435bb02c7dd39835be6b054595e8d82b884ba1c2c71f822ced95e0,566d34be5e30174a7503072d773ed4e255afe98b9b50c047b59c8d4720aa8ad5,6c0a12f3b94e400e76e22d04f233c5e85b0e4971f0460f96bbd8f36641e60270,6b86230d2247cd22a6be3ea8d0e364542221039e6b399ef8f3ef6f594ceca6d2,ffdee39e79473440d093fc50c952987421b1d8e0ee54ce920fd54aa53afe52bb,8c3bc52ccd92060b8595ceeb160428af9bdc261c27dd0d2d186a6e051bf7380a,7355c8c1dbf7481e9fde4d32d9db96fc15b8d67b5420a3b30cd73c652666007e
"33","3","2","0","1330013","","","","0.2","","pkb_talk_yell"
"33","93","3","","1330014","","","","","",""
"33","3","2","0","1330015","","","pkb_idle_shock","0.2","1","pkb_shock"
"33","91","1330011","","1330016","","","","","",""
"33","3","2","1","1330017","","","","0.2","","pkb_idle_normal"
"34","1","1","100","1340001","pkb_idle_normal","1","170","1.6","-150","106531"
"34","1","1","100","1340002","pkb_idle_normal","0","-20","1.6","-150","113411"
"34","3","106531","0","1340003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"34","21","vo_minigame_1006","0","1340004","","","0","","","vo_minigame_1006_top_talk_13_301"
"34","11","106531","8","1340005","-1","0","0","0","0","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？"
"34","93","3.4","","1340006","","","","","",""
"34","3","106531","1","1340007","","","","0.2","","pkb_talk_normal"
"34","91","1340005","","1340008","","","","","",""
"34","3","106531","1","1340009","","","","0.2","","pkb_idle_normal"
"34","3","113411","1","1340010","","","","0.2","","pkb_talk_normal"
"34","21","vo_minigame_1006","0","1340011","","","0","","","vo_minigame_1006_top_talk_13_202"
"34","11","113411","8","1340012","1","0","0","0","0","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ"
"34","93","1.2","","1340013","","","","","",""
"34","3","113411","0","1340014","","0.2","pkb_talk_surprise1","0.2","1","pkb_surprise"
"34","93","1","","1340015","","","","","",""
"34","3","113411","1","1340016","","","","0.2","","pkb_talk_joy3"
"34","91","1340012","","1340017","","","","","",""
"34","3","113411","1","1340018","","","","0.2","","pkb_idle_normal"
"35","1","1","100","1350001","pkb_idle_normal","0","-20","1.6","-150","113511"
"35","1","1","100","1350002","pkb_idle_normal","1","170","1.6","-150","102311"
"35","3","113511","1","1350003","","","","0.2","","pkb_talk_joy3"
"35","21","vo_minigame_1006","0","1350004","","","0","","","vo_minigame_1006_top_talk_14_101"
"35","11","113511","6","1350005","0.5","0","0","0","0","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！"
"35","93","5.2","","1350006","","","","","",""
"35","3","113511","1","1350007","","","","0.2","","pkb_talk_wish"
"35","91","1350005","","1350008","","","","","",""
"35","3","113511","1","1350009","","","","0.2","","pkb_idle_normal"
"35","3","102311","1","1350010","","","","0.2","","pkb_talk_joy1"
"35","21","vo_minigame_1006","0","1350011","","","0","","","vo_minigame_1006_top_talk_14_402"
"35","11","102311","8","1350012","-1","0","0","0","0","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！"
"35","93","3.2","","1350013","","","","","",""
"35","3","102311","0","1350014","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"35","91","1350012","","1350015","","","","","",""
"35","3","102311","1","1350016","","","","0.2","","pkb_idle_normal"
"36","5","3","100","1360001","pkb_idle_normal_l","1","170","55","-130","3"
"36","5","1","100","1360002","pkb_idle_normal","0","-20","55","-130","1"
"36","3","3","0","1360003","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"36","21","vo_minigame_1006","0","1360004","","","0","","","vo_minigame_1006_top_talk_15_601"
"36","11","3","8","1360005","-0.5","0","0","0","0","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！"
"36","91","1360005","","1360006","","","","","",""
"36","3","3","1","1360007","","","","0.2","","pkb_idle_normal_l"
"36","3","1","0","1360008","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"36","21","vo_minigame_1006","0","1360009","","","0","","","vo_minigame_1006_top_talk_15_702"
"36","11","1","8","1360010","0","0","0","0","0","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！"
"36","91","1360010","","1360011","","","","","",""
"36","3","1","1","1360012","","","","0.2","","pkb_idle_normal"
"37","5","1","100","1370001","pkb_idle_normal","0","-20","55","-130","1"
"37","5","3","100","1370002","pkb_idle_normal_l","1","170","55","-130","3"
"37","3","1","0","1370003","","","pkb_idle_guts","0.2","1","pkb_talk_guts"
"37","21","vo_minigame_1006","0","1370004","","","0","","","vo_minigame_1006_top_talk_16_701"
"37","11","1","8","1370005","-0.5","0","0","0","0","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！"
"37","93","3.2","","1370006","","","","","",""
"37","3","1","0","1370007","","0.2","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"37","91","1370005","","1370008","","","","","",""
"37","3","1","1","1370009","","","","0.2","","pkb_idle_normal"
"37","3","3","0","1370010","","0.2","pkb_idle_arm_crossed_l","0.2","1","pkb_talk_arm_crossed_l"
"37","21","vo_minigame_1006","0","1370011","","","0","","","vo_minigame_1006_top_talk_16_602"
"37","11","3","8","1370012","1","0","0","0","0","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！"
"37","93","4.8","","1370013","","","","","",""
"37","3","3","0","1370014","","","pkb_idle_guts_l","0.2","1","pkb_talk_guts_l"
"37","91","1370012","","1370015","","","","","",""
"37","3","3","1","1370016","","","","0.2","","pkb_idle_normal_l"
"38","1","1","100","1380001","pkb_idle_normal","1","170","1.6","-150","106531"
"38","5","2","100","1380002","pkb_idle_normal","0","-20","55","-130","2"
"38","3","106531","0","1380003","","0.2","pkb_idle_arm_crossed","0.2","1","pkb_talk_arm_crossed"
"38","21","vo_minigame_1006","0","1380004","","","0","","","vo_minigame_1006_top_talk_17_301"
"38","11","106531","8","1380005","-0.5","0","0","0","0","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！"
"38","93","3.6","","1380006","","","","","",""
"38","3","106531","0","1380007","","","pkb_idle_doya","0.2","1","pkb_talk_doya"
"38","93","2","","1380008","","","","","",""
"38","3","106531","0","1380009","","0.2","pkb_idle_normal","0.2","1","pkb_talk_handsup"
"38","91","1380005","","1380010","","","","","",""
"38","93","1","","1380011","","","","","",""
"38","3","106531","1","1380012","","","","0.2","","pkb_idle_normal"
"38","3","2","0","1380013","","","pkb_idle_shock","0.2","1","pkb_shock"
"38","21","vo_minigame_1006","0","1380014","","","0","","","vo_minigame_1006_top_talk_17_802"
"38","11","2","7","1380015","1","0","0","0","0","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな"
"38","91","1380015","","1380016","","","","","",""
"38","3","2","1","1380017","","","","0.2","","pkb_idle_normal"
