6d2ce83e605500bdf00ab7c8d3543e2bebdc18a04efe8cde040d4987da888cf2,aa680e39a730d85db873658e2749f984f9358203108d73a3129e4ac0da3e905a,bda6f604edb077d0b4b99a9cdaa8672f4a60a796e89fd892de1f7c21cf2084a8,fe65def47d74777e076bb9c9c99b56e30ebf947494a7522abf4fd3cb46c32f69,8bb73df11af0203ad2a0f4e23d29c7ed0b3793f0e012293065b3209c826eebe7
"-21.8","11","-1","5","30050306"
"-23.6","13","-2.8","5","30050307"
"-19.8","13","-1.3","5","30050308"
"-18","12","-1.2","5","30050309"
"-16.1","11","-4.1","5","30050310"
"-15.4","11","-2.2","5","30050311"
"-16.4","12","-1.9","5","30050312"
"-16.4","13","-6.1","5","30050313"
"-12","11","-14","5","30050314"
"-10.6","11","-12","5","30050315"
"-16.2","12","-7.6","5","30050316"
"-9.8","11","-7.7","5","30050317"
"-14","13","-11","5","30050318"
"-14","13","-10","5","30050319"
"-14","13","-12","5","30050320"
"-14.1","12","-14","5","30050321"
"-8.9","11","-6.4","5","30050322"
"-10.5","11","-5.9","5","30050323"
"-8.8","11","-9","5","30050324"
"-5.6","12","-9.6","5","30050325"
"-5","12","-8","5","30050326"
"-5.5","12","-6.1","5","30050327"
"-6","13","-7.9","5","30050328"
"-5.7","11","-3.7","5","30050329"
"-9","12","-2.2","5","30050330"
"-12","12","-2.2","5","30050331"
"-10","12","-0.2","5","30050332"
"-11.9","12","0.3","5","30050333"
"-13","13","-1","5","30050334"
"-10.9","13","1.2","5","30050335"
"-11","13","-3","5","30050336"
"-16","11","1","5","30050337"
"-15.3","11","3.6","5","30050338"
"-13","11","4","5","30050339"
"-14","13","3","5","30050340"
"-10.2","11","4","5","30050341"
"-8.9","12","4","5","30050342"
"-5.2","12","-0.1","5","30050343"
"-3.2","12","1","5","30050344"
"-3.3","11","4.7","5","30050346"
"-1","11","4.2","5","30050347"
"4","13","-9","5","30050348"
"7","12","-10","5","30050349"
"7","12","-8","5","30050350"
"7","11","-6","5","30050351"
"6","11","-4","5","30050352"
"0","11","-7","5","30050353"
"0","11","-5","5","30050354"
"6","13","-1","5","30050355"
"6","12","-2.3","5","30050356"
"10.8","11","4","5","30050357"
"8.5","12","6.5","5","30050358"
"6.8","12","5.8","5","30050359"
"5","13","6","5","30050360"
"2.8","11","6","5","30050361"
"2.7","11","2.1","5","30050362"
"-4","12","-12","5","30050363"
"-6","11","-12","5","30050364"
"-3","13","-10","5","30050365"
"-4","13","-11","5","30050366"
"5.6","11","1.8","5","30050367"
"15.8","13","3.5","5","30050368"
"18.6","13","0.9","5","30050369"
"18.7","11","4.1","5","30050370"
"13.5","12","0.6","5","30050371"
"14.8","13","-1","5","30050372"
"16","13","-1","5","30050373"
"15","11","-2","5","30050374"
"19","11","-2","5","30050375"
"19","11","-1","5","30050376"
"13.1","12","-7.5","5","30050377"
"13","11","-5","5","30050378"
"16","13","-9","5","30050379"
"15","13","-8","5","30050380"
"14","12","-9","5","30050381"
"15.8","11","-10","5","30050382"
"17.6","11","-10","5","30050383"
"19.5","12","-10.2","5","30050384"
"13.8","12","-13.6","5","30050390"
"10.7","12","-13.5","5","30050391"
"10.6","11","-10.7","5","30050392"
"12","11","-10","5","30050393"
"18","12","-14.1","5","30050394"
"20","13","-14","5","30050395"
"19","13","-13","5","30050396"
"21","13","-15","5","30050397"
"18.7","12","-18.2","5","30050398"
"18.7","11","-20","5","30050399"
"14.7","12","-20","5","30050400"
"13","11","-20","5","30050401"
"10.9","11","-19.9","5","30050402"
"12","13","-20","5","30050403"
"16","13","-20","5","30050404"
"14","11","-22.9","5","30050405"
"15","13","-22.8","5","30050406"
"19","12","-23","5","30050407"
"21","11","-23","5","30050408"
"22","13","-23","5","30050409"
"20","13","-23","5","30050410"
"23.6","12","-21.2","5","30050411"
"23.6","12","-18.2","5","30050412"
"-20.8","991006","-5.7","5","30050413"
"-19","991006","-5.7","5","30050414"
"-3.2","11","-0.4","5","30050416"
"-3.3","12","-2.1","5","30050417"
"-0.4","12","1","5","30050418"
"-0.5","11","-0.4","5","30050419"
"-0.5","12","-2.1","5","30050420"
"-1.8","991005","1","5","30050421"
"-1.8","991005","-0.8","5","30050422"
"-1.8","991005","-2.3","5","30050423"
"15.2","991005","-13.1","5","30050424"
"15.2","991005","-15.3","5","30050425"
"15.2","991005","-17.4","5","30050426"
"16","13","-14","5","30050427"
"16","13","-16","5","30050428"
"16","13","-18","5","30050429"
"7.8","12","-19.2","5","30050430"
"10.6","13","-22.8","5","30050431"
"9.5","11","-22.7","5","30050432"
"16.5","991001","-4.8","5","30050433"
"17.5","991002","-4.8","5","30050434"
"7.7","991001","1.4","5","30050435"
"8.3","991002","1.4","5","30050436"
"16","991002","1.5","5","30050437"
"15.6","991003","1.3","5","30050438"
"5.5","991001","-17.1","5","30050439"
"6.5","991002","-17.1","5","30050440"
