f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9
"","19010019","","93","0.5","","","0","","","901"
"","19010020","","21","vo_fpc","","0","vo_fpc_20101","","","901"
"10","19010021","0.5","11","126811","0","1","真夏のビーチで飲むのもいいけど\n真冬にこうしてプールで飲むってのも\nぜーたくでいいわねぇ…","0","0","901"
"","19010022","","91","0","","","","","","901"
"","19010023","","93","0.5","","","0","","","901"
"","19010024","","21","vo_fpc","","0","vo_fpc_20102","","","901"
"10","19010025","0.5","11","126811","0","1","せーきひ麦ひゅわとうりゃ麦、\n追加で入荷してもらうように\nアキノさんにらのんでおこーっと…","0","0","901"
"","19010026","","91","0","","","","","","901"
"","19010027","","93","0.5","","","0","","","901"
"1","19010028","","3","126811","","","01_yukari_talk2_loop","","0.1","901"
"1","19010029","","3","3","","","01_yukari_talk2_loop","","0.1","901"
"1","19010030","","3","2","","","cmn_boat_idle","","0.1","901"
"","19010031","","21","vo_fpc","","0","vo_fpc_20103","","","901"
"10","19010032","0.5","11","126811","0","1","それにひてもなんかぐらぐらするわね～\nプールなのにビッグウェーブでも\nきてるのかしら…って、うぷっ！","0","0","901"
"","19010033","","91","0","","","","","","901"
"0","19010034","","3","126811","0.1","01_yukari_sick_1_loop","01_yukari_sick_1","1","0.1","901"
"0","19010035","","3","3","0.1","01_yukari_sick_1_loop","01_yukari_sick_1","1","0.1","901"
"1","19010036","","3","2","","","cmn_boat_idle","","0.1","901"
"","19010037","","93","2","","","0","","","901"
"0","19010038","","3","126811","0.1","01_yukari_sick_2_loop","01_yukari_sick_2","1","0.1","901"
"0","19010039","","3","3","0.1","01_yukari_sick_2_loop","01_yukari_sick_2","1","0.1","901"
"1","19010040","","3","2","","","cmn_boat_idle","","0.1","901"
"","19010041","","21","vo_fpc","","0","vo_fpc_20104","","","901"
"10","19010042","0.5","11","126811","0","1","あ、だめ…\n私にもビッグウェーブが…\nた、耐えるのよ、ユカリぃ…","0","0","901"
"","19010043","","91","0","","","","","","901"
"","19010044","","93","0.5","","","0","","","901"
"-250","19010045","","2","126811","","4.52488687782805","1000","","","901"
"-250","19010046","","2","3","","4.52488687782805","1000","","","901"
"-250","19010047","","2","2","","4.52488687782805","1000","","","901"
"-250","19010048","","33","126811","","4.52488687782805","1000","","","901"
"","19010049","","91","0","","","","","","901"
"22","19020001","02_neneka_floatRing","5","21","0","-780","1","-180","1.75","902"
"12","19020002","02_neneka_floatRing","5","21","0","-780","2","-125","1.6625","902"
"32","19020003","02_neneka_floatRing","5","21","0","-780","3","-250","1.8375","902"
"22","19020004","02_neneka_floatRing","5","21","0","-780","4","-180","1.75","902"
"12","19020005","02_neneka_floatRing","5","21","0","-780","5","-125","1.6625","902"
"32","19020006","02_neneka_floatRing","5","21","0","-780","6","-250","1.8375","902"
"-780","19020007","","31","102","","-180","1","1","1","902"
"-780","19020008","","31","102","","-125","2","1","1","902"
"-780","19020009","","31","102","","-250","3","1","1","902"
"-780","19020010","","31","102","","-180","4","1","1","902"
"-780","19020011","","31","102","","-125","5","1","1","902"
"-780","19020012","","31","102","","-250","6","1","1","902"
"1","19020013","","23","se_10053800","","","se_fpc_water_random","","","902"
"","19020014","","91","19020012","","","","","","902"
"-180","19020015","","2","1","","4.58823529411765","0","12","","902"
"-180","19020016","","33","1","","4.58823529411765","0","12","","902"
"","19020017","","91","19020015","","","","","","902"
"","19020018","","21","vo_fpc","","0","vo_fpc_20200","","","902"
"10","19020019","0.5","11","1","0","1","ふむ…","0","0","902"
"","19020020","","91","0","","","","","","902"
"","19020021","","93","0.5","","","0","","","902"
"-180","19020022","","2","1","","3.70588235294118","150","12","","902"
"-180","19020023","","33","1","","3.70588235294118","150","12","","902"
"1","19020024","","3","2","","","02_neneka_floatRing","","0.1","902"
"-125","19020025","","2","2","","3.70588235294118","-150","12","","902"
"-125","19020026","","33","2","","3.70588235294118","-150","12","","902"
"","19020027","","91","19020025","","","","","","902"
"","19020028","","21","vo_fpc","","0","vo_fpc_20201","","","902"
"10","19020029","0.5","11","2","0","1","ただ流される、などという\n世の凡夫たちのような行いの\n何が楽しいのかと思っていましたが…","0","0","902"
"","19020030","","91","0","","","","","","902"
"","19020031","","93","0.5","","","0","","","902"
"-180","19020032","","2","1","","3.11764705882353","250","12","","902"
"-180","19020033","","33","1","","3.11764705882353","250","12","","902"
"-125","19020034","","2","2","","3.11764705882353","0","12","","902"
"-125","19020035","","33","2","","3.11764705882353","0","12","","902"
"1","19020036","","3","3","","","02_neneka_floatRing","","0.1","902"
"-250","19020037","","2","3","","3.11764705882353","-250","12","","902"
"-250","19020038","","33","3","","3.11764705882353","-250","12","","902"
"","19020039","","91","19020037","","","","","","902"
"","19020040","","21","vo_fpc","","0","vo_fpc_20202","","","902"
"10","19020041","0.5","11","3","0","1","これはこれで乙なものですね…\n今度ノウェムでも連れてきて\n流してみましょうか。","0","0","902"
"","19020042","","93","4.5","","","1","","","902"
"","19020043","","93","0.9","","","0","","","902"
"","19020044","","91","19020041","","","","","","902"
"1","19020045","","3","4","","","02_neneka_floatRing","","0.1","902"
"-180","19020046","","2","4","","7.37556561085973","850","","","902"
"-180","19020047","","33","4","","7.37556561085973","850","","","902"
"","19020048","","93","0.2","","","0","","","902"
"1","19020049","","3","5","","","02_neneka_floatRing","","0.1","902"
"-180","19020050","","2","1","","2.71493212669683","850","12","","902"
"-180","19020051","","33","1","","2.71493212669683","850","12","","902"
"","19020052","","93","0.2","","","0","","","902"
"-125","19020053","","2","2","","3.84615384615385","850","12","","902"
"-125","19020054","","33","2","","3.84615384615385","850","12","","902"
"","19020055","","93","0.1","","","0","","","902"
"-250","19020056","","2","3","","4.97737556561086","850","12","","902"
"-250","19020057","","33","3","","4.97737556561086","850","12","","902"
"","19020058","","93","1.5","","","0","","","902"
"-125","19020059","","2","5","","6.26923076923077","850","","","902"
"-125","19020060","","33","5","","6.26923076923077","850","","","902"
"","19020061","","93","1","","","0","","","902"
"1","19020062","","3","6","","","02_neneka_floatRing","","0.1","902"
"-250","19020063","","2","6","","6.63800904977376","850","","","902"
"-250","19020064","","33","6","","6.63800904977376","850","","","902"
"","19020065","","91","0","","","","","","902"
"","19020066","","93","1","","","0","","","902"
"","19020067","","91","0","","","","","","902"
"12","19030001","03_cmn_walk_styk_N2","1","1","0","-750","113211","-15","1.4875","903"
"12","19030002","03_cmn_run_def_N","1","1","0","750","113311","-15","1.4875","903"
"1","19030003","","23","se_10053800","","","se_fpc_water_random","","","903"
"","19030004","","91","19030002","","","0","","","903"
"-15","19030005","","2","113211","","3.52941176470588","-150","","","903"
"","19030006","","93","1.5","","","0","","","903"
"-15","19030007","","2","113311","","2.71493212669683","150","","","903"
"","19030008","","91","19030005","","","","","","903"
"1","19030009","","3","113211","","","03_cmn_idol_def_N","","0.1","903"
"","19030010","","91","19030007","","","","","","903"
"1","19030011","","3","113311","","","03_nanaka_gufufu","","0.3","903"
"","19030012","","93","0.3","","","0","","","903"
"","19030013","","21","vo_fpc","","0","vo_fpc_20300","","","903"
"10","19030014","0.5","11","113311","0","1","ぐっふっふ、\nさすがアンナたそ♪","0","0","903"
"","19030015","","91","0","","","","","","903"
"","19030016","","93","0.5","","","0","","","903"
"","19030017","","21","vo_fpc","","0","vo_fpc_20301","","","903"
"10","19030018","0.5","11","113311","0","1","ナナカちゃんセレクトの伝説のスク水を\n完璧に着こなしておりますなあ！","0","0","903"
"","19030019","","91","0","","","","","","903"
"","19030020","","93","0.5","","","0","","","903"
"1","19030021","","3","113211","","","03_anna_shy","","0.1","903"
"","19030022","","21","vo_fpc","","0","vo_fpc_20302","","","903"
"10","19030023","0.5","11","113211","0","1","なっ、これは他に持ってないから\n仕方なくだなあ…","0","0","903"
"","19030024","","91","0","","","","","","903"
"","19030025","","93","0.5","","","0","","","903"
"","19030026","","21","vo_fpc","","0","vo_fpc_20303","","","903"
"10","19030027","0.5","11","113311","0","1","だいじょぶだいじょぶ、\n似合ってるのはホントだってば！","0","0","903"
"","19030028","","91","0","","","","","","903"
"","19030029","","93","0.5","","","0","","","903"
"","19030030","","21","vo_fpc","","0","vo_fpc_20304","","","903"
"10","19030031","0.5","11","113311","0","1","それともぉ…\nこっちの水着と交換してみる？","0","0","903"
"","19030032","","91","0","","","","","","903"
"","19030033","","93","0.5","","","0","","","903"
"0","19030034","","3","113211","","03_anna_pui_loop","03_anna_pui_in","1","0.1","903"
"","19030035","","21","vo_fpc","","0","vo_fpc_20305","","","903"
"10","19030036","0.5","11","113211","0","1","それはそれで恥ずかしいじゃないか！","0","0","903"
"","19030037","","91","0","","","","","","903"
"","19030038","","93","0.5","","","0","","","903"
"","19030039","","21","vo_fpc","","0","vo_fpc_20306","","","903"
"10","19030040","0.5","11","113211","0","1","わ、我には友が選んでくれた\nこのスク水で十分だ！","0","0","903"
"","19030041","","91","0","","","","","","903"
"","19030042","","93","0.5","","","0","","","903"
"1","19030043","","4","113311","","","1","","0.1","903"
"1","19030044","","4","113211","","","1","","0.1","903"
"1","19030045","","3","113311","","","03_cmn_run_def_N","","0.1","903"
"1","19030046","","3","113211","","","03_cmn_walk_styk_N2","","0.1","903"
"-15","19030047","","2","113311","","2.71493212669683","750","","","903"
"-15","19030048","","2","113211","","3.52941176470588","-750","","","903"
"","19030049","","91","0","","","","","","903"
"22","19040001","04_misogi_flutterKick_loop","1","1","0","-910","122811","-180","1.75","904"
"12","19040002","04_mimi_flutterKick_loop","1","1","0","-910","122911","-125","1.75","904"
"22","19040003","04_kyouka_flutterKick_loop","1","1","0","-910","122711","-180","1.75","904"
"23","19040004","04_yuni_flutterKick_loop","1","1","0","-910","129311","-180","1.75","904"
"22","19040005","cmn_swm_flutterKick_floatBoad","5","1","0","-910","1","-180","1.75","904"
"24","19040006","empty","5","3","0","-50","3","-180","1.75","904"
"-910","19040007","","31","1","","-180","1","1","1","904"
"-910","19040008","","31","4","","-180","11","1","0","904"
"-910","19040009","","31","7","","-125","2","1","1","904"
"-910","19040010","","31","4","","-125","21","1","0","904"
"-910","19040011","","31","1","","-180","3","1","1","904"
"-910","19040012","","31","4","","-180","31","1","0","904"
"-910","19040013","","31","1","","-180","4","1","1","904"
"-50","19040014","","31","4","","-180","41","1","0","904"
"-180","19040015","","31","1006","","0","1006","1","0","904"
"1","19040016","","23","se_10053800","","","se_fpc_water_random","","","904"
"","19040017","","91","19040015","","","0","","","904"
"-180","19040018","","2","122811","","5.81447963800905","375","12","","904"
"-180","19040019","","33","1","","5.81447963800905","375","12","","904"
"-180","19040020","","33","11","","5.81447963800905","375","12","","904"
"","19040021","","91","","","","","","","904"
"","19040022","","32","1","","","0","","","904"
"","19040023","","32","11","","","1","","","904"
"0","19040024","","3","122811","0.1","04_misogi_float_loop","04_misogi_float_in","1","0.1","904"
"","19040025","","93","0.9","","","0","","","904"
"","19040026","","21","vo_fpc","","0","vo_fpc_20400","","","904"
"10","19040027","0.5","11","122811","0","1","わーい！　ミソギがいっちばーん！\nオニさんこっちらー！","0","0","904"
"","19040028","","91","0","","","","","","904"
"","19040029","","93","0.5","","","0","","","904"
"-125","19040030","","2","122911","","5.94117647058824","100","12","","904"
"-125","19040031","","33","2","","5.94117647058824","100","12","","904"
"-125","19040032","","33","21","","5.94117647058824","100","12","","904"
"","19040033","","93","2","","","0","","","904"
"","19040034","","21","vo_fpc","","0","vo_fpc_20401","","","904"
"10","19040035","0.5","11","122911","0","1","逃げろ逃げろ～！","0","0","904"
"","19040036","","91","19040032","","","","","","904"
"","19040037","","32","2","","","0","","","904"
"","19040038","","32","21","","","1","","","904"
"0","19040039","","3","122911","0.1","04_mimi_float_loop","04_mimi_float_in","1","0.1","904"
"-180","19040040","","2","122711","","5.40441176470588","-175","12","","904"
"-180","19040041","","33","3","","5.40441176470588","-175","12","","904"
"-180","19040042","","33","31","","5.40441176470588","-175","12","","904"
"","19040043","","93","2","","","0","","","904"
"","19040044","","21","vo_fpc","","0","vo_fpc_20402","","","904"
"10","19040045","0","11","122711","0","1","も～！　二人とも待ってよ～！","0","0","904"
"","19040046","","91","19040042","","","","","","904"
"","19040047","","32","3","","","0","","","904"
"","19040048","","32","31","","","1","","","904"
"0","19040049","","3","122711","0.1","04_kyouka_float_loop","04_kyouka_float_in","1","0.1","904"
"","19040050","","93","1.2","","","0","","","904"
"","19040051","","32","1006","","","1","","","904"
"","19040052","","93","0.8","","","0","","","904"
"","19040053","","32","1","","","1","","","904"
"","19040054","","32","11","","","0","","","904"
"","19040055","","32","2","","","1","","","904"
"","19040056","","32","21","","","0","","","904"
"","19040057","","32","3","","","1","","","904"
"","19040058","","32","31","","","0","","","904"
"0","19040059","","3","122811","0.1","04_misogi_flutterKick_loop","04_misogi_flutterKick_in","1","0.1","904"
"-180","19040060","","2","122811","","2.82805429864253","1000","","","904"
"-180","19040061","","33","1","","2.82805429864253","1000","","","904"
"","19040062","","93","0.1","","","0","","","904"
"0","19040063","","3","122911","0.1","04_mimi_flutterKick_loop","04_mimi_flutterKick_in","1","0.1","904"
"-125","19040064","","2","122911","","4.07239819004525","1000","","","904"
"-125","19040065","","33","2","","4.07239819004525","1000","","","904"
"","19040066","","93","0.1","","","0","","","904"
"0","19040067","","3","122711","0.1","04_kyouka_flutterKick_loop","04_kyouka_flutterKick_in","1","0.1","904"
"-180","19040068","","2","122711","","5.31674208144796","1000","","","904"
"-180","19040069","","33","3","","5.31674208144796","1000","","","904"
"","19040070","","93","0.1","","","0","","","904"
"-180","19040071","","2","129311","","5.05882352941176","-50","","","904"
"-180","19040072","","33","4","","5.05882352941176","-50","","","904"
"-180","19040073","","2","1","","5.05882352941176","-50","","","904"
"","19040074","","93","2","","","0","","","904"
"","19040075","","21","vo_fpc","","0","vo_fpc_20403","","","904"
"10","19040076","0.5","11","129311","0","1","わーい♪","0","0","904"
"","19040077","","93","2.75882352941176","","","0","","","904"
"0","19040078","","3","3","0.1","04_yuni_flutterKick_pause_loop","04_yuni_flutterKick_pause_in","1","0.1","904"
"0","19040079","","3","129311","0.1","04_yuni_flutterKick_pause_loop","04_yuni_flutterKick_pause_in","1","0.1","904"
"0","19040080","","3","1","0.1","04_yuni_flutterKick_pause_loop","04_yuni_flutterKick_pause_in","1","0.1","904"
"","19040081","","93","0.3","","","0","","","904"
"","19040082","","21","vo_fpc","","0","vo_fpc_20404","","","904"
"","19040083","","32","4","","","0","","","904"
"","19040084","","32","41","","","1","","","904"
"","19040085","","93","5","","","0","","","904"
"0","19040086","","3","3","","","empty","","0.1","904"
"0","19040087","","3","129311","0.1","04_yuni_flutterKick_loop","04_yuni_flutterKick_in","1","0.2","904"
"0","19040088","","3","1","0.1","cmn_swm_flutterKick_floatBoad","04_yuni_flutterKick_in","1","0.2","904"
"","19040089","","32","4","","","1","","","904"
"","19040090","","32","41","","","0","","","904"
"-180","19040091","","2","129311","","6.17647058823529","1000","","","904"
"-180","19040092","","2","1","","6.17647058823529","1000","","","904"
"-180","19040093","","33","4","","6.17647058823529","1000","","","904"
"","19040094","","93","0.3","","","0","","","904"
"","19040095","","21","vo_fpc","","0","vo_fpc_20405","","","904"
"10","19040096","0.5","11","129311","0","1","わーいわーい♪","0","0","904"
"","19040097","","91","19040091","","","","","","904"
"12","19050001","cmn_swm_flutterKick","1","1","0","-910","117111","-125","1.75","905"
"22","19050002","cmn_swm_flutterKick","1","1","0","-910","117011","-180","1.75","905"
"12","19050003","cmn_walk_r","1","1","0","750","107611","-15","1.4875","905"
"-910","19050004","","31","7","","-125","1","1","1","905"
"-910","19050005","","31","4","","-125","11","1","0","905"
"-910","19050006","","31","1","","-180","2","1","1","905"
"-910","19050007","","31","4","","-180","21","1","0","905"
"1","19050008","","23","se_10053800","","","se_fpc_water_random","","","905"
"","19050009","","91","19050007","","","0","","","905"
"-125","19050010","","2","117111","","5.35294117647059","0","12","","905"
"-125","19050011","","33","1","","5.35294117647059","0","12","","905"
"-125","19050012","","33","11","","5.35294117647059","0","12","","905"
"","19050013","","91","","","","","","","905"
"","19050014","","32","1","","","0","","","905"
"","19050015","","32","11","","","1","","","905"
"0","19050016","","3","117111","0.1","05_shizuru_search_loop","05_shizuru_search_in","1","0.1","905"
"","19050017","","93","1","","","0","","","905"
"","19050018","","21","vo_fpc","","0","vo_fpc_20500","","","905"
"10","19050019","0.5","11","117111","0","1","うーん…おかしいなあ…\nここらへんで弟くんの「気」を\n感じたんだけど…","0","0","905"
"","19050020","","93","1.81764705882353","","","1","","","905"
"-180","19050021","","2","117011","","3.88235294117647","-250","12","","905"
"-180","19050022","","33","2","","3.88235294117647","-250","12","","905"
"-180","19050023","","33","21","","3.88235294117647","-250","12","","905"
"","19050024","","93","2.38235294117647","","","0","","","905"
"","19050025","","93","1.5","","","0","","","905"
"","19050026","","91","19050019","","","","","","905"
"","19050027","","91","19050021","","","","","","905"
"0","19050028","","3","117011","0.1","05_eriko_talk_loop","05_eriko_talk_in","1","0.1","905"
"","19050029","","32","2","","","0","","","905"
"","19050030","","32","21","","","1","","","905"
"","19050031","","21","vo_fpc","","0","vo_fpc_20501","","","905"
"10","19050032","0.5","11","117011","0","1","あのおかたのオーラの残滓…\n確かにこのあたりなのですが…","0","0","905"
"","19050033","","93","2.15294117647059","","","1","","","905"
"-15","19050034","","2","107611","","2.64705882352941","300","0","","905"
"","19050035","","93","1.14705882352941","","","0","","","905"
"","19050036","","93","1.5","","","0","","","905"
"","19050037","","91","19050032","","","","","","905"
"","19050038","","91","19050034","","","","","","905"
"1","19050039","","3","107611","","","05_kokkoro_talk","","0.2","905"
"","19050040","","21","vo_fpc","","0","vo_fpc_20502","","","905"
"10","19050041","0.5","11","107611","0","1","シズルさまにエリコさま、\nどうかされたのですか？","0","0","905"
"","19050042","","91","0","","","","","","905"
"","19050043","","93","0.5","","","0","","","905"
"0","19050044","","3","117111","0.1","05_shizuru_greet_loop","05_shizuru_greet_in","1","0.1","905"
"","19050045","","21","vo_fpc","","0","vo_fpc_20503","","","905"
"10","19050046","0.5","11","117111","0","1","あ、コッコロちゃん♪\nそっかー、コッコロちゃんに残った\n弟くんの「気」を感じちゃったんだね♪","0","0","905"
"","19050047","","91","0","","","","","","905"
"","19050048","","93","0.5","","","0","","","905"
"0","19050049","","3","117011","0.1","05_eriko_pressure_loop","05_eriko_pressure_in","1","0.1","905"
"","19050050","","21","vo_fpc","","0","vo_fpc_20504","","","905"
"10","19050051","0.5","11","117011","0","1","なんですか、その気持ちの悪い根拠は。\nそれよりも、あの方はどこにおられるのか\n知っているのでしょう？\n隠し立ては許しませんよ。","0","0","905"
"","19050052","","91","0","","","","","","905"
"","19050053","","93","0.5","","","0","","","905"
"1","19050054","","3","107611","","","05_kokkoro_talk2","","0.3","905"
"","19050055","","21","vo_fpc","","0","vo_fpc_20505","","","905"
"10","19050056","0.5","11","107611","0","1","隠し立てなど、そんな。","0","0","905"
"","19050057","","91","0","","","","","","905"
"","19050058","","93","0.5","","","0","","","905"
"0","19050059","","3","107611","0.1","05_kokkoro_point_loop","05_kokkoro_point_in","1","0.1","905"
"","19050060","","21","vo_fpc","","0","vo_fpc_20506","","","905"
"10","19050061","0.5","11","107611","0","1","主さまは先ほどあちらの方に\n流れていかれましたが…","0","0","905"
"","19050062","","91","0","","","","","","905"
"","19050063","","93","0.5","","","0","","","905"
"0","19050064","","3","117111","0.1","05_shizuru_smile_loop","05_shizuru_smile_in","1","0.1","905"
"","19050065","","21","vo_fpc","","0","vo_fpc_20507","","","905"
"10","19050066","0.5","11","117111","0","1","あっちね！\nよーし、お姉ちゃんが\n今すぐ助けにいくからね！","0","0","905"
"","19050067","","91","0","","","","","","905"
"","19050068","","93","0.5","","","0","","","905"
"0","19050069","","3","117011","0.1","05_eriko_sad_loop","05_eriko_sad_in","1","0.1","905"
"","19050070","","21","vo_fpc","","0","vo_fpc_20508","","","905"
"10","19050071","0.5","11","117011","0","1","ああ、なんということ…\n私が今お助けに向かいます！","0","0","905"
"","19050072","","91","0","","","","","","905"
"","19050073","","93","0.5","","","0","","","905"
"0","19050074","","3","117111","0.1","05_shizuru_flutterKick_loop","05_shizuru_flutterKick_in","1","0.1","905"
"-125","19050075","","2","117111","","2.66169816342827","1000","","","905"
"-125","19050076","","33","1","","2.66169816342827","1000","","","905"
"","19050077","","32","1","","","1","","","905"
"","19050078","","32","11","","","0","","","905"
"","19050079","","93","0.1","","","0","","","905"
"0","19050080","","3","117011","0.1","05_eriko_flutterKick_loop","05_eriko_flutterKick_in","1","0.1","905"
"-180","19050081","","2","117011","","3.14228255404726","1000","","","905"
"-180","19050082","","33","2","","3.14228255404726","1000","","","905"
"","19050083","","32","2","","","1","","","905"
"","19050084","","32","21","","","0","","","905"
"","19050085","","91","19050081","","","","","","905"
"0","19050086","","3","107611","0.1","05_kokkoro_talk3_loop","05_kokkoro_talk3_in","1","0.1","905"
"","19050087","","21","vo_fpc","","0","vo_fpc_20509","","","905"
"10","19050088","0.5","11","107611","0","1","行ってしまわれました…","0","0","905"
"","19050089","","91","0","","","","","","905"
"","19050090","","93","0.5","","","0","","","905"
"","19050091","","21","vo_fpc","","0","vo_fpc_20510","","","905"
"10","19050092","0.5","11","107611","0","1","あのお二人が揃われると\n何が起こるか心配ですね…","0","0","905"
"","19050093","","91","0","","","","","","905"
"","19050094","","93","0.5","","","0","","","905"
"","19050095","","21","vo_fpc","","0","vo_fpc_20511","","","905"
"10","19050096","0.5","11","107611","0","1","主さまの前で暴走されぬよう\nわたくしが見張っておかねば…！","0","0","905"
"","19050097","","91","0","","","","","","905"
"","19050098","","93","0.5","","","0","","","905"
"-15","19050099","","2","107611","","1.65912518853695","850","0","","905"
"1","19050100","","3","107611","","","05_kokkoro_run","","0.2","905"
"","19050101","","21","vo_fpc","","0","vo_fpc_20512","","","905"
"10","19050102","0.5","11","107611","0","1","主さまー！","0","0","905"
"","19050103","","91","0","","","","","","905"
"","19050104","","93","0.5","","","0","","","905"
"","19050105","","91","19050099","","","","","","905"
"22","19060001","cmn_float","1","1","0","-850","126911","-180","1.75","906"
"12","19060002","cmn_float","1","1","0","-850","117311","-125","1.75","906"
"-850","19060003","","31","6","","-180","11","1","1","906"
"-850","19060004","","31","1007","","-180","10071","1","0","906"
"-850","19060005","","31","6","","-125","21","1","1","906"
"-850","19060006","","31","1007","","-125","10072","1","0","906"
"-850","19060007","","31","1008","","-125","10081","1","0","906"
"1","19060008","","23","se_10053800","","","se_fpc_water_random","","","906"
"","19060009","","91","19060007","","","0","","","906"
"-180","19060010","","2","126911","","6.25","0","12","","906"
"-180","19060011","","33","11","","6.25","0","12","","906"
"-180","19060012","","33","10071","","6.25","0","12","","906"
"","19060013","","93","3","","","0","","","906"
"","19060014","","21","vo_fpc","","0","vo_fpc_20600","","","906"
"1","19060015","","3","126911","","","06_cmn_float_sing","","0.2","906"
"","19060016","","32","10071","","","1","","","906"
"","19060017","","91","19060010","","","","","","906"
"1","19060018","","3","126911","","","cmn_float","","0.2","906"
"","19060019","","21","vo_fpc","","0","vo_fpc_20601","","","906"
"10","19060020","0.5","11","126911","0","1","たまには、こういう所も\n悪くないかも…","0","0","906"
"","19060021","","91","0","","","","","","906"
"","19060022","","93","0.5","","","0","","","906"
"-125","19060023","","2","117311","","5.14705882352941","-150","12","","906"
"-125","19060024","","33","21","","5.14705882352941","-150","12","","906"
"-125","19060025","","33","10072","","5.14705882352941","-150","12","","906"
"-125","19060026","","33","10081","","5.14705882352941","-150","12","","906"
"-180","19060027","","2","126911","","5.14705882352941","150","12","","906"
"-180","19060028","","33","11","","5.14705882352941","150","12","","906"
"-180","19060029","","33","10071","","5.14705882352941","150","12","","906"
"","19060030","","93","2.5","","","0","","","906"
"","19060031","","21","vo_fpc","","0","vo_fpc_20602","","","906"
"1","19060032","","3","126911","","","06_cmn_float_sing","","0.2","906"
"1","19060033","","3","117311","","","06_cmn_float_sing","","0.2","906"
"","19060034","","32","10071","","","0","","","906"
"","19060035","","32","10071","","","1","","","906"
"","19060036","","32","10072","","","1","","","906"
"","19060037","","91","19060029","","","","","","906"
"","19060038","","4","126911","","","1","","","906"
"-180","19060039","","33","11","","0","180","","","906"
"0","19060040","","3","126911","0.1","06_ranpha_float_shy","06_ranpha_float_notice","1","0.1","906"
"1","19060041","","3","117311","0.1","","cmn_float","","","906"
"","19060042","","21","vo_fpc","","0","vo_fpc_20603","","","906"
"10","19060043","0.5","11","126911","0","1","あっ…","0","0","906"
"","19060044","","91","0","","","","","","906"
"","19060045","","93","0.5","","","0","","","906"
"0","19060046","","3","117311","0.1","06_chika_float_notice","06_chika_float_notice_in","1","0.1","906"
"","19060047","","21","vo_fpc","","0","vo_fpc_20604","","","906"
"10","19060048","0.5","11","117311","0","1","ごめんなさい、素敵な歌だったから\nつい合わせてしまって…\nお邪魔でしたよね。","0","0","906"
"","19060049","","91","0","","","","","","906"
"","19060050","","93","0.5","","","0","","","906"
"","19060051","","21","vo_fpc","","0","vo_fpc_20605","","","906"
"10","19060052","0.5","11","126911","0","1","ううん…\nそっちも、とても素敵な歌…\nだから、よければもう少し、\nこのまま…","0","0","906"
"","19060053","","91","0","","","","","","906"
"","19060054","","93","0.5","","","0","","","906"
"1","19060055","","3","117311","","","06_chika_float_smile","","0.2","906"
"","19060056","","21","vo_fpc","","0","vo_fpc_20606","","","906"
"10","19060057","0.5","11","117311","0","1","はい。","0","0","906"
"","19060058","","91","0","","","","","","906"
"","19060059","","93","0.5","","","0","","","906"
"","19060060","","21","vo_fpc","","0","vo_fpc_20607","","","906"
"1","19060061","","3","126911","","","06_cmn_float_sing","","0.2","906"
"1","19060062","","3","117311","","","06_cmn_float_sing","","0.2","906"
"","19060063","","32","10071","","","0","","","906"
"","19060064","","32","10071","","","1","","","906"
"","19060065","","32","10081","","","1","","","906"
"","19060066","","93","2","","","0","","","906"
"-180","19060067","","2","126911","","4.11764705882353","850","","","906"
"-180","19060068","","33","11","","4.11764705882353","880","","","906"
"-180","19060069","","33","10071","","4.11764705882353","880","","","906"
"-125","19060070","","2","117311","","5.88235294117647","850","","","906"
"-125","19060071","","33","21","","5.88235294117647","850","","","906"
"-125","19060072","","33","10081","","5.88235294117647","850","","","906"
"","19060073","","93","1.5","","","0","","","906"
"","19060074","","32","10071","","","0","","","906"
"","19060075","","32","10071","","","1","","","906"
"","19060076","","32","10081","","","0","","","906"
"","19060077","","32","10081","","","1","","","906"
"","19060078","","91","19060070","","","","","","906"
"12","19070001","07_shinobu_search","1","1","0","-850","127111","-125","1.75","907"
"22","19070002","07_ruka_float","1","1","0","-850","113111","-180","1.75","907"
"22","19070003","07_dokuro_float","5","4","0","-850","4","-180","1.75","907"
"-850","19070004","","31","5","","-125","11","1","1","907"
"-850","19070005","","31","4","","-180","21","1","1","907"
"-850","19070006","","31","4","","-180","31","1","1","907"
"1","19070007","","23","se_10053800","","","se_fpc_water_random","","","907"
"","19070008","","91","19070006","","","0","","","907"
"1","19070009","","3","127111","","","07_shinobu_search","","0.1","907"
