d301694cb6c2927fdc348762579ca47bf40ec5e5d94fc9680f75e8e87fcd22eb,c4219e66e90433789ff81d341fe9109604098fca71b7ad81f43cbb87adf73473,f9f0dac3a5a4f8a95c954923ca71f85e9f026528088678bd3822ba1afc9e4cc6,3b78f75e9cd4475b51de4727924bf1cdafac74c592f3aa797845e3894732b0e6,75b9e7993687f2da7360acf4b8a3d4f5896a3a8cd2b37c8572386e514adad32a,24de95161c867d9fceee34859504cc6d38774abf5f669fde72e05c511b4f5c31,da3e694f37218bf1c4ac09aaf7c17ae39c3a740866e9b0ba7c3257007dea72ae,6f725d5d4e0377f09e5d24565a7573141e5db94d316efdc66f29455cede700db,de0f1df3d1292f1e1f1af912e5e2dcb3ac2b9f3fc6ae948538310e0c9d7c62ab,faf8c22239b6e954566b9c257d2b0bc209829a67fb64e2104627cec05175db58,4fe4b319c5c2e8a45a935329826ff588fb048bd6c19edbfd86463f47df749bff
"","","0","","91","","35","","1350013","",""
"03_uek_cmn_idol_def_N","102531","1","0","1","105","36","110","1360001","1.3","5"
"03_uek_cmn_idol_def_N","102831","1","0","1","10","36","100","1360002","1.3","10"
"","","1","","93","","36","","1360003","",""
"","03_uek_36_suzume","102531","0","3","03_uek_36_suzume_loop","36","0","1360004","0","1"
"","03_uek_36_saren","102831","0","3","03_uek_36_saren_loop","36","0","1360005","0","1"
"","","0","","91","","36","","1360006","",""
"","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？","102531","","11","0","36","10","1360007","","0"
"","","0","","91","","36","","1360008","",""
"","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね","102831","","11","0","36","10","1360009","","0"
"01_uek_cmn_idol_def_N","112531","1","0","1","-118","37","100","1370001","1.3","-22"
"01_uek_cmn_idol_def_N","112431","1","0","1","0","37","100","1370002","1.3","0"
"01_uek_27_tamaki_loop","112631","1","1","1","179","37","100","1370003","1.3","0"
"","01_uek_27_tamaki_loop","112631","","3","","37","0","1370004","","0"
"","","0","","91","","37","","1370005","",""
"","01_uek_27_tamaki_loop","112631","","3","","37","0","1370006","","0"
"","","0","","91","","37","","1370007","",""
"","01_uek_27_tamaki_loop","112631","","3","","37","0","1370008","","0"
"","","0","","91","","37","","1370009","",""
"","01_uek_cmn_pose06","112631","","3","","37","1","1370010","0.5","0"
"","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！","112631","","11","0","37","10","1370011","","0"
"","","0","","91","","37","","1370012","",""
"","01_uek_35_rei","112531","","3","01_uek_35_rei_loop","37","0","1370013","","1"
"","…トップアイドルに\nなった時の景色って\nこんな感じなのかな","112531","","11","0","37","10","1370014","","0"
"","","0","","91","","37","","1370015","",""
"","01_uek_cmn_idol_def_N","112631","","3","","37","1","1370016","0.2","0"
"","01_uek_37_uduki","112431","","3","01_uek_16_uduki_loop","37","0","1370017","","1"
"","あの星みたいに\n私たちも\n輝きたいですね！","112431","","11","0","37","10","1370018","","0"
"","","0","","91","","37","","1370019","",""
"","14","101","","31","30","101","0","11010001","1","1"
"","11","111","","31","150","111","0","11110001","1","1"
"","12","112","","31","150","112","0","11120001","1","1"
"","13","113","","31","125","113","0","11130001","1","1"
