a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111
"112511","7","","","11","1","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","","10","1","1070046"
"0","7","","","91","","","","","","1070047"
"112511","7","0","","3","","omp_idle_calm","","1","","1070048"
"112411","7","0","","3","","omp_talk_joy1","","1","","1070049"
"vo_omp_7007","7","","","21","0","vo_omp_7007_007","","0","","1070050"
"112411","7","","","11","1","リンちゃん…！","","10","1","1070051"
"0","7","","","91","","","","","","1070052"
"112611","7","","","4","","0","","","","1070053"
"112411","7","0","","3","","omp_psn_20","","1","","1070054"
"112611","7","0","","3","","omp_talk_joy1","","1","","1070055"
"vo_omp_7007","7","","","21","0","vo_omp_7007_008","","0","","1070056"
"112611","7","","","11","1","へへっ、しぶりんってば\nクールぶってるくせに、熱いねぇ♪\nそんなしぶりんは、しまむーと私で\nぎゅ～っとしちゃうぞ～！","","10","1","1070057"
"10","7","","","93","","1","","","","1070058"
"112611","7","","","4","","0","","1","","1070059"
"112611","7","","","2","0","120","","-205","1","1070060"
"112411","7","","","2","0","420","","-205","1","1070061"
"112611","7","0","","3","omp_psn_13_loop","omp_psn_13","0.1","0","1","1070062"
"112411","7","0","","3","omp_psn_13_loop","omp_psn_13","0.1","0","1","1070063"
"112511","7","0","","3","omp_psn_15_loop","omp_psn_15","0","0","1","1070064"
"1","7","","","93","","1","","","","1070065"
"105831","7","0","","3","omp_idle_surprise1","omp_surprise","","0","1","1070066"
"105931","7","0","","3","omp_idle_surprise1","omp_surprise","","0","1","1070067"
"106031","7","0","","3","omp_idle_surprise2","omp_surprise","0.2","0","1","1070068"
"1070057","7","","","91","","","","","","1070069"
"vo_omp_7007","7","","","21","0","vo_omp_7007_009","","0","","1070070"
"112511","7","","","11","1","ちょっ、や、やめてよ…！","","10","1","1070071"
"0","7","","","91","","","","","","1070072"
"105831","7","","","4","","1","","1","","1070073"
"105831","7","0","","3","","omp_talk_joy1","","1","","1070074"
"vo_omp_7007","7","","","21","0","vo_omp_7007_010","","0","","1070075"
"105831","7","","","11","1","キャルちゃん、\nわたしたちもやりましょう♪","","10","1","1070076"
"0","7","","","91","","","","","","1070077"
"105831","7","0","","3","","omp_idle_joy1","","1","","1070078"
"106031","7","0","","3","","omp_talk_tsun","","1","","1070079"
"vo_omp_7007","7","","","21","0","vo_omp_7007_011","","0","","1070080"
"106031","7","","","11","1","は！？　なんでよ、イヤよ、お断りよ！\nこらっ、なんで近づいてくるのよ！？\nコロ助、助けなさいよっ！？","","10","1","1070081"
"4","7","","","93","","1","","","","1070082"
"105831","7","0","","3","","omp_walk","","1","","1070083"
"105831","7","","","2","1","-120","","-205","1","1070084"
"0","7","","","91","","","","","","1070085"
"105831","7","0.2","","3","","omp_idle_joy1","","1","","1070086"
"1070081","7","","","91","","","","","","1070087"
"105831","7","0","","3","","omp_idle_joy1","","1","","1070088"
"106031","7","0","","3","","omp_idle_tsun","","1","","1070089"
"105931","7","0","","3","","omp_talk_normal","","1","","1070090"
"vo_omp_7007","7","","","21","0","vo_omp_7007_012","","0","","1070091"
"105931","7","","","11","1","キャルさま\n逃げ道はございません\n僭越ながら、わたくしも\n参加させてもらいますので…♪","","10","1","1070092"
"0","7","","","91","","","","","","1070093"
"105831","7","","","2","0","-120","","-205","1","1070094"
"105931","7","","","2","0","-440","","-205","1","1070095"
"105831","7","0","","3","omp_psn_14_loop","omp_psn_14","0.1","0","1","1070096"
"105931","7","0","","3","omp_psn_14_loop","omp_psn_14","0.1","0","1","1070097"
"106031","7","0","","3","omp_psn_15_loop","omp_psn_15","0","0","1","1070098"
"vo_omp_7007","7","","","21","0","vo_omp_7007_013","","0","","1070099"
"105831","7","","","11","1","ぎゅう～♪","","10","1","1070100"
"0","7","","","91","","","","","","1070101"
"106031","7","0","","3","","omp_psn_16_loop","","1","","1070102"
"vo_omp_7007","7","","","21","0","vo_omp_7007_014","","0","","1070103"
"106031","7","","","11","1","ちょっ、ふざけんなっ、おぶっ！？\nペコリーヌ、力加減！\nあたしを半分にする気！？\nちょっ、なんなのよ～っ！？","","10","1","1070104"
"0","7","","","91","","","","","","1070105"
"112611","7","0","","3","","omp_psn_13_loop","","1","","1070106"
"vo_omp_7007","7","","","21","0","vo_omp_7007_015","","0","","1070107"
"112611","7","","","11","1","わー！\nキャルキャル～！","","10","1","1070108"
"0","7","","","91","","","","","","1070109"
"112611","7","0","","3","","omp_psn_13_loop","","1","","1070110"
"112411","7","0","","3","","omp_psn_13_loop","","1","","1070111"
"vo_omp_7007","7","","","21","0","vo_omp_7007_016","","0","","1070112"
"112411","7","","","11","1","あはは♪\n【美食殿】のみなさんの\nスキンシップ、大胆ですねっ！","","10","1","1070113"
"0","7","","","91","","","","","","1070114"
"112411","7","0","","3","","omp_psn_13_loop","","1","","1070115"
"112511","7","0","","3","","omp_psn_15_loop","","1","","1070116"
"vo_omp_7007","7","","","21","0","vo_omp_7007_017","","0","","1070117"
"112511","7","","","11","1","大胆とかいうレベルを\n超えてる気がするんだけど…っ！？\nちょっ、やめ…ひゃああっ！","","10","1","1070118"
"5.5","7","","","93","","1","","","","1070119"
"112511","7","0.1","","3","","omp_psn_16_loop","","1","","1070120"
"1070118","7","","","91","","","","","","1070121"
"0.4","7","","","93","","","","","","1070122"
"1","8","1.8","omp_idle_normal","1","200","105831","1","1600","-195","1080001"
"1","8","1.8","omp_talk_normal","1","0","105931","0","1500","-185","1080002"
"1","8","1.8","omp_idle_normal","1","-200","106031","0","1600","-205","1080003"
"1","8","1","","31","0","1","","0","1","1080004"
"1","8","","","93","","","","","","1080005"
"vo_omp_7008","8","","","21","0","vo_omp_7008_000","","0","","1080006"
"105931","8","","","11","1","ムーサの町…初めて訪れましたが\n素敵な町でございますね","","10","1","1080007"
"0","8","","","91","","","","","","1080008"
"105931","8","0","","3","","omp_idle_normal","","1","","1080009"
"105831","8","0","","3","","omp_talk_joy1","","1","","1080010"
"vo_omp_7008","8","","","21","0","vo_omp_7008_001","","0","","1080011"
"105831","8","","","11","1","はい♪　活気もありますし\nなにより色んな特産品が美味しそうで\nやばいですね☆","","10","1","1080012"
"0","8","","","91","","","","","","1080013"
"105831","8","0","","3","","omp_idle_joy1","","1","","1080014"
"106031","8","0","","3","","omp_talk_sad","","1","","1080015"
"vo_omp_7008","8","","","21","0","vo_omp_7008_002","","0","","1080016"
"106031","8","","","11","1","はぁ。本当にあんたの頭の中は\n食べることばっかりね","","10","1","1080017"
"0","8","","","91","","","","","","1080018"
"106031","8","0","","3","","omp_idle_sad","","1","","1080019"
"105931","8","0","","3","","omp_talk_normal","","1","","1080020"
"vo_omp_7008","8","","","21","0","vo_omp_7008_003","","0","","1080021"
"105931","8","","","11","1","ふふ、ではこの後\n食べ歩きをいたしませんか？\nわたくし、お腹が空いてしまいました","","10","1","1080022"
"0","8","","","91","","","","","","1080023"
"105931","8","0","","3","","omp_idle_normal","","1","","1080024"
"106031","8","0","","3","","omp_talk_surprise1","","1","","1080025"
"vo_omp_7008","8","","","21","0","vo_omp_7008_004","","0","","1080026"
"106031","8","","","11","1","コロ助まで！？","","10","1","1080027"
"0","8","","","91","","","","","","1080028"
"106031","8","0","","3","","omp_idle_surprise1","","1","","1080029"
"105831","8","0","","3","","omp_talk_normal","","1","","1080030"
"vo_omp_7008","8","","","21","0","vo_omp_7008_005","","0","","1080031"
"105831","8","","","11","1","キャルちゃんはどうしますか～？","","10","1","1080032"
"0","8","","","91","","","","","","1080033"
"105931","8","","","4","","1","","","","1080034"
"105831","8","0","","3","","omp_idle_normal","","1","","1080035"
"106031","8","0","","3","","omp_talk_tsun","","1","","1080036"
"vo_omp_7008","8","","","21","0","vo_omp_7008_006","","0","","1080037"
"106031","8","","","11","1","あたしだって\n美味しいもの食べたいわよ！\n…魔物料理じゃなきゃね","","10","1","1080038"
"0","8","","","91","","","","","","1080039"
"106031","8","0","","3","","omp_idle_tsun","","1","","1080040"
"105931","8","0","","3","","omp_talk_normal","","1","","1080041"
"vo_omp_7008","8","","","21","0","vo_omp_7008_007","","0","","1080042"
"105931","8","","","11","1","ふふ、わたくしたちの思いは一つ\nさすが【美食殿】でございますね♪","","10","1","1080043"
"0","8","","","91","","","","","","1080044"
"105931","8","","","4","","0","","","","1080045"
"105931","8","0","","3","","omp_idle_normal","","1","","1080046"
"105831","8","0","","3","","omp_talk_joy1","","1","","1080047"
"vo_omp_7008","8","","","21","0","vo_omp_7008_008","","0","","1080048"
"105831","8","","","11","1","えっへへ～♪\nそれじゃあ行きましょう！\nコッコロちゃん！　キャルちゃん！","","10","1","1080049"
"0","8","","","91","","","","","","1080050"
"0.4","8","","","93","","","","","","1080051"
"1","9","1.8","omp_idle_normal","1","300","105831","1","1600","-270","1090001"
"1","9","1.8","omp_idle_normal","1","450","105931","1","1700","-285","1090002"
"1","9","1.8","omp_idle_normal","1","-310","106031","1","1600","-230","1090003"
"1","9","1.8","omp_idle_normal","1","-45","112511","1","1500","-190","1090004"
"1","9","1.8","omp_idle_normal","1","65","112411","1","1600","-240","1090005"
"1","9","1.8","omp_idle_normal","1","205","112611","1","1500","-192","1090006"
"1","9","1","","31","0","1","","0","1","1090007"
"0.2","9","","","93","","","","","","1090008"
"112611","9","0.1","","3","","omp_idle_normal","","1","","1090009"
"106031","9","0","","3","","omp_talk_sad","","1","","1090010"
"112511","9","0.1","","3","","omp_idle_normal","","1","","1090011"
"105831","9","0.1","","3","","omp_idle_normal","","1","","1090012"
"0.1","9","","","93","","","","","","1090013"
"1","9","","","93","","","","","","1090014"
"vo_omp_7009","9","","","21","0","vo_omp_7009_000","","0","","1090015"
"106031","9","","","11","1","ここでのことは思い出したくないわ\nなんであんなことしちゃったのかしら…\nはぁ。ほんっとサイアク！","","10","1","1090016"
"0","9","","","91","","","","","","1090017"
"106031","9","0","","3","","omp_psn_17","","0","","1090018"
"vo_omp_7009","9","","","21","0","vo_omp_7009_001","","0","","1090019"
"106031","9","","","11","1","…きゃるきゃるーん\nなんて、にゃ","","10","1","1090020"
"2","9","","","93","","1","","","","1090021"
"106031","9","0.2","","3","","omp_talk_sad","","1","","1090022"
"1090020","9","","","91","","","","","","1090023"
"106031","9","0","","3","","omp_idle_sad","","1","","1090024"
"105831","9","0","","3","omp_idle_joy1","omp_psn_17","0.2","0","1","1090025"
"vo_omp_7009","9","","","21","0","vo_omp_7009_002","","0","","1090026"
"105831","9","","","11","1","きゃるきゃるーん♪","","10","1","1090027"
"0","9","","","91","","","","","","1090028"
"105931","9","0","","3","omp_idle_normal","omp_psn_17","0.2","1","","1090029"
"vo_omp_7009","9","","","21","0","vo_omp_7009_003","","0","","1090030"
"105931","9","","","11","1","きゃるきゃるーん、でございますにゃ","","10","1","1090031"
"0","9","","","91","","","","","","1090032"
"106031","9","","","4","","0","","","","1090033"
"106031","9","0","","3","omp_idle_surprise1","omp_surprise","0","0","1","1090034"
"vo_omp_7009","9","","","21","0","vo_omp_7009_004","","0","","1090035"
"106031","9","","","11","1","なっ、あんたたち！？\nい、今のっ、見てっ…！？","","10","1","1090036"
"0","9","","","91","","","","","","1090037"
"112611","9","0","","3","omp_idle_joy1","omp_psn_17_other","0.2","1","","1090038"
"vo_omp_7009","9","","","21","0","vo_omp_7009_005","","0","","1090039"
"112611","9","","","11","1","きゃっるきゃる～ん♪\n華麗に登場にゃ☆","","10","1","1090040"
"0","9","","","91","","","","","","1090041"
"106031","9","0","","3","","omp_talk_anger2","","1","","1090042"
"vo_omp_7009","9","","","21","0","vo_omp_7009_006","","0","","1090043"
"106031","9","","","11","1","殺す！　殺すわ！\n全員まとめてぶっ殺して\nあんなことしちゃったあたしも殺すわ！\nみんな消し去ってやるわよぉ～っ！","","10","1","1090044"
"0","9","","","91","","","","","","1090045"
"106031","9","0","","3","","omp_idle_anger2","","1","","1090046"
"112411","9","0","","3","","omp_talk_sad","","1","","1090047"
"vo_omp_7009","9","","","21","0","vo_omp_7009_007","","0","","1090048"
"112411","9","","","11","1","キャ、キャルちゃん。えっと、その…","","10","1","1090049"
"0","9","","","91","","","","","","1090050"
"112411","9","0","","3","","omp_idle_sad","","1","","1090051"
"112511","9","0","","3","","omp_talk_normal","","1","","1090052"
"vo_omp_7009","9","","","21","0","vo_omp_7009_008","","0","","1090053"
"112511","9","","","11","1","大変だね","","10","1","1090054"
"0","9","","","91","","","","","","1090055"
"112511","9","0","","3","","omp_idle_normal","","1","","1090056"
"106031","9","0","","3","","omp_talk_tsun","","1","","1090057"
"vo_omp_7009","9","","","21","0","vo_omp_7009_009","","0","","1090058"
"106031","9","","","11","1","あ、あんたたちは見逃してあげるわ…！\nでもあいつらはダメ！\nこの世から消し去らないとあたしが\n安心できないっ…！","","10","1","1090059"
"0","9","","","91","","","","","","1090060"
"106031","9","0","","3","","omp_idle_tsun","","1","","1090061"
"112511","9","0","","3","","omp_talk_normal","","1","","1090062"
"vo_omp_7009","9","","","21","0","vo_omp_7009_010","","0","","1090063"
"112511","9","","","11","1","でもあれ、かわいかったと思うけど","","10","1","1090064"
"0","9","","","91","","","","","","1090065"
"112511","9","0","","3","","omp_idle_normal","","1","","1090066"
"112411","9","0","","3","","omp_talk_joy2","","1","","1090067"
"vo_omp_7009","9","","","21","0","vo_omp_7009_011","","0","","1090068"
"112411","9","","","11","1","はい！　とっても素敵でした！","","10","1","1090069"
"0","9","","","91","","","","","","1090070"
"112411","9","0","","3","","omp_psn_20","","1","","1090071"
"106031","9","0","","3","","omp_talk_tsun","","1","","1090072"
"vo_omp_7009","9","","","21","0","vo_omp_7009_012","","0","","1090073"
"106031","9","","","11","1","そんなのうれしくないわよ～っ！？","","10","1","1090074"
"0","9","","","91","","","","","","1090075"
"106031","9","0","","3","","omp_idle_tsun","","1","","1090076"
"105831","9","0","","3","omp_idle_joy1","omp_psn_17","0.2","0","1","1090077"
"105931","9","0","","3","omp_idle_normal","omp_psn_17","0.2","0","1","1090078"
"112611","9","0","","3","omp_idle_joy1","omp_psn_17_other","0.2","0","1","1090079"
"vo_omp_7009","9","","","21","0","vo_omp_7009_013","","0","","1090080"
"105831","9","","","11","1","きゃるきゃるーん♪","","10","1","1090081"
"0","9","","","91","","","","","","1090082"
"106031","9","0","","3","","omp_talk_anger2","","1","","1090083"
"vo_omp_7009","9","","","21","0","vo_omp_7009_014","","0","","1090084"
"106031","9","","","11","1","絶対にぶっ殺す～～～～～～～！","","10","1","1090085"
"0","9","","","91","","","","","","1090086"
"0.4","9","","","93","","","","","","1090087"
