8d8bdff7d72209dc03e9c59d35e7a267a4051a9680dcee32b5fe644ab4884930,00233e2285cbe431664b73fc559502f2ae5e0a513d5f6afab2aa9566fbdf01b5,ab9c3436b4f6712464ae2e4d181c7dc45f884d41c4d9a9d4e78edc5b0974fd0d,c75a41313204ee54295c980964ae84c41d43c0246fa2790720dceb2daa9f61f7,44da06de12fca9f9ec194cd4d57c976773436d3951369d1c96adce7105b0d4d3,fb7a23656367aa047ef79f35719640c4760e06c3a22dfe0b71261f6d35754e1c,085aaf4d884009b4fa492b0b623c7c08fda9cb5576a89c05f7bddb550e7c283d,cf3ff6d850feaa15ccbf2d1258313e9a4a4f800f133e5e2d42a8c64a10facea0,3439df703e9b75c6304354e85662acb1ad7b475704a42b1d1d385befc982b378,b18ede92b2828f314c856d5a9292ff81b4d0ba78d7df3a1f2ed51e4a7c961984,ee05b74da744a1ef27d0242894abc9ea3594f2d9e6336f5062610269a55a6830
"3","1","","","","3","203","0.5","nyx_203_yukari_03","12030035",""
"103431","1","","","","3","203","0.5","nyx_203_yukari_03","12030036",""
"103431","10","","","","11","203","","それ～もっと飲め～\nうふふ～麦しゅわに\n不可能はないわ～♪","12030037",""
"0","","","","","91","203","","","12030038",""
"0.1","","","","","93","203","","","12030039",""
"3","0","1","nyx_203_yukari_05","","3","203","0.2","nyx_203_yukari_06","12030040",""
"103431","0","1","nyx_203_yukari_05","","3","203","0.2","nyx_203_yukari_06","12030041",""
"0.5","","","","","93","203","","","12030042",""
"103231","0","1","nyx_cmn_05","0.2","3","203","0.2","nyx_lookup","12030043",""
"2","","","","","93","203","","","12030044",""
"103231","1","","","","12","203","","1","12030045",""
"3","","","","","4","203","","1","12030046",""
"103431","","","","","4","203","","1","12030047",""
"3","0","","","","3","203","0.2","nyx_203_yukari_04","12030048",""
"103431","0","","","","3","203","0.2","nyx_203_yukari_04","12030049",""
"3","-10","0","0.67","","2","203","","-245","12030050",""
"103431","-10","0","0.67","","2","203","","-245","12030051",""
"0.67","","","","","93","203","","","12030052",""
"0.83","","","","","93","203","","","12030053",""
"3","-10","0","0.5","","2","203","","-265","12030054",""
"103431","-10","0","0.5","","2","203","","-265","12030055",""
"0.5","","","","","93","203","","","12030056",""
"3","-10","0","0.67","","2","203","","-328","12030057",""
"103431","-10","0","0.67","","2","203","","-328","12030058",""
"103231","1","","","","3","203","0.2","nyx_cmn_04","12030059",""
"104831","0","1","nyx_idle_sad","0.2","3","203","0.2","nyx_lookup","12030060",""
"0.67","","","","","93","203","","","12030061",""
"3","-10","0","0.67","","2","203","","-330","12030062",""
"103431","-10","0","0.67","","2","203","","-330","12030063",""
"0.67","","","","","93","203","","","12030064",""
"3","0","1","nyx_203_yukari_06","","3","203","0.2","nyx_203_yukari_05","12030065",""
"103431","0","1","nyx_203_yukari_06","","3","203","0.2","nyx_203_yukari_05","12030066",""
"0.66","","","","","93","203","","","12030067",""
"104831","1","","","","12","203","","12","12030068",""
"2","","","","","93","203","","","12030069",""
"103431","1","","","","12","203","","9","12030070",""
"104631","0","1","nyx_talk_sad","0.2","3","203","0.2","nyx_lookup","12030071",""
"3","","","","","4","203","","0","12030072",""
"103431","","","","","4","203","","0","12030073",""
"3","0","","","","3","203","0.2","nyx_203_yukari_04","12030074",""
"103431","0","","","","3","203","0.2","nyx_203_yukari_04","12030075",""
"3","-10","0","0.67","","2","203","","-285","12030076",""
"103431","-10","0","0.67","","2","203","","-285","12030077",""
"0.67","","","","","93","203","","","12030078",""
"0.83","","","","","93","203","","","12030079",""
"3","-10","0","0.5","","2","203","","-265","12030080",""
"103431","-10","0","0.5","","2","203","","-265","12030081",""
"0.5","","","","","93","203","","","12030082",""
"3","-10","0","0.67","","2","203","","-202","12030083",""
"103431","-10","0","0.67","","2","203","","-202","12030084",""
"104631","1","","","","12","203","","5","12030085",""
"0.67","","","","","93","203","","","12030086",""
"3","-10","0","0.67","","2","203","","-200","12030087",""
"103431","-10","0","0.67","","2","203","","-200","12030088",""
"0.67","","","","","93","203","","","12030089",""
"3","1","","","","3","203","0.2","nyx_203_yukari_05","12030090",""
"103431","1","","","","3","203","0.2","nyx_203_yukari_05","12030091",""
"0.66","","","","","93","203","","","12030092",""
"104631","1","","","","3","203","0.2","nyx_idle_sad","12030093",""
"103431","1","","","","12","203","","6","12030094",""
"3","","","","","4","203","","0","12030095",""
"103431","","","","","4","203","","0","12030096",""
"1","","","","","93","203","","","12030097",""
"12030039","","","","","101","203","","","12030098",""
"1","110","28.5","121.8","1","1","204","1.2","104831","12040001","nyx_204_mifuyu_01"
"2","120","28.5","121.8","1","5","204","1.2","2","12040002","nyx_204_mifuyu_01"
"1","110","-286.1","-278","0","1","204","1.2","103431","12040003","nyx_idle_normal"
"1","140","-286.1","283.5","1","1","204","1.2","104631","12040004","nyx_idle_normal"
"1","110","-286.1","-413","0","1","204","1.2","103231","12040005","nyx_idle_normal"
"2","0","1","0","","31","204","1","1","12040006",""
"3","130","-278","109","0","5","204","1.2","3","12040007","nyx_yagura_up_harf"
"14","-111","1","34","","31","204","1","2","12040008",""
"bgm_M347","","","","","25","204","","bgm_M347","12040009",""
"2","","","","","93","204","","","12040010",""
"104831","1","","","","3","204","0.2","nyx_204_mifuyu_01","12040011",""
"2","1","","","","3","204","0.2","nyx_204_mifuyu_01","12040012",""
"104831","10","","","","11","204","0","とうとう完成…\nしてしまったわね…","12040013",""
"0.2","","","","","93","204","","","12040014",""
"104631","0","1","nyx_204_akino_01_loop","0.2","3","204","0.2","nyx_lookup","12040015",""
"0.5","","","","","93","204","","","12040016",""
"104831","1","","","","3","204","0.2","nyx_204_mifuyu_02","12040017",""
"2","1","","","","3","204","0.2","nyx_204_mifuyu_02","12040018",""
"12040013","","","","","91","204","","","12040019",""
"104831","10","","","","11","204","0","設計段階より\n明らかに機能が\n増やされてるわ…","12040020",""
"1.5","","","","","93","204","","","12040021",""
"103431","0","1","nyx_lookup_loop","0.2","3","204","0.2","nyx_lookup","12040022",""
"12040020","","","","","91","204","","","12040023",""
"0.2","","","","","93","204","","","12040024",""
"103231","0","","","","3","204","0.2","nyx_204_akino_01","12040025",""
"103231","10","","","","11","204","","驚いたでしょう！\nこれこそが私たちの\nアイデアの結晶！","12040026",""
"1","","","","","93","204","","","12040027",""
"103231","1","","","","3","204","0.2","nyx_204_akino_02","12040028",""
"12040026","","","","","91","204","","","12040029",""
"0.5","","","","","93","204","","","12040030",""
"104831","10","","","","11","204","0","ええ、驚いたわ…\nまさかこんなにも\n好き勝手やるなんて","12040031",""
"0.2","","","","","93","204","","","12040032",""
"104831","1","","","0.2","3","204","0.2","nyx_204_mifuyu_03","12040033",""
"2","1","","","0.2","3","204","0.2","nyx_204_mifuyu_03","12040034",""
"3","","","","","93","204","","","12040035",""
"12040031","","","","","91","204","","","12040036",""
"104631","1","","","","3","204","","nyx_talk_sad","12040037",""
"104631","10","","","","11","204","","ど、どうして\n震えてるにゃ？\nミフユ…","12040038",""
"0","","","","","91","204","","","12040039",""
"104831","0","1","nyx_204_mifuyu_05","0.3","3","204","0.3","nyx_204_mifuyu_04","12040040",""
"2","0","1","nyx_204_mifuyu_05","0.3","3","204","0.3","nyx_204_mifuyu_04","12040041",""
"104831","10","","","","11","204","0","当たり前です！\nなんですかこの\n無駄だらけな機能！","12040042",""
"0.6","","","","","93","204","","","12040043",""
"104631","0","1","nyx_idle_surprise2","0.2","3","204","0.3","cmn_shock_def_N","12040044",""
"103431","0","1","nyx_idle_sad","0.2","3","204","0.3","cmn_shock_def_N","12040045",""
"103231","0","1","nyx_idle_surprise1","0.2","3","204","0.3","cmn_shock_def_N","12040046",""
"1.5","","","","","93","204","","","12040047",""
"12040042","","","","","91","204","","","12040048",""
"104831","10","","","","11","204","0","どこを見ても\n無駄ばかり…\n非効率すぎる…！","12040049",""
"0","","","","","91","204","","","12040050",""
"103431","1","","","0.3","3","204","0.3","nyx_talk_sad","12040051",""
"103431","10","","","","11","204","","お、落ち着いて\nミフユさん…\n仕方がなかったの…","12040052",""
"0","","","","","91","204","","","12040053",""
"104831","10","","","","11","204","0","こんなの\n落ち着けるわけ\nないでしょーっ！","12040054",""
"2.7","","","","","93","204","","","12040055",""
"103431","1","","","0.3","3","204","0.3","nyx_cmn_03","12040056",""
"104831","0","1","nyx_204_mifuyu_06","0.3","3","204","0.3","nyx_204_mifuyu_07","12040057",""
"2","0","1","nyx_204_mifuyu_06","0.3","3","204","0.3","nyx_204_mifuyu_07","12040058",""
"12040052","","","","","91","204","","","12040059",""
"0.5","","","","","93","204","","","12040060",""
"103431","1","","","","4","204","","0","12040061",""
"0.5","","","","","93","204","","","12040062",""
"103431","1","","","","12","204","","2","12040063",""
"1.5","","","","","93","204","","","12040064",""
"104631","1","","","","12","204","","17","12040065",""
"104631","1","","","0.3","3","204","0.3","nyx_talk_sad","12040066",""
"1.5","","","","","93","204","","","12040067",""
"103431","1","","","","4","204","","1","12040068",""
"104631","1","","","0.3","3","204","0.3","nyx_idle_sad","12040069",""
"0.2","","","","","93","204","","","12040070",""
"103231","1","","","","12","204","","7","12040071",""
"103231","0","1","cmn_pose02_def_N","0.2","3","204","0.3","nyx_talk_joy1","12040072",""
"0.1","","","","","93","204","","","12040073",""
"103431","1","","","0.3","3","204","0.3","nyx_talk_sad","12040074",""
"2","","","","","93","204","","","12040075",""
"104831","1","","","","12","204","","15","12040076",""
"2","","","","","93","204","","","12040077",""
"12040061","","","","","101","204","","1","12040078",""
"1","110","-277","-135","0","1","301","1.2","111031","13010001","nyx_301_yuni_01"
"3","0","1","0","","31","301","1","1","13010002",""
"17","40","1","-195","","31","301","1","2","13010003",""
"18","40","1","-195","","31","301","0","3","13010004",""
"19","40","1","-195","","31","301","0","4","13010005",""
"bgm_M347","","","","","25","301","","bgm_M347","13010006",""
"2","","","","","93","301","","","13010007",""
"111031","10","","","","11","301","","なかよしX…\nあれは実に\n浪漫の結晶だった…","13010008",""
"0","","","","","91","301","","1","13010009",""
"111031","10","","","","11","301","","あのイノベーション\nから得た刺激は形に\n遺しておくべきだ…","13010010",""
"0","","","","","91","301","","1","13010011",""
"0.6","","","","","93","301","","","13010012",""
"111031","1","","","","3","301","0.2","nyx_103_yuni_02","13010013",""
"111031","10","","","","11","301","","というわけで\nなかよしXの残骸を\n集めてみたわけだが","13010014",""
"0","","","","","91","301","","1","13010015",""
"111031","0","","nyx_idle_normal","0.2","3","301","0.2","cmn_pose02_def_N","13010016",""
"111031","10","","","","11","301","","これらをリペアして\n単に組み直したとて\n模造品でしかない","13010017",""
"0","","","","","91","301","","1","13010018",""
"111031","0","1","nyx_103_yuni_04","","3","301","0.2","nyx_103_yuni_03","13010019",""
"111031","10","","","","11","301","","独自の改修を施すぞ\n機体の縮小化そして\n各種機能を改良だ","13010020",""
"0","","","","","91","301","","1","13010021",""
"111031","1","","","","3","301","0.2","cmn_pose02_def_N","13010022",""
"111031","10","","","","11","301","","ふむ、すなわち\nたい焼きに麦しゅわ\nだが…","13010023",""
"0","","","","","91","301","","","13010024",""
"0.5","","","","","93","301","","","13010025",""
"111031","1","","","","3","301","0.2","nyx_301_yuni_03","13010026",""
"111031","10","","","","11","301","","いや、そもそもなぜ\nたい焼き麦しゅわが\n組み込まれていたか","13010027",""
"0","","","","","91","301","","1","13010028",""
"111031","10","","","","11","301","","…理解に苦しむな\nまずそこから考える\n必要がありそうだ","13010029",""
"0","","","","","91","301","","1","13010030",""
"111031","1","","","","3","301","0.2","nyx_301_yuni_01","13010031",""
"111031","10","","","","11","301","","なんたる難題だろう\nぼくの知的探求心が\n疼いてきたと言える","13010032",""
"0","","","","","91","301","","","13010033",""
"2","","","","","93","301","","","13010034",""
"111031","","","","","4","301","","1","13010035",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010036",""
"111031","-277","","1.5","","2","301","","-230","13010037",""
"1.5","","","","","93","301","","","13010038",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010039",""
"3","","","","","93","301","","","13010040",""
"111031","","","","","4","301","","0","13010041",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010042",""
"111031","-277","","1.5","","2","301","","-95","13010043",""
"1.5","","","","","93","301","","","13010044",""
"111031","1","","","","12","301","","12","13010045",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010046",""
"0.4","","","","","93","301","","","13010047",""
"3","","","","","32","301","","1","13010048",""
"2.6","","","","","93","301","","","13010049",""
"111031","","","","","4","301","","1","13010050",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010051",""
"111031","-277","","1.5","","2","301","","-230","13010052",""
"1.5","","","","","93","301","","","13010053",""
"111031","1","","","","12","301","","13","13010054",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010055",""
"3","","","","","93","301","","","13010056",""
"111031","","","","","4","301","","0","13010057",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010058",""
"111031","-277","","1.5","","2","301","","-95","13010059",""
"1.5","","","","","93","301","","","13010060",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010061",""
"0.4","","","","","93","301","","","13010062",""
"4","","","","","32","301","","1","13010063",""
"2.6","","","","","93","301","","","13010064",""
"111031","","","","","4","301","","1","13010065",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010066",""
"111031","-277","","1.5","","2","301","","-230","13010067",""
"1.5","","","","","93","301","","","13010068",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010069",""
"3","","","","","93","301","","","13010070",""
"111031","","","","","4","301","","0","13010071",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010072",""
"111031","-277","","4","","2","301","","165","13010073",""
"4","","","","","93","301","","","13010074",""
"111031","1","","","","12","301","","12","13010075",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","nyx_301_yuni_02","13010076",""
"3","","","","","93","301","","","13010077",""
"111031","","","","","4","301","","1","13010078",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010079",""
"111031","-277","","4","","2","301","","-230","13010080",""
"4","","","","","93","301","","","13010081",""
"111031","1","","","","12","301","","17","13010082",""
"111031","0","1","nyx_idle_normal","0.2","3","301","0.2","cmn_pose02_def_N","13010083",""
"4","","","","","93","301","","","13010084",""
"111031","","","","","4","301","","0","13010085",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010086",""
"111031","-277","","4","","2","301","","165","13010087",""
"4","","","","","93","301","","","13010088",""
"111031","0","0","nyx_303_yuni_01","0.2","3","301","0.2","nyx_301_yuni_02","13010089",""
"2.4","","","","","93","301","","","13010090",""
"111031","1","","","","12","301","","7","13010091",""
"1.6","","","","","93","301","","","13010092",""
"111031","","","","","4","301","","1","13010093",""
"111031","1","","","","3","301","0.2","cmn_walk_def_N","13010094",""
"111031","-277","","4","","2","301","","-230","13010095",""
"4","","","","","93","301","","","13010096",""
"111031","1","","","","12","301","","2","13010097",""
"111031","0","1","cmn_pose02_def_N","0.2","3","301","0.2","nyx_301_yuni_02","13010098",""
"4","","","","","93","301","","","13010099",""
"13010071","","","","","101","301","","","13010100",""
"1","110","-277","4000","1","1","302","1.2","111031","13020001","nyx_idle_normal"
"2","120","-277","-200","1","5","302","1.2","2","13020002","NoItem"
"3","0","1","0","","31","302","1","1","13020003",""
"20","-110","1","-240","","31","302","0","3","13020004",""
"21","40","1.2","-195","","31","302","1","4","13020005",""
"bgm_M347","","","","","25","302","","bgm_M347","13020006",""
"2","","","","","93","302","","","13020007",""
"111031","0","1","nyx_idle_normal","0.2","3","302","","nyx_302_yuni_01","13020008",""
"111031","-277","","0","","2","302","","-200","13020009",""
"2","-279","","0","","2","302","","-200","13020010",""
"111031","10","","","","11","302","","…ぷはーっ！","13020011",""
"0","","","","","93","302","","","13020012",""
"3","","","","","32","302","","1","13020013",""
"13020011","","","","","91","302","","","13020014",""
"111031","10","","","","11","302","","いかんいかん\n資材の山に埋もれて\nしまうところだった","13020015",""
"0","","","","","91","302","","","13020016",""
"2","0","1","NoItem","","3","302","0.2","nyx_302_yuni_02","13020017",""
"111031","0","1","nyx_idle_normal","0.2","3","302","0.2","nyx_302_yuni_02","13020018",""
"111031","10","","","","11","302","","だが怪我の功名、\n探していた部品を\n偶然にも発見できた","13020019",""
"5","","","","","93","302","","","13020020",""
"111031","","","","","4","302","","0","13020021",""
"111031","1","","","","3","302","0.2","nyx_cmn_03","13020022",""
"111031","10","","","","11","302","","ふむ…これは僥倖\nかくなる上は再び\n潜航してみるか…","13020023",""
"0","","","","","91","302","","","13020024",""
"111031","1","","","","3","302","0.2","nyx_301_yuni_01","13020025",""
"111031","10","","","","11","302","","存外意義あるものだ\n資材ダイビングとか\nいう新種の探索行は","13020026",""
"0","","","","","91","302","","1","13020027",""
"111031","10","","","","11","302","","まあ万一溺れたとて\n後輩たちの誰ぞが\nきっと気付くだろう","13020028",""
"0","","","","","91","302","","1","13020029",""
"111031","0","1","nyx_302_yuni_04","","3","302","0.2","nyx_302_yuni_03","13020030",""
"111031","10","","","","11","302","","是非もなし\nいざ往かん！","13020031",""
"0","","","","","91","302","","1","13020032",""
"1.5","","","","","93","302","","","13020033",""
"111031","10","","","","11","302","","む。奥に入りすぎた\nこれは…出られぬ！\n誰かー！　誰か―！","13020034",""
"0","","","","","91","302","","","13020035",""
"6","","","","","93","302","","","13020036",""
"111031","1","","","","12","302","","2","13020037",""
"4","","","","","93","302","","","13020038",""
"111031","1","","","","12","302","","4","13020039",""
"4","","","","","93","302","","","13020040",""
"13020036","","","","","101","302","","","13020041",""
"1","110","-221.5","49","1","1","303","1.2","111031","13030001","nyx_303_yuni_07"
"4","0","1","0","","31","303","1","1","13030002",""
"bgm_M347","","","","","25","303","","bgm_M347","13030003",""
"2","","","","","93","303","","","13030004",""
"111031","10","","","","11","303","","ふむ、紆余曲折は\nあったが無事完成…\nといったところか","13030005",""
"0","","","","","91","303","","","13030006",""
"111031","1","","","","3","303","0.2","nyx_303_yuni_01_noshadow","13030007",""
"111031","10","","","","11","303","","ふふふ…我ながら\n納得の出来栄え…","13030008",""
"0","","","","","91","303","","","13030009",""
"111031","10","","","","11","303","","外観の完成度も\nさることながら\n特筆すべきは機能だ","13030010",""
"0","","","","","91","303","","","13030011",""
"111031","1","","","","3","303","0.2","nyx_303_yuni_03","13030012",""
"111031","10","","","","11","303","","試しに動作試験を\nしてみるとしよう","13030013",""
"0","","","","","91","303","","","13030014",""
"111031","0","1","nyx_303_yuni_04","0.2","3","303","0.2","nyx_303_yuni_02","13030015",""
"3","","","","","93","303","","","13030016",""
"111031","1","","","","3","303","0.2","nyx_303_yuni_07","13030017",""
"111031","10","","","","11","303","","ふむ…\n表情映写の動作に\n問題はないようだ","13030018",""
"0","","","","","91","303","","","13030019",""
"111031","0","1","nyx_303_yuni_04","0.2","3","303","0.2","nyx_303_yuni_09","13030020",""
"111031","10","","","","11","303","","次はいずれの機能を\n試してみるか…","13030021",""
"0","","","","","91","303","","","13030022",""
"0.5","","","","","93","303","","","13030023",""
"111031","10","","","","11","303","","とりあえず適当な\nスイッチを…おっと\nこのボタンはいかん","13030024",""
"1.5","","","","","93","303","","","13030025",""
"111031","0","","","","3","303","0.2","nyx_303_yuni_02","13030026",""
"1","","","","","93","303","","","13030027",""
"111031","0","1","nyx_303_yuni_05","","3","303","0.2","nyx_303_yuni_06","13030028",""
"2","","","","","93","303","","","13030029",""
"111031","10","","","","11","303","","…危ない危ない\n自爆装置を起動して\nしまうところだった","13030030",""
"0.1","","","","","93","303","","","13030031",""
"111031","1","","","","3","303","0.2","nyx_303_yuni_08","13030032",""
"13030030","","","","","91","303","","","13030033",""
"2","","","","","93","303","","","13030034",""
"111031","0","1","nyx_303_yuni_04","0.2","3","303","0.2","nyx_303_yuni_09","13030035",""
"2","","","","","93","303","","","13030036",""
"111031","0","1","nyx_303_yuni_03","0.2","3","303","0.2","nyx_303_yuni_02","13030037",""
"1.8","","","","","93","303","","","13030038",""
"111031","1","","","","12","303","","6","13030039",""
"3.2","","","","","93","303","","","13030040",""
"111031","0","1","nyx_303_yuni_04","0.2","3","303","0.2","nyx_303_yuni_09","13030041",""
"2","","","","","93","303","","","13030042",""
"111031","0","1","nyx_303_yuni_08","0.2","3","303","0.2","nyx_303_yuni_02","13030043",""
"1.8","","","","","93","303","","","13030044",""
"111031","1","","","","12","303","","2","13030045",""
"1.2","","","","","93","303","","","13030046",""
"13030034","","","","","101","303","","","13030047",""
