8355d924a4f76e67bc9cc54c24924f641b6138c4b058eeac61a6aab9d9df91be,d37cdb8d1200a8b78c6b2aa63094b67315c6901457901f3806da5a6f2a1a0b92,8e7dff2dfd5cc0bffb141ab477d9ec101f15a0663d621e4674814e23c0aabc89,c18331724d88be10797a8e596799e08a4f99cc4a011e39d3f141e9707e2188fc,82cf98b0c1ffcaeeb06b27dfd50850684cf21a4eddeb012e266e9aef9e53100f,ad8cdcd6b166f98ff7c5efadbd64d15848fa659a6b3355c71f131e719f06f068,681971086a77d7201e0abfc40a022b0bb6a5069643b10f0076b8390969f0a29e,616886c7c853c2f0b5ef673f9428a6342dcf089c2d30e7471a348665b40e45bf,be6790df93efeebb1fa65b2e1e0bed26f3543f79b656e2528e230717384a7718,4709c7ff9c54e8787bf6ce538a001a6b0b608eb729568a696239795c04876f91,13eeaaf5de874f20365f1ffc12b807688f180d8ef846af1fa4db69e61e2550c4
"","","","","16114069","91","0","","","","16114"
"wac_birthday_idle_wish","","","","16114070","3","104911","","1","0.2","16114"
"wac_birthday_talk_doya","","","","16114071","3","101111","","1","0.2","16114"
"vo_wac_16114_003","","","","16114072","21","vo_wac_16114","0","0","","16114"
"妹も！　妹もいましたからね！\nお姉ちゃん！","0","0.5","1","16114073","11","101111","1","10","0","16114"
"","","","","16114074","91","0","","","","16114"
"wac_birthday_idle_doya","","","","16114075","3","101111","","1","0.2","16114"
"wac_birthday_talk_smile","","","","16114076","3","106811","","1","0.2","16114"
"vo_wac_16114_004","","","","16114077","21","vo_wac_16114","0","0","","16114"
"はは、これはアタシだけじゃあ\n食べきれないなあ。\nもちろん、手伝ってくれるん\nだよね、少年？","0","0.5","1","16114078","11","106811","1","10","0","16114"
"","","","","16114079","91","0","","","","16114"
"","","","","16114080","22","0","","","","16114"
"bgm_M321_2C","","","","16414001","25","bgm_M321","","","","16414"
"105311","0","wac_birthday_idle_normal","-70","16414002","1","1","-1000","250","2","16414"
"103011","1","wac_birthday_idle_doya","-260","16414003","1","1","170","256","2","16414"
"100811","1","wac_birthday_idle_smile","-310","16414004","1","1","270","259","2","16414"
"104511","1","wac_birthday_idle_normal","-270","16414005","1","1","400","257","2","16414"
"105511","1","wac_birthday_idle_wish","-310","16414006","1","1","500","258","2","16414"
"300","","","","16414007","13","105311","","","","16414"
"300","","","","16414008","13","103011","","","","16414"
"501","","","1","16414009","31","501","0","0","0","16414"
"600","","","1","16414010","31","600","0","0","1","16414"
"602","","","1","16414011","31","602","0","0","0","16414"
"603","","","1","16414012","31","603","0","0","0","16414"
"604","","","1","16414013","31","604","60","30","1","16414"
"613","","","1","16414014","31","613","0","0","1","16414"
"700","","","1","16414015","31","700","0","0","0","16414"
"701","","","1","16414016","31","701","0","0","0","16414"
"702","","","1","16414017","31","702","0","0","0","16414"
"800","","","1","16414018","31","800","0","0","0","16414"
"918","","","1","16414019","31","918","60","30","1","16414"
"","","","","16414020","93","1","","","","16414"
"wac_birthday_reaction_03","0.2","","1","16414021","3","100811","wac_birthday_reaction_05","0","0.2","16414"
"wac_birthday_reaction_01","0.2","","1","16414022","3","103011","wac_birthday_reaction_03","0","0.2","16414"
"","","","","16414023","93","0.1","","","","16414"
"wac_birthday_reaction_01","0.2","","1","16414024","3","104511","wac_birthday_reaction_04","0","0.2","16414"
"wac_birthday_reaction_05","0.2","","1","16414025","3","105511","wac_birthday_reaction_03","0","0.2","16414"
"","","","","16414026","93","0.3","","","","16414"
"wac_birthday_run_01","","","","16414027","3","105311","","1","0.2","16414"
"0","","","","16414028","2","105311","3","-70","","16414"
"","","","","16414029","93","2.5","","","","16414"
"1","","","","16414030","32","602","","","","16414"
"","","","","16414031","93","0.6","","","","16414"
"1","","","","16414032","32","501","","","","16414"
"0","","","","16414033","32","600","","","","16414"
"0","","","","16414034","32","613","","","","16414"
"0","","","","16414035","32","604","","","","16414"
"1","","","","16414036","32","701","","","","16414"
"0","","","","16414037","33","918","0.01","0","","16414"
"wac_birthday_blowout_03","0.2","","1","16414038","3","105311","wac_birthday_wish_01","0","0.2","16414"
"-200","","","","16414039","2","105311","0.01","-330","","16414"
"wac_birthday_idle_doya","","","","16414040","3","103011","","1","0.2","16414"
"150","","","","16414041","2","103011","0.01","-320","","16414"
"wac_birthday_idle_smile","","","","16414042","3","100811","","1","0.2","16414"
"260","","","","16414043","2","100811","0.01","-360","","16414"
"wac_birthday_idle_normal","","","","16414044","3","104511","","1","0.2","16414"
"390","","","","16414045","2","104511","0.01","-320","","16414"
"wac_birthday_idle_wish","","","","16414046","3","105511","","1","0.2","16414"
"490","","","","16414047","2","105511","0.01","-340","","16414"
"","","","","16414048","93","0","","","","16414"
"1","","","","16414049","32","800","","","","16414"
"","","","","16414050","93","0.7","","","","16414"
"1","","","","16414051","32","702","","","","16414"
"","","","","16414052","93","0.5","","","","16414"
"se_sys_login_birthday_blow_candle","","","","16414053","23","se_common","","0","","16414"
"0","","","","16414054","32","701","","","","16414"
"","","","","16414055","93","0.4","","","","16414"
"se_sys_login_birthday_cracker","","","","16414056","23","se_common","","0","","16414"
"1","","","","16414057","32","700","","","","16414"
"se_sys_login_birthday_calendar_applause","","","","16414058","23","se_common","","0","","16414"
"wac_birthday_clap","0.2","","1","16414059","3","103011","wac_birthday_idle_doya","0","0.2","16414"
"wac_birthday_clap","0.2","","1","16414060","3","104511","wac_birthday_idle_normal","0","0.2","16414"
"","","","","16414061","93","0.1","","","","16414"
"wac_birthday_clap","0.2","","1","16414062","3","100811","wac_birthday_idle_smile","0","0.2","16414"
"","","","","16414063","93","0.1","","","","16414"
"wac_birthday_clap_to_wish","0.2","","1","16414064","3","105511","wac_birthday_idle_wish","0","0.2","16414"
"","","","","16414065","93","2","","","","16414"
"","","","","16414066","131","1","","","","16414"
"vo_wac_16414_000","","","","16414067","21","vo_wac_16414","0","0","","16414"
"私の誕生日祝い、だと……？\nな、なんと巨大なケーキだ！\nそれにとんでもなく香しい匂いが……！\nこれを私のために……？","0","0.5","1","16414068","11","105311","1","10","0","16414"
"","","","","16414069","91","0","","","","16414"
"wac_birthday_idle_smile","","","","16414070","3","105311","","1","0.2","16414"
"wac_birthday_talk_kyapi","","","","16414071","3","103011","","1","0.2","16414"
"vo_wac_16414_001","","","","16414072","21","vo_wac_16414","0","0","","16414"
"イエース！　スウィートなものを\nコレデモカとテンコ盛りにした、\nスペシャルスウィートケーキデス！\nお召し上がりクダサーイ！","0","0.5","1","16414073","11","103011","1","10","0","16414"
"","","","","16414074","91","0","","","","16414"
"wac_birthday_idle_kyapi","","","","16414075","3","103011","","1","0.2","16414"
"wac_birthday_talk_sad","","","","16414076","3","105311","","1","0.2","16414"
"vo_wac_16414_002","","","","16414077","21","vo_wac_16414","0","0","","16414"
"いったいどれだけ砂糖を使ったんだ！？\n尋常じゃなく甘い匂いがする……\nくぅっ、甘味は控え目にと歯医者さんに\n言われたばかりなのに……！","0","0.5","1","16414078","11","105311","1","10","0","16414"
"","","","","16414079","91","0","","","","16414"
"wac_birthday_talk_doya","","","","16414080","3","105311","","1","0.2","16414"
"vo_wac_16414_003","","","","16414081","21","vo_wac_16414","0","0","","16414"
"し、しかし……部下の気持ちを\n無下にしてはいけないな！\nうむ、それなら完食もやむなしだ！\n早速いただくとしよう！","0","0.5","1","16414082","11","105311","1","10","0","16414"
"","","","","16414083","91","0","","","","16414"
"","","","","16414084","22","0","","","","16414"
"bgm_M321_2C","","","","16614001","25","bgm_M321","","","","16614"
"102711","0","wac_birthday_idle_normal","-70","16614002","1","1","-1000","250","2","16614"
"105611","1","wac_birthday_idle_smile","-260","16614003","1","1","170","256","2","16614"
"100911","1","wac_birthday_idle_doya","-310","16614004","1","1","270","259","2","16614"
"105111","1","wac_birthday_idle_normal","-270","16614005","1","1","380","257","2","16614"
"101311","1","wac_birthday_idle_kyapi","-310","16614006","1","1","510","258","2","16614"
"300","","","","16614007","13","102711","","","","16614"
"300","","","","16614008","13","105611","","","","16614"
"501","","","1","16614009","31","501","0","0","0","16614"
"600","","","1","16614010","31","600","0","0","1","16614"
"602","","","1","16614011","31","602","0","0","0","16614"
"603","","","1","16614012","31","603","0","0","0","16614"
"604","","","1","16614013","31","604","60","30","1","16614"
"613","","","1","16614014","31","613","0","0","1","16614"
"700","","","1","16614015","31","700","0","0","0","16614"
"701","","","1","16614016","31","701","0","0","0","16614"
"702","","","1","16614017","31","702","0","0","0","16614"
"800","","","1","16614018","31","800","0","0","0","16614"
"919","","","1","16614019","31","919","60","30","1","16614"
"","","","","16614020","93","1","","","","16614"
"wac_birthday_reaction_01","0.2","","1","16614021","3","100911","wac_birthday_reaction_03","0","0.2","16614"
"wac_birthday_reaction_02","0.2","","1","16614022","3","105611","wac_birthday_reaction_03","0","0.2","16614"
"","","","","16614023","93","0.1","","","","16614"
"wac_birthday_reaction_01","0.2","","1","16614024","3","105111","wac_birthday_reaction_04","0","0.2","16614"
"wac_birthday_reaction_03","0.2","","1","16614025","3","101311","wac_birthday_reaction_05","0","0.2","16614"
"","","","","16614026","93","0.3","","","","16614"
"wac_birthday_run_01","","","","16614027","3","102711","","1","0.2","16614"
"0","","","","16614028","2","102711","3","-70","","16614"
"","","","","16614029","93","2.5","","","","16614"
"1","","","","16614030","32","602","","","","16614"
"","","","","16614031","93","0.6","","","","16614"
"1","","","","16614032","32","501","","","","16614"
"0","","","","16614033","32","600","","","","16614"
"0","","","","16614034","32","613","","","","16614"
"0","","","","16614035","32","604","","","","16614"
"1","","","","16614036","32","701","","","","16614"
"0","","","","16614037","33","919","0.01","0","","16614"
"wac_birthday_eriko_blowout_03","0.2","","1","16614038","3","102711","wac_birthday_eriko_wish_04","0","0.2","16614"
"-200","","","","16614039","2","102711","0.01","-330","","16614"
"wac_birthday_idle_smile","","","","16614040","3","105611","","1","0.2","16614"
"150","","","","16614041","2","105611","0.01","-320","","16614"
"wac_birthday_idle_doya","","","","16614042","3","100911","","1","0.2","16614"
"250","","","","16614043","2","100911","0.01","-360","","16614"
"wac_birthday_idle_normal","","","","16614044","3","105111","","1","0.2","16614"
"370","","","","16614045","2","105111","0.01","-320","","16614"
"wac_birthday_idle_kyapi","","","","16614046","3","101311","","1","0.2","16614"
"490","","","","16614047","2","101311","0.01","-340","","16614"
"","","","","16614048","93","0","","","","16614"
"1","","","","16614049","32","800","","","","16614"
"","","","","16614050","93","0.7","","","","16614"
"1","","","","16614051","32","702","","","","16614"
"","","","","16614052","93","0.5","","","","16614"
"se_sys_login_birthday_blow_candle","","","","16614053","23","se_common","","0","","16614"
"0","","","","16614054","32","701","","","","16614"
"","","","","16614055","93","0.4","","","","16614"
"se_sys_login_birthday_cracker","","","","16614056","23","se_common","","0","","16614"
"1","","","","16614057","32","700","","","","16614"
"se_sys_login_birthday_calendar_applause","","","","16614058","23","se_common","","0","","16614"
"wac_birthday_clap","0.2","","1","16614059","3","105611","wac_birthday_idle_smile","0","0.2","16614"
"wac_birthday_clap","0.2","","1","16614060","3","105111","wac_birthday_idle_normal","0","0.2","16614"
"","","","","16614061","93","0.1","","","","16614"
"wac_birthday_clap","0.2","","1","16614062","3","100911","wac_birthday_idle_doya","0","0.2","16614"
"","","","","16614063","93","0.1","","","","16614"
"wac_birthday_clap","0.2","","1","16614064","3","101311","wac_birthday_idle_kyapi","0","0.2","16614"
"","","","","16614065","93","2","","","","16614"
"","","","","16614066","131","1","","","","16614"
"vo_wac_16614_000","","","","16614067","21","vo_wac_16614","0","0","","16614"
"誕生、日……？\n私のですか？\nなぜそんなことを\n覚えているのですか？","0","0.5","1","16614068","11","102711","1","10","0","16614"
"","","","","16614069","91","0","","","","16614"
"wac_birthday_eriko_idle_wish","","","","16614070","3","102711","","1","0.2","16614"
"wac_birthday_talk_doya","","","","16614071","3","105611","","1","0.2","16614"
"vo_wac_16614_001","","","","16614072","21","vo_wac_16614","0","0","","16614"
"なぜって、同じギルドの\nメンバーじゃないか。\nいつも身を挺して戦ってくれてる\nアンタに、心ばかりのお礼だよ。","0","0.5","1","16614073","11","105611","1","10","0","16614"
"","","","","16614074","91","0","","","","16614"
"wac_birthday_idle_doya","","","","16614075","3","105611","","1","0.2","16614"
"wac_birthday_talk_normal","","","","16614076","3","102711","","1","0.2","16614"
"vo_wac_16614_002","","","","16614077","21","vo_wac_16614","0","0","","16614"
"………………そう、ですか。\nそれならありがたく\nいただくことにしましょう。","0","0.5","1","16614078","11","102711","1","10","0","16614"
"","","","","16614079","91","0","","","","16614"
"wac_birthday_talk_wish","","","","16614080","3","102711","","1","0.2","16614"
"vo_wac_16614_003","","","","16614081","21","vo_wac_16614","0","0","","16614"
"はむっ。\n……ふふ、甘い、ですね。\nまるであのおかたの優しさのよう。\n……ありがとうござい、ます。","0","0.5","1","16614082","11","102711","1","10","0","16614"
"","","","","16614083","91","0","","","","16614"
"","","","","16614084","22","0","","","","16614"
"bgm_M321_2C","","","","17414001","25","bgm_M321","","","","17414"
"110811","0","wac_birthday_idle_normal","-70","17414002","1","1","-1000","250","2","17414"
"110911","1","wac_birthday_idle_kyapi","-270","17414003","1","1","230","256","2","17414"
"111011","1","wac_birthday_idle_doya","-310","17414004","1","1","410","257","2","17414"
"300","","","","17414005","13","110811","","","","17414"
"300","","","","17414006","13","110911","","","","17414"
"501","","","1","17414007","31","501","0","0","0","17414"
"600","","","1","17414008","31","600","0","0","1","17414"
"602","","","1","17414009","31","602","0","0","0","17414"
"603","","","1","17414010","31","603","0","0","0","17414"
"604","","","1","17414011","31","604","60","30","1","17414"
"613","","","1","17414012","31","613","0","0","1","17414"
"700","","","1","17414013","31","700","0","0","0","17414"
"701","","","1","17414014","31","701","0","0","0","17414"
"702","","","1","17414015","31","702","0","0","0","17414"
"800","","","1","17414016","31","800","0","0","0","17414"
"920","","","1","17414017","31","920","60","30","1","17414"
"","","","","17414018","93","1","","","","17414"
"wac_birthday_reaction_05","0.2","","1","17414019","3","111011","wac_birthday_reaction_03","0","0.2","17414"
"","","","","17414020","93","0.1","","","","17414"
"wac_birthday_reaction_01","0.2","","1","17414021","3","110911","wac_birthday_reaction_03","0","0.2","17414"
"","","","","17414022","93","0.3","","","","17414"
"wac_birthday_run_01","","","","17414023","3","110811","","1","0.2","17414"
"0","","","","17414024","2","110811","3","-70","","17414"
"","","","","17414025","93","2.5","","","","17414"
"1","","","","17414026","32","602","","","","17414"
"","","","","17414027","93","0.6","","","","17414"
"1","","","","17414028","32","501","","","","17414"
"0","","","","17414029","32","600","","","","17414"
"0","","","","17414030","32","613","","","","17414"
"0","","","","17414031","32","604","","","","17414"
"1","","","","17414032","32","701","","","","17414"
"0","","","","17414033","33","920","0.01","0","","17414"
"wac_birthday_blowout_01","0.2","","1","17414034","3","110811","wac_birthday_wish_01","0","0.2","17414"
"-200","","","","17414035","2","110811","0.01","-330","","17414"
"wac_birthday_idle_kyapi","","","","17414036","3","110911","","1","0.2","17414"
"180","","","","17414037","2","110911","0.01","-320","","17414"
"wac_birthday_idle_doya","","","","17414038","3","111011","","1","0.2","17414"
"320","","","","17414039","2","111011","0.01","-340","","17414"
"","","","","17414040","93","0","","","","17414"
"1","","","","17414041","32","800","","","","17414"
"","","","","17414042","93","0.7","","","","17414"
"1","","","","17414043","32","702","","","","17414"
"","","","","17414044","93","0.5","","","","17414"
"se_sys_login_birthday_blow_candle","","","","17414045","23","se_common","","0","","17414"
"0","","","","17414046","32","701","","","","17414"
"","","","","17414047","93","0.4","","","","17414"
"se_sys_login_birthday_cracker","","","","17414048","23","se_common","","0","","17414"
"1","","","","17414049","32","700","","","","17414"
"se_sys_login_birthday_calendar_applause","","","","17414050","23","se_common","","0","","17414"
"wac_birthday_clap","0.2","","1","17414051","3","110911","wac_birthday_idle_kyapi","0","0.2","17414"
"","","","","17414052","93","0.1","","","","17414"
"wac_birthday_clap","0.2","","1","17414053","3","111011","wac_birthday_idle_doya","0","0.2","17414"
"","","","","17414054","93","2","","","","17414"
"","","","","17414055","131","1","","","","17414"
"vo_wac_17414_000","","","","17414056","21","vo_wac_17414","0","0","","17414"
"うわ何コレ、ビビんだけど。\nまぁまぁデカめの生モノ\n野ざらしで放置されてンじゃん。\n城壁だぞ。新手のバイオテロか？","0","0.5","1","17414057","11","110811","1","10","0","17414"
"","","","","17414058","91","0","","","","17414"
"wac_birthday_idle_smile","","","","17414059","3","110811","","1","0.2","17414"
"wac_birthday_talk_sad","","","","17414060","3","110911","","1","0.2","17414"
"vo_wac_17414_001","","","","17414061","21","vo_wac_17414","0","0","","17414"
"照れ隠しなのか新手のモノボケなのか\n知らないですけどクロエ先輩……\nあきらかバースデーケーキ前にして\nそのすっとぼけは無理ないです？","0","0.5","1","17414062","11","110911","1","10","0","17414"
"","","","","17414063","91","0","","","","17414"
"wac_birthday_idle_sad","","","","17414064","3","110911","","1","0.2","17414"
"wac_birthday_chloe_talk_sad","","","","17414065","3","110811","","1","0.2","17414"
"vo_wac_17414_002","","","","17414066","21","vo_wac_17414","0","0","","17414"
"あ？　じゃあさ、そんなン言うなら\nこっちも言わせてもらうけどさ。\nあんたらサプライズするならするで\nもっと上手いことやってくんない。","0","0.5","1","17414067","11","110811","1","10","0","17414"
"","","","","17414068","91","0","","","","17414"
"wac_birthday_talk_smile","","","","17414069","3","110811","","1","0.2","17414"
"vo_wac_17414_003","","","","17414070","21","vo_wac_17414","0","0","","17414"
"朝からユニ先輩クリームまみれなのよ。\n気付くわそりゃ。喜びどころムズいわ。\nとっくにニヤ散らかした後だわ。\nいんだけどさべつに。ありがとね。","0","0.5","1","17414071","11","110811","1","10","0","17414"
"","","","","17414072","91","0","","","","17414"
"","","","","17414073","22","0","","","","17414"
"bgm_M321_2C","","","","17614001","25","bgm_M321","","","","17614"
"104311","0","wac_birthday_idle_normal","-70","17614002","1","1","-1000","250","2","17614"
"101011","1","wac_birthday_idle_wish","-270","17614003","1","1","200","256","2","17614"
"101411","1","wac_birthday_idle_smile","-310","17614004","1","1","320","258","2","17614"
"101711","1","wac_birthday_idle_kyapi","-290","17614005","1","1","450","257","2","17614"
"300","","","","17614006","13","104311","","","","17614"
"300","","","","17614007","13","101011","","","","17614"
"300","","","","17614008","13","101411","","","","17614"
"300","","","","17614009","13","101711","","","","17614"
"501","","","1","17614010","31","501","0","0","0","17614"
"600","","","1","17614011","31","600","0","0","1","17614"
"602","","","1","17614012","31","602","0","0","0","17614"
"603","","","1","17614013","31","603","0","0","0","17614"
"604","","","1","17614014","31","604","60","30","1","17614"
"613","","","1","17614015","31","613","0","0","1","17614"
"700","","","1","17614016","31","700","0","0","0","17614"
"701","","","1","17614017","31","701","0","0","0","17614"
"702","","","1","17614018","31","702","0","0","0","17614"
"800","","","1","17614019","31","800","0","0","0","17614"
"921","","","1","17614020","31","921","60","30","1","17614"
"","","","","17614021","93","1","","","","17614"
"wac_birthday_reaction_01","0.2","","1","17614022","3","101411","wac_birthday_reaction_03","0","0.2","17614"
"","","","","17614023","93","0.1","","","","17614"
"wac_birthday_reaction_03","0.2","","1","17614024","3","101011","wac_birthday_reaction_04","0","0.2","17614"
"wac_birthday_reaction_02","0.2","","1","17614025","3","101711","wac_birthday_reaction_03","0","0.2","17614"
"","","","","17614026","93","0.3","","","","17614"
"wac_birthday_makoto_run_01","","","","17614027","3","104311","","1","0.2","17614"
"0","","","","17614028","2","104311","3","-70","","17614"
"","","","","17614029","93","2.5","","","","17614"
"1","","","","17614030","32","602","","","","17614"
"","","","","17614031","93","0.6","","","","17614"
"1","","","","17614032","32","501","","","","17614"
"0","","","","17614033","32","600","","","","17614"
"0","","","","17614034","32","613","","","","17614"
"0","","","","17614035","32","604","","","","17614"
"1","","","","17614036","32","701","","","","17614"
"0","","","","17614037","33","921","0.01","0","","17614"
"wac_birthday_makoto_blowout_02","0.2","","1","17614038","3","104311","wac_birthday_makoto_wish_01","0","0.2","17614"
"-200","","","","17614039","2","104311","0.01","-330","","17614"
"wac_birthday_idle_wish","","","","17614040","3","101011","","1","0.2","17614"
"180","","","","17614041","2","101011","0.01","-320","","17614"
"wac_birthday_idle_smile","","","","17614042","3","101411","","1","0.2","17614"
"290","","","","17614043","2","101411","0.01","-360","","17614"
"wac_birthday_idle_kyapi","","","","17614044","3","101711","","1","0.2","17614"
"420","","","","17614045","2","101711","0.01","-340","","17614"
"","","","","17614046","93","0","","","","17614"
"1","","","","17614047","32","800","","","","17614"
"","","","","17614048","93","0.7","","","","17614"
"1","","","","17614049","32","702","","","","17614"
"","","","","17614050","93","0.5","","","","17614"
"se_sys_login_birthday_blow_candle","","","","17614051","23","se_common","","0","","17614"
"0","","","","17614052","32","701","","","","17614"
"","","","","17614053","93","0.4","","","","17614"
"se_sys_login_birthday_cracker","","","","17614054","23","se_common","","0","","17614"
"1","","","","17614055","32","700","","","","17614"
"se_sys_login_birthday_calendar_applause","","","","17614056","23","se_common","","0","","17614"
"wac_birthday_clap_to_wish","0.2","","1","17614057","3","101011","wac_birthday_idle_wish","0","0.2","17614"
"","","","","17614058","93","0.1","","","","17614"
"wac_birthday_clap","0.2","","1","17614059","3","101411","wac_birthday_idle_smile","0","0.2","17614"
"","","","","17614060","93","0.1","","","","17614"
"wac_birthday_clap","0.2","","1","17614061","3","101711","wac_birthday_idle_kyapi","0","0.2","17614"
"","","","","17614062","93","2","","","","17614"
"","","","","17614063","131","1","","","","17614"
"vo_wac_17614_000","","","","17614064","21","vo_wac_17614","0","0","","17614"
"なんじゃこりゃ、ケーキか？\n誰かの忘れ物……なわけないよな。\nなんでこんなもんが？","0","0.5","1","17614065","11","104311","1","10","0","17614"
"","","","","17614066","91","0","","","","17614"
"wac_birthday_idle_normal","","","","17614067","3","104311","","1","0.2","17614"
"wac_birthday_talk_wish","","","","17614068","3","101011","","1","0.2","17614"
"vo_wac_17614_001","","","","17614069","21","vo_wac_17614","0","0","","17614"
"なんでって、今日はマコトはんの\nお誕生日やんか～？\nうちらと王子はんで、特製ケーキ、\n用意したんどすえ～♪","0","0.5","1","17614070","11","101011","1","10","0","17614"
"","","","","17614071","91","0","","","","17614"
"wac_birthday_idle_wish","","","","17614072","3","101011","","1","0.2","17614"
"wac_birthday_talk_smile","","","","17614073","3","101411","","1","0.2","17614"
"vo_wac_17614_002","","","","17614074","21","vo_wac_17614","0","0","","17614"
"ギルドの仕事にいつも一番熱心な、\n君への労いも兼ねているよ。\n改めてお誕生日、おめでとう♪","0","0.5","1","17614075","11","101411","1","10","0","17614"
"","","","","17614076","91","0","","","","17614"
"wac_birthday_idle_smile","","","","17614077","3","101411","","1","0.2","17614"
"wac_birthday_talk_smile","","","","17614078","3","101711","","1","0.2","17614"
"vo_wac_17614_003","","","","17614079","21","vo_wac_17614","0","0","","17614"
"本当に、いつもお疲れさまさ～♪\nおいしーケーキをたっくさん食べて、\nこれからも私たちの分まで、\nお仕事頑張ってね～？","0","0.5","1","17614080","11","101711","1","10","0","17614"
"","","","","17614081","91","0","","","","17614"
"wac_birthday_idle_smile","","","","17614082","3","101711","","1","0.2","17614"
"wac_birthday_makoto_talk_smile","","","","17614083","3","104311","","1","0.2","17614"
"vo_wac_17614_004","","","","17614084","21","vo_wac_17614","0","0","","17614"
"うれしいじゃねぇか、ありがとな！\n……って、ちょっと待て。\nギルドの仕事はみんなにも\n頑張ってもらわないと困るって！？　","0","0.5","1","17614085","11","104311","1","10","0","17614"
"","","","","17614086","91","0","","","","17614"
"wac_birthday_talk_doya","","","","17614087","3","104311","","1","0.2","17614"
"vo_wac_17614_005","","","","17614088","21","vo_wac_17614","0","0","","17614"
"まぁ、でも、今日はケーキに\n免じて勘弁してやるか。\nおまえも、わざわざありがとな。\nこれからも、一緒に頑張ろうぜ♪","0","0.5","1","17614089","11","104311","1","10","0","17614"
"","","","","17614090","91","0","","","","17614"
"","","","","17614091","22","0","","","","17614"
"bgm_M321_2C","","","","17714001","25","bgm_M321","","","","17714"
"100411","0","wac_birthday_idle_normal","-70","17714002","1","1","-1000","250","2","17714"
"103611","1","wac_birthday_idle_doya","-270","17714003","1","1","230","256","2","17714"
"102011","1","wac_birthday_idle_smile","-310","17714004","1","1","410","257","2","17714"
"300","","","","17714005","13","100411","","","","17714"
"300","","","","17714006","13","103611","","","","17714"
"501","","","1","17714007","31","501","0","0","0","17714"
"600","","","1","17714008","31","600","0","0","1","17714"
"602","","","1","17714009","31","602","0","0","0","17714"
"603","","","1","17714010","31","603","0","0","0","17714"
"604","","","1","17714011","31","604","60","30","1","17714"
"613","","","1","17714012","31","613","0","0","1","17714"
"700","","","1","17714013","31","700","0","0","0","17714"
"701","","","1","17714014","31","701","0","0","0","17714"
"702","","","1","17714015","31","702","0","0","0","17714"
"800","","","1","17714016","31","800","0","0","0","17714"
"922","","","1","17714017","31","922","60","30","1","17714"
"","","","","17714018","93","1","","","","17714"
"wac_birthday_reaction_01","0.2","","1","17714019","3","102011","wac_birthday_reaction_03","0","0.2","17714"
"","","","","17714020","93","0.1","","","","17714"
"wac_birthday_reaction_01","0.2","","1","17714021","3","103611","wac_birthday_reaction_03","0","0.2","17714"
"","","","","17714022","93","0.3","","","","17714"
"wac_birthday_run_01","","","","17714023","3","100411","","1","0.2","17714"
"0","","","","17714024","2","100411","3","-70","","17714"
"","","","","17714025","93","2.5","","","","17714"
"1","","","","17714026","32","602","","","","17714"
"","","","","17714027","93","0.6","","","","17714"
"1","","","","17714028","32","501","","","","17714"
"0","","","","17714029","32","600","","","","17714"
"0","","","","17714030","32","613","","","","17714"
"0","","","","17714031","32","604","","","","17714"
"1","","","","17714032","32","701","","","","17714"
"0","","","","17714033","33","922","0.01","0","","17714"
"wac_birthday_blowout_01","0.2","","1","17714034","3","100411","wac_birthday_wish_02","0","0.2","17714"
"-200","","","","17714035","2","100411","0.01","-330","","17714"
"wac_birthday_idle_doya","","","","17714036","3","103611","","1","0.2","17714"
"180","","","","17714037","2","103611","0.01","-320","","17714"
"wac_birthday_idle_smile","","","","17714038","3","102011","","1","0.2","17714"
"320","","","","17714039","2","102011","0.01","-340","","17714"
"","","","","17714040","93","0","","","","17714"
"1","","","","17714041","32","800","","","","17714"
"","","","","17714042","93","0.7","","","","17714"
"1","","","","17714043","32","702","","","","17714"
"","","","","17714044","93","0.5","","","","17714"
"se_sys_login_birthday_blow_candle","","","","17714045","23","se_common","","0","","17714"
"0","","","","17714046","32","701","","","","17714"
"","","","","17714047","93","0.4","","","","17714"
"se_sys_login_birthday_cracker","","","","17714048","23","se_common","","0","","17714"
"1","","","","17714049","32","700","","","","17714"
"se_sys_login_birthday_calendar_applause","","","","17714050","23","se_common","","0","","17714"
"wac_birthday_clap","0.2","","1","17714051","3","103611","wac_birthday_idle_doya","0","0.2","17714"
"","","","","17714052","93","0.1","","","","17714"
"wac_birthday_clap","0.2","","1","17714053","3","102011","wac_birthday_idle_smile","0","0.2","17714"
"","","","","17714054","93","2","","","","17714"
"","","","","17714055","131","1","","","","17714"
"vo_wac_17714_000","","","","17714056","21","vo_wac_17714","0","0","","17714"
"あれ、このケーキって……？\nもしかして、ミソギのお誕生日、\nお祝いしてくれるの！？","0","0.5","1","17714057","11","100411","1","10","0","17714"
"","","","","17714058","91","0","","","","17714"
"wac_birthday_idle_smile","","","","17714059","3","100411","","1","0.2","17714"
"wac_birthday_kyoka_talk_wish","","","","17714060","3","103611","","1","0.2","17714"
"vo_wac_17714_001","","","","17714061","21","vo_wac_17714","0","0","","17714"
"そういうこと。\nお誕生日おめでとう、ミソギ♪\nミミと二人で手作りしたの！\nたくさん食べてね！","0","0.5","1","17714062","11","103611","1","10","0","17714"
"","","","","17714063","91","0","","","","17714"
"wac_birthday_idle_wish","","","","17714064","3","103611","","1","0.2","17714"
"wac_birthday_talk_normal","","","","17714065","3","100411","","1","0.2","17714"
"vo_wac_17714_002","","","","17714066","21","vo_wac_17714","0","0","","17714"
