25e9fe15af6c3eacc51a4eac3351e769241f7e963a5afd459dcfc38802c3a46d,7d159e199afcb37e980a5d15336d42d19ad426530906368e08b3df264bb8a72e,3b9dc9cc1a78c92a2fc5277fcd4a9f6f282e58de032eb3b4ba09cc97f5a10b16,83e6c8493cce9779efc77358e4061f15a78b7611ad27ca345f40845d8078237f,85493f1e6a3e21eb95a8940dc1d04c7b09d503afded479633245a813598d5608,01a082051295ae3642ba7d947bea5c1121c62ffdce517870c215f1c4e158d2ac,adea7610ef5dcc3a5bf35a135e35e3731b5a19b4e31d82403999d49746e7bc66,38e43c1e34e6db39d77b1bc3eacc23af2ed19fa13b02dc02657a53265ca0530b,c148e6c13e3c36d4e94a04df223a1ee211923069c3e6223edd90f603bb9c099c,2b1365e61e051c56f350cc7438d0236e6405081015aa7a1bb5ed7f62fd9eadc4,8709d9cb939c0f0403d2a6e0e9b640eb413868e3f265742dbfe13139d8623e72
"2","","","33","3","pkb_talk_yell","0.2","","0","1330013",""
"3","","","33","93","","","","","1330014",""
"2","pkb_idle_shock","1","33","3","pkb_shock","0.2","","0","1330015",""
"1330011","","","33","91","","","","","1330016",""
"2","","","33","3","pkb_idle_normal","0.2","","1","1330017",""
"1","170","-150","34","1","106531","1.6","1","100","1340001","pkb_idle_normal"
"1","-20","-150","34","1","113411","1.6","0","100","1340002","pkb_idle_normal"
"106531","pkb_idle_arm_crossed","1","34","3","pkb_talk_arm_crossed","0.2","0.2","0","1340003",""
"vo_minigame_1006","0","","34","21","vo_minigame_1006_top_talk_13_301","","","0","1340004",""
"106531","0","0","34","11","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","0","0","8","1340005","-1"
"3.4","","","34","93","","","","","1340006",""
"106531","","","34","3","pkb_talk_normal","0.2","","1","1340007",""
"1340005","","","34","91","","","","","1340008",""
"106531","","","34","3","pkb_idle_normal","0.2","","1","1340009",""
"113411","","","34","3","pkb_talk_normal","0.2","","1","1340010",""
"vo_minigame_1006","0","","34","21","vo_minigame_1006_top_talk_13_202","","","0","1340011",""
"113411","0","0","34","11","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","0","0","8","1340012","1"
"1.2","","","34","93","","","","","1340013",""
"113411","pkb_talk_surprise1","1","34","3","pkb_surprise","0.2","0.2","0","1340014",""
"1","","","34","93","","","","","1340015",""
"113411","","","34","3","pkb_talk_joy3","0.2","","1","1340016",""
"1340012","","","34","91","","","","","1340017",""
"113411","","","34","3","pkb_idle_normal","0.2","","1","1340018",""
"1","-20","-150","35","1","113511","1.6","0","100","1350001","pkb_idle_normal"
"1","170","-150","35","1","102311","1.6","1","100","1350002","pkb_idle_normal"
"113511","","","35","3","pkb_talk_joy3","0.2","","1","1350003",""
"vo_minigame_1006","0","","35","21","vo_minigame_1006_top_talk_14_101","","","0","1350004",""
"113511","0","0","35","11","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0","0","6","1350005","0.5"
"5.2","","","35","93","","","","","1350006",""
"113511","","","35","3","pkb_talk_wish","0.2","","1","1350007",""
"1350005","","","35","91","","","","","1350008",""
"113511","","","35","3","pkb_idle_normal","0.2","","1","1350009",""
"102311","","","35","3","pkb_talk_joy1","0.2","","1","1350010",""
"vo_minigame_1006","0","","35","21","vo_minigame_1006_top_talk_14_402","","","0","1350011",""
"102311","0","0","35","11","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","0","0","8","1350012","-1"
"3.2","","","35","93","","","","","1350013",""
"102311","pkb_idle_doya","1","35","3","pkb_talk_doya","0.2","","0","1350014",""
"1350012","","","35","91","","","","","1350015",""
"102311","","","35","3","pkb_idle_normal","0.2","","1","1350016",""
"3","170","-130","36","5","3","55","1","100","1360001","pkb_idle_normal_l"
"1","-20","-130","36","5","1","55","0","100","1360002","pkb_idle_normal"
"3","pkb_idle_arm_crossed_l","1","36","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1360003",""
"vo_minigame_1006","0","","36","21","vo_minigame_1006_top_talk_15_601","","","0","1360004",""
"3","0","0","36","11","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","0","0","8","1360005","-0.5"
"1360005","","","36","91","","","","","1360006",""
"3","","","36","3","pkb_idle_normal_l","0.2","","1","1360007",""
"1","pkb_idle_guts","1","36","3","pkb_talk_guts","0.2","","0","1360008",""
"vo_minigame_1006","0","","36","21","vo_minigame_1006_top_talk_15_702","","","0","1360009",""
"1","0","0","36","11","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","0","8","1360010","0"
"1360010","","","36","91","","","","","1360011",""
"1","","","36","3","pkb_idle_normal","0.2","","1","1360012",""
"1","-20","-130","37","5","1","55","0","100","1370001","pkb_idle_normal"
"3","170","-130","37","5","3","55","1","100","1370002","pkb_idle_normal_l"
"1","pkb_idle_guts","1","37","3","pkb_talk_guts","0.2","","0","1370003",""
"vo_minigame_1006","0","","37","21","vo_minigame_1006_top_talk_16_701","","","0","1370004",""
"1","0","0","37","11","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","0","0","8","1370005","-0.5"
"3.2","","","37","93","","","","","1370006",""
"1","pkb_idle_normal","1","37","3","pkb_talk_handsup","0.2","0.2","0","1370007",""
"1370005","","","37","91","","","","","1370008",""
"1","","","37","3","pkb_idle_normal","0.2","","1","1370009",""
"3","pkb_idle_arm_crossed_l","1","37","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1370010",""
"vo_minigame_1006","0","","37","21","vo_minigame_1006_top_talk_16_602","","","0","1370011",""
"3","0","0","37","11","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","0","0","8","1370012","1"
"4.8","","","37","93","","","","","1370013",""
"3","pkb_idle_guts_l","1","37","3","pkb_talk_guts_l","0.2","","0","1370014",""
"1370012","","","37","91","","","","","1370015",""
"3","","","37","3","pkb_idle_normal_l","0.2","","1","1370016",""
"1","170","-150","38","1","106531","1.6","1","100","1380001","pkb_idle_normal"
"2","-20","-130","38","5","2","55","0","100","1380002","pkb_idle_normal"
"106531","pkb_idle_arm_crossed","1","38","3","pkb_talk_arm_crossed","0.2","0.2","0","1380003",""
"vo_minigame_1006","0","","38","21","vo_minigame_1006_top_talk_17_301","","","0","1380004",""
"106531","0","0","38","11","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","0","0","8","1380005","-0.5"
"3.6","","","38","93","","","","","1380006",""
"106531","pkb_idle_doya","1","38","3","pkb_talk_doya","0.2","","0","1380007",""
"2","","","38","93","","","","","1380008",""
"106531","pkb_idle_normal","1","38","3","pkb_talk_handsup","0.2","0.2","0","1380009",""
"1380005","","","38","91","","","","","1380010",""
"1","","","38","93","","","","","1380011",""
"106531","","","38","3","pkb_idle_normal","0.2","","1","1380012",""
"2","pkb_idle_shock","1","38","3","pkb_shock","0.2","","0","1380013",""
"vo_minigame_1006","0","","38","21","vo_minigame_1006_top_talk_17_802","","","0","1380014",""
"2","0","0","38","11","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","0","0","7","1380015","1"
"1380015","","","38","91","","","","","1380016",""
"2","","","38","3","pkb_idle_normal","0.2","","1","1380017",""
