8be0d1919b06450342529cea8cae87cf701c5f873ab43289ffa63ebf2564115f,79996926b7b0998c52543150d8e1b87b00348afb5cdf921b4807f2f25f4edb31,2a69acabf80790f1c4413a5ce02ee47271105ff07a8a04ebba48f970c5af75f2,20d4c6edcbfe147bdf643b0ade75cb6d1583ec933c72a2bec1d9b5c7f2b2ff87,aef3bd9c1594df6ff123e02302fd4bccaf2c0594cbc2131091259fa1ff336a22
"12","キャル（サマー）","1","48","107801"
"13","タマキ（サマー）","1","48","107901"
"14","シノブ（ハロウィン）","1","48","108101"
"15","ミサキ（ハロウィン）","1","48","108301"
"16","チカ（クリスマス）","1","48","108401"
"17","アヤネ（クリスマス）","1","48","108601"
"18","ヒヨリ（ニューイヤー）","1","48","108701"
"19","ユイ（ニューイヤー）","1","48","108801"
"20","シズル（バレンタイン）","1","48","109101"
"21","アン","1","48","109201"
"22","グレア","1","48","109401"
"23","クウカ（オーエド）","1","48","109501"
"24","ニノン（オーエド）","1","48","109601"
"25","スズナ（サマー）","1","48","110001"
"26","サレン（サマー）","1","48","110301"
"27","マコト（サマー）","1","48","110401"
"28","マホ（サマー）","1","48","110601"
"29","アオイ（編入生）","1","48","110701"
"30","クロエ","1","48","110801"
"31","チエル","1","48","110901"
"32","ユニ","1","48","111001"
"33","キョウカ（ハロウィン）","1","48","111101"
"34","ミミ（ハロウィン）","1","48","111301"
"35","ルナ","1","48","111401"
"36","クリスティーナ（クリスマス）","1","48","111501"
"37","イリヤ（クリスマス）","1","48","111701"
"38","ペコリーヌ（ニューイヤー）","1","48","111801"
"39","コッコロ（ニューイヤー）","1","48","111901"
"40","キャル（ニューイヤー）","1","48","112001"
"41","カスミ（マジカル）","1","48","112201"
"42","リン（レンジャー）","1","48","112701"
"43","マヒル（レンジャー）","1","48","112801"
"44","リノ（ワンダー）","1","48","112901"
"45","ルカ（サマー）","1","48","113101"
"46","ナナカ（サマー）","1","48","113301"
"47","ハツネ（サマー）","1","48","113401"
"48","ジュン（サマー）","1","48","113601"
"49","アカリ（エンジェル）","1","48","113701"
"50","ヨリ（エンジェル）","1","48","113801"
"51","ツムギ（ハロウィン）","1","48","113901"
"52","レイ（ハロウィン）","1","48","114001"
"53","モニカ（マジカル）","1","48","114201"
"54","トモ（マジカル）","1","48","114301"
"55","アキノ（クリスマス）","1","48","114401"
"56","サレン（クリスマス）","1","48","114501"
"57","ネネカ（ニューイヤー）","1","48","115001"
"58","コッコロ（儀装束）","1","48","115501"
"59","カスミ（サマー）","1","48","115701"
"60","マコト（シンデレラ）","1","48","115901"
"61","マホ（シンデレラ）","1","48","116001"
"62","クロエ（聖学祭）","1","48","116201"
"63","チエル（聖学祭）","1","48","116301"
"64","ユニ（聖学祭）","1","48","116401"
"65","イノリ（タイムトラベル）","1","48","116501"
"66","カヤ（タイムトラベル）","1","48","116601"
"67","アオイ（作業服）","1","48","116701"
"68","ミフユ（作業服）","1","48","116901"
"69","エリコ（サマー）","1","48","117001"
"70","シズル（サマー）","1","48","117101"
"71","ノゾミ（サマー）","1","48","117201"
"72","チカ（サマー）","1","48","117301"
"73","ミツキ（オーエド）","1","48","117501"
"74","ユキ（オーエド）","1","48","117601"
"75","カオリ（ハロウィン）","1","48","117701"
"76","スズナ（ハロウィン）","1","48","117901"
"77","クレジッタ","1","48","118001"
"78","イオ（ノワール）","1","48","119001"
"79","クウカ（ノワール）","1","48","119101"
"80","リノ（クリスマス）","1","48","119301"
"81","ミヤコ（クリスマス）","1","48","119901"
"82","シズル（ノワール）","1","48","120001"
"83","シェフィ（ニューイヤー）","1","48","120701"
"84","イリヤ（ニューイヤー）","1","48","120901"
"85","ペコリーヌ（オーバーロード）","1","48","121001"
"86","キャル（オーバーロード）","1","48","121101"
"87","クルミ（ステージ）","1","48","121301"
"88","ミサキ（ステージ）","1","48","121401"
"89","アユミ（怪盗）","1","48","121501"
"90","イノリ（怪盗）","1","48","121601"
"91","アンナ（パイレーツ）","1","48","121901"
"92","シノブ（パイレーツ）","1","48","122001"
"93","ユカリ（キャンプ）","1","48","122201"
"94","ヴァンピィ","1","48","122301"
"95","レイ（サマー）","1","48","122501"
"96","ユイ（サマー）","1","48","122601"
"97","キョウカ（サマー）","1","48","122701"
"98","ミミ（サマー）","1","48","122901"
"99","マホ（エクスプローラー）","1","48","123101"
"100","アヤネ（エクスプローラー）","1","48","123201"
"101","ネア","1","48","123301"
"102","トモ（ハロウィン）","1","48","123601"
"103","ナナカ（ハロウィン）","1","48","123701"
"104","クリスティーナ（ワイルド）","1","48","123801"
"105","マツリ（ワイルド）","1","48","123901"
"106","アカリ（クリスマス）","1","48","124001"
"107","ジュン（クリスマス）","1","48","124201"
"108","ホマレ（ニューイヤー）","1","48","124501"
"109","ミサト（ニューイヤー）","1","48","124601"
"110","ノゾミ（リベレイター）","1","48","124801"
"111","ムイミ（リベレイター）","1","48","125001"
"112","タマキ（カフェ）","1","48","125101"
"113","モニカ（カフェ）","1","48","125201"
"114","コッコロ（レンジャー）","1","48","125301"
"115","シオリ（レンジャー）","1","48","125401"
"116","ジータ（ウォーロック）","1","48","125501"
"117","ビカラ","1","48","125601"
"118","リリ（フォールン）","1","48","125801"
"119","クリア（フォールン）","1","48","126001"
"120","プレシア（フォールン）","1","48","126101"
"121","イリヤ（儀装束）","1","48","126201"
"122","ユキ（儀装束）","1","48","126301"
"123","ネネカ（サマー）","1","48","126601"
"124","ユカリ（サマー）","1","48","126801"
"125","ランファ（サマー）","1","48","126901"
"126","シノブ（サマー）","1","48","127101"
"127","キャル（編入生）","1","48","127201"
"128","スズナ（編入生）","1","48","127301"
"129","サレン（サラサリア）","1","48","127501"
"130","ルカ（サラサリア）","1","48","127601"
"131","リンド","1","48","127701"
"132","ヴルム","1","48","127801"
"133","ペコリーヌ（クリスマス）","1","48","127901"
"134","クレジッタ（クリスマス）","1","48","128001"
"135","ハツネ（ニューイヤー）","1","48","128401"
"136","カスミ（ニューイヤー）","1","48","128501"
"137","ヒヨリ（アストラル）","1","48","128701"
"138","ユイ（アストラル）","1","48","128901"
"139","ユニ（ウィンター）","1","48","129301"
"140","クロエ（ウィンター）","1","48","129401"
"141","チエル（ウィンター）","1","48","129501"
"142","マコト（コマンダー）","1","48","129801"
"143","エリコ（コマンダー）","1","48","129901"
"144","ヤマト","1","48","130001"
"145","ワカナ","1","48","130101"
"146","フブキ","1","48","130201"
"147","キョウカ（スプリング）","1","48","130701"
"148","スズメ（スプリング）","1","48","130801"
"149","クルル","1","48","130901"
"150","マホ（ドリームパーク）","1","48","131001"
"151","ネア（サマー）","1","48","131101"
"152","ミソラ（サマー）","1","48","131201"
"153","リリ（サマー）","1","48","131601"
"154","アメス（サマー）","1","48","131701"
"155","ホマレ（サマー）","1","48","131801"
"156","ノゾミ（アルケミスト）","1","48","132201"
"157","ライラエル（クリスマス）","1","48","132801"
"158","イオ（クリスマス）","1","48","132901"
"159","サレン（ニューイヤー）","1","48","133501"
"160","メドゥーサ","1","48","133601"
"161","ラビリスタ（アルファ）","1","48","133701"
"162","ネネカ（アルファ）","1","48","133801"
"163","クリスティーナ（アルファ）","1","48","133901"
"164","チカ（儀装束）","1","48","134401"
"1","エリコ（サマー）","1","49","117001"
"2","シズル（サマー）","1","49","117101"
"3","シノブ（サマー）","1","49","127101"
"4","ランファ（サマー）","1","49","126901"
"5","ミミ（サマー）","1","49","122901"
"6","レイ（サマー）","1","49","122501"
"7","ノゾミ（サマー）","1","49","117201"
"1","ランファ（儀装束）","1","50","134301"
"2","クレジッタ","1","50","118001"
"3","ネア","1","50","123301"
"4","キャル（編入生）","1","50","127201"
"5","ハツネ（サマー）","1","50","113401"
"6","ジュン（サマー）","1","50","113601"
"1","エミリア","1","51","109901"
"2","レム","1","51","109701"
"3","レム（サマー）","1","51","132101"
"4","エキドナ（サマー）","1","51","132001"
"1","ノゾミ（アルケミスト）","1","52","132201"
"2","リンド","1","52","127701"
"3","ヴルム","1","52","127801"
"4","ツムギ（ハロウィン）","1","52","113901"
"1","ホウオウ","1","53","134701"
"2","クローチェ（エアリアル）","1","53","134501"
"3","アオイ（パイロット）","1","53","134601"
"4","ワカナ","1","53","130101"
"5","ヤマト","1","53","130001"
"6","フブキ","1","53","130201"
"7","クリスティーナ（ワイルド）","1","53","123801"
"1","トモ（ハロウィン）","1","54","123601"
"2","カオリ（ハロウィン）","1","54","117701"
"3","ヨリ（エンジェル）","1","54","113801"
"4","アカリ（エンジェル）","1","54","113701"
"5","キョウカ（ハロウィン）","1","54","111101"
"6","ミサキ（ハロウィン）","1","54","108301"
"7","シノブ（ハロウィン）","1","54","108101"
"1","ルイズマリー","1","55","132301"
"2","チエル（ウィンター）","1","55","129501"
"3","イオ（クリスマス）","1","55","132901"
"4","ライラエル（クリスマス）","1","55","132801"
"1","ウヅキ（デレマス）","1","56","112401"
"2","リン（デレマス）","1","56","112501"
"1","ペコリーヌ（クリスマス）","1","57","127901"
"2","アカリ（クリスマス）","1","57","124001"
"3","ミヤコ（クリスマス）","1","57","119901"
"4","サレン（クリスマス）","1","57","114501"
"5","アキノ（クリスマス）","1","57","114401"
"6","クリスティーナ（クリスマス）","1","57","111501"
"7","アヤネ（クリスマス）","1","57","108601"
"8","チカ（クリスマス）","1","57","108401"
"1","カノン","1","58","134901"
"2","ツムギ（ジオ・ゲヘナ）","1","58","134801"
"3","メドゥーサ","1","58","133601"
"4","サレン（ニューイヤー）","1","58","133501"
