9e09a2310f6e8f15b362a09a0bd629c92982320b5766c6731262ac2f1a05e901,d365873a955004914a88fea37fb19c9bed6266ff57b67b419d96bb8c6ca32471,051bf78a037308a3976929fbe2b8a9fb654a221add60ae885ba68fb02eb65a2f,4f17978b32efe3d9309595db4e21dc313f2b06ee15a87cd7864e051ca152f485,df0dc144010186d85a3a6086c0eb81fdc8008f63ef229894d9b5b955b12a945b,d530f24510c0a705414018e8d8592a8ad946f896821d675edb49b104f17220bd,54ba5a29dd9d0f3548c5ba0c64346a26794bdc8eb53194cc9be58b7d69b42035,075cc5fbb92f289373b9d253da02f20749b92f45d36bcaa006af71db394055e6,4bb62b9e37b3c38dde1bbb242df81e7614627ae34d9f7d9e32ab68bcfccb2f95,8aeb3dda0400bafd7755e53b7f9ac790e202fe1730ae0911bfcee5eff4172d2e,43cfed16d2aedb92d23cb16c6793a772701889ce73fc0429313decad2518fee7
"702","0","0","","702","","0","31","16114","16114016","1"
"800","0","0","","800","","0","31","16114","16114017","1"
"917","60","30","","917","","1","31","16114","16114018","1"
"","","","","1","","","93","16114","16114019",""
"wac_birthday_reaction_05","wac_birthday_reaction_03","0","","104911","0.2","0.2","3","16114","16114020","1"
"","","","","0.1","","","93","16114","16114021",""
"wac_birthday_reaction_03","wac_birthday_reaction_05","0","","101111","0.2","0.2","3","16114","16114022","1"
"","","","","0.3","","","93","16114","16114023",""
"wac_birthday_run_01","","1","","106811","","0.2","3","16114","16114024",""
"0","3","-70","","106811","","","2","16114","16114025",""
"","","","","2.5","","","93","16114","16114026",""
"1","","","","602","","","32","16114","16114027",""
"","","","","0.6","","","93","16114","16114028",""
"1","","","","501","","","32","16114","16114029",""
"0","","","","600","","","32","16114","16114030",""
"0","","","","613","","","32","16114","16114031",""
"0","","","","604","","","32","16114","16114032",""
"1","","","","701","","","32","16114","16114033",""
"0","0.01","0","","917","","","33","16114","16114034",""
"wac_birthday_blowout_01","wac_birthday_wish_01","0","","106811","0.2","0.2","3","16114","16114035","1"
"-200","0.01","-330","","106811","","","2","16114","16114036",""
"wac_birthday_idle_smile","","1","","101111","","0.2","3","16114","16114037",""
"180","0.01","-320","","101111","","","2","16114","16114038",""
"wac_birthday_idle_normal","","1","","104911","","0.2","3","16114","16114039",""
"320","0.01","-340","","104911","","","2","16114","16114040",""
"","","","","0","","","93","16114","16114041",""
"1","","","","800","","","32","16114","16114042",""
"","","","","0.7","","","93","16114","16114043",""
"1","","","","702","","","32","16114","16114044",""
"","","","","0.5","","","93","16114","16114045",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","16114","16114046",""
"0","","","","701","","","32","16114","16114047",""
"","","","","0.4","","","93","16114","16114048",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","16114","16114049",""
"1","","","","700","","","32","16114","16114050",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","16114","16114051",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","101111","0.2","0.2","3","16114","16114052","1"
"","","","","0.1","","","93","16114","16114053",""
"wac_birthday_clap","wac_birthday_idle_normal","0","","104911","0.2","0.2","3","16114","16114054","1"
"","","","","2","","","93","16114","16114055",""
"","","","","1","","","131","16114","16114056",""
"vo_wac_16114_000","0","0","","vo_wac_16114","","","21","16114","16114057",""
"これはこれは……驚いたね。\n立派なケーキじゃないか。\nわざわざ用意してくれたんだ？\n嬉しいことしてくれるねえ。","1","10","0.5","106811","0","0","11","16114","16114058","1"
"","","","","0","","","91","16114","16114059",""
"wac_birthday_idle_normal","","1","","106811","","0.2","3","16114","16114060",""
"wac_birthday_talk_smile","","1","","101111","","0.2","3","16114","16114061",""
"vo_wac_16114_001","0","0","","vo_wac_16114","","","21","16114","16114062",""
"マスターにはいつもお世話に\nなってますもんね♪\nお兄ちゃんと私たちみんなで\n作っちゃいました！","1","10","0.5","101111","0","0","11","16114","16114063","1"
"","","","","0","","","91","16114","16114064",""
"wac_birthday_idle_smile","","1","","101111","","0.2","3","16114","16114065",""
"wac_birthday_talk_wish","","1","","104911","","0.2","3","16114","16114066",""
"vo_wac_16114_002","0","0","","vo_wac_16114","","","21","16114","16114067",""
"クレープ屋さんで培った技術を\nふんだんにつぎ込んだ\nお姉ちゃんと弟くんとの愛の傑作だよ！\nさぁ、マスター。食べて食べて。","1","10","0.5","104911","0","0","11","16114","16114068","1"
"","","","","0","","","91","16114","16114069",""
"wac_birthday_idle_wish","","1","","104911","","0.2","3","16114","16114070",""
"wac_birthday_talk_doya","","1","","101111","","0.2","3","16114","16114071",""
"vo_wac_16114_003","0","0","","vo_wac_16114","","","21","16114","16114072",""
"妹も！　妹もいましたからね！\nお姉ちゃん！","1","10","0.5","101111","0","0","11","16114","16114073","1"
"","","","","0","","","91","16114","16114074",""
"wac_birthday_idle_doya","","1","","101111","","0.2","3","16114","16114075",""
"wac_birthday_talk_smile","","1","","106811","","0.2","3","16114","16114076",""
"vo_wac_16114_004","0","0","","vo_wac_16114","","","21","16114","16114077",""
"はは、これはアタシだけじゃあ\n食べきれないなあ。\nもちろん、手伝ってくれるん\nだよね、少年？","1","10","0.5","106811","0","0","11","16114","16114078","1"
"","","","","0","","","91","16114","16114079",""
"","","","","0","","","22","16114","16114080",""
"bgm_M321_2C","","","","bgm_M321","","","25","16414","16414001",""
"105311","-1000","250","wac_birthday_idle_normal","1","0","2","1","16414","16414002","-70"
"103011","170","256","wac_birthday_idle_doya","1","1","2","1","16414","16414003","-260"
"100811","270","259","wac_birthday_idle_smile","1","1","2","1","16414","16414004","-310"
"104511","400","257","wac_birthday_idle_normal","1","1","2","1","16414","16414005","-270"
"105511","500","258","wac_birthday_idle_wish","1","1","2","1","16414","16414006","-310"
"300","","","","105311","","","13","16414","16414007",""
"300","","","","103011","","","13","16414","16414008",""
"501","0","0","","501","","0","31","16414","16414009","1"
"600","0","0","","600","","1","31","16414","16414010","1"
"602","0","0","","602","","0","31","16414","16414011","1"
"603","0","0","","603","","0","31","16414","16414012","1"
"604","60","30","","604","","1","31","16414","16414013","1"
"613","0","0","","613","","1","31","16414","16414014","1"
"700","0","0","","700","","0","31","16414","16414015","1"
"701","0","0","","701","","0","31","16414","16414016","1"
"702","0","0","","702","","0","31","16414","16414017","1"
"800","0","0","","800","","0","31","16414","16414018","1"
"918","60","30","","918","","1","31","16414","16414019","1"
"","","","","1","","","93","16414","16414020",""
"wac_birthday_reaction_03","wac_birthday_reaction_05","0","","100811","0.2","0.2","3","16414","16414021","1"
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","103011","0.2","0.2","3","16414","16414022","1"
"","","","","0.1","","","93","16414","16414023",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","104511","0.2","0.2","3","16414","16414024","1"
"wac_birthday_reaction_05","wac_birthday_reaction_03","0","","105511","0.2","0.2","3","16414","16414025","1"
"","","","","0.3","","","93","16414","16414026",""
"wac_birthday_run_01","","1","","105311","","0.2","3","16414","16414027",""
"0","3","-70","","105311","","","2","16414","16414028",""
"","","","","2.5","","","93","16414","16414029",""
"1","","","","602","","","32","16414","16414030",""
"","","","","0.6","","","93","16414","16414031",""
"1","","","","501","","","32","16414","16414032",""
"0","","","","600","","","32","16414","16414033",""
"0","","","","613","","","32","16414","16414034",""
"0","","","","604","","","32","16414","16414035",""
"1","","","","701","","","32","16414","16414036",""
"0","0.01","0","","918","","","33","16414","16414037",""
"wac_birthday_blowout_03","wac_birthday_wish_01","0","","105311","0.2","0.2","3","16414","16414038","1"
"-200","0.01","-330","","105311","","","2","16414","16414039",""
"wac_birthday_idle_doya","","1","","103011","","0.2","3","16414","16414040",""
"150","0.01","-320","","103011","","","2","16414","16414041",""
"wac_birthday_idle_smile","","1","","100811","","0.2","3","16414","16414042",""
"260","0.01","-360","","100811","","","2","16414","16414043",""
"wac_birthday_idle_normal","","1","","104511","","0.2","3","16414","16414044",""
"390","0.01","-320","","104511","","","2","16414","16414045",""
"wac_birthday_idle_wish","","1","","105511","","0.2","3","16414","16414046",""
"490","0.01","-340","","105511","","","2","16414","16414047",""
"","","","","0","","","93","16414","16414048",""
"1","","","","800","","","32","16414","16414049",""
"","","","","0.7","","","93","16414","16414050",""
"1","","","","702","","","32","16414","16414051",""
"","","","","0.5","","","93","16414","16414052",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","16414","16414053",""
"0","","","","701","","","32","16414","16414054",""
"","","","","0.4","","","93","16414","16414055",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","16414","16414056",""
"1","","","","700","","","32","16414","16414057",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","16414","16414058",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","103011","0.2","0.2","3","16414","16414059","1"
"wac_birthday_clap","wac_birthday_idle_normal","0","","104511","0.2","0.2","3","16414","16414060","1"
"","","","","0.1","","","93","16414","16414061",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","100811","0.2","0.2","3","16414","16414062","1"
"","","","","0.1","","","93","16414","16414063",""
"wac_birthday_clap_to_wish","wac_birthday_idle_wish","0","","105511","0.2","0.2","3","16414","16414064","1"
"","","","","2","","","93","16414","16414065",""
"","","","","1","","","131","16414","16414066",""
"vo_wac_16414_000","0","0","","vo_wac_16414","","","21","16414","16414067",""
"私の誕生日祝い、だと……？\nな、なんと巨大なケーキだ！\nそれにとんでもなく香しい匂いが……！\nこれを私のために……？","1","10","0.5","105311","0","0","11","16414","16414068","1"
"","","","","0","","","91","16414","16414069",""
"wac_birthday_idle_smile","","1","","105311","","0.2","3","16414","16414070",""
"wac_birthday_talk_kyapi","","1","","103011","","0.2","3","16414","16414071",""
"vo_wac_16414_001","0","0","","vo_wac_16414","","","21","16414","16414072",""
"イエース！　スウィートなものを\nコレデモカとテンコ盛りにした、\nスペシャルスウィートケーキデス！\nお召し上がりクダサーイ！","1","10","0.5","103011","0","0","11","16414","16414073","1"
"","","","","0","","","91","16414","16414074",""
"wac_birthday_idle_kyapi","","1","","103011","","0.2","3","16414","16414075",""
"wac_birthday_talk_sad","","1","","105311","","0.2","3","16414","16414076",""
"vo_wac_16414_002","0","0","","vo_wac_16414","","","21","16414","16414077",""
"いったいどれだけ砂糖を使ったんだ！？\n尋常じゃなく甘い匂いがする……\nくぅっ、甘味は控え目にと歯医者さんに\n言われたばかりなのに……！","1","10","0.5","105311","0","0","11","16414","16414078","1"
"","","","","0","","","91","16414","16414079",""
"wac_birthday_talk_doya","","1","","105311","","0.2","3","16414","16414080",""
"vo_wac_16414_003","0","0","","vo_wac_16414","","","21","16414","16414081",""
"し、しかし……部下の気持ちを\n無下にしてはいけないな！\nうむ、それなら完食もやむなしだ！\n早速いただくとしよう！","1","10","0.5","105311","0","0","11","16414","16414082","1"
"","","","","0","","","91","16414","16414083",""
"","","","","0","","","22","16414","16414084",""
"bgm_M321_2C","","","","bgm_M321","","","25","16614","16614001",""
"102711","-1000","250","wac_birthday_idle_normal","1","0","2","1","16614","16614002","-70"
"105611","170","256","wac_birthday_idle_smile","1","1","2","1","16614","16614003","-260"
"100911","270","259","wac_birthday_idle_doya","1","1","2","1","16614","16614004","-310"
"105111","380","257","wac_birthday_idle_normal","1","1","2","1","16614","16614005","-270"
"101311","510","258","wac_birthday_idle_kyapi","1","1","2","1","16614","16614006","-310"
"300","","","","102711","","","13","16614","16614007",""
"300","","","","105611","","","13","16614","16614008",""
"501","0","0","","501","","0","31","16614","16614009","1"
"600","0","0","","600","","1","31","16614","16614010","1"
"602","0","0","","602","","0","31","16614","16614011","1"
"603","0","0","","603","","0","31","16614","16614012","1"
"604","60","30","","604","","1","31","16614","16614013","1"
"613","0","0","","613","","1","31","16614","16614014","1"
"700","0","0","","700","","0","31","16614","16614015","1"
"701","0","0","","701","","0","31","16614","16614016","1"
"702","0","0","","702","","0","31","16614","16614017","1"
"800","0","0","","800","","0","31","16614","16614018","1"
"919","60","30","","919","","1","31","16614","16614019","1"
"","","","","1","","","93","16614","16614020",""
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","100911","0.2","0.2","3","16614","16614021","1"
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","105611","0.2","0.2","3","16614","16614022","1"
"","","","","0.1","","","93","16614","16614023",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","105111","0.2","0.2","3","16614","16614024","1"
"wac_birthday_reaction_03","wac_birthday_reaction_05","0","","101311","0.2","0.2","3","16614","16614025","1"
"","","","","0.3","","","93","16614","16614026",""
"wac_birthday_run_01","","1","","102711","","0.2","3","16614","16614027",""
"0","3","-70","","102711","","","2","16614","16614028",""
"","","","","2.5","","","93","16614","16614029",""
"1","","","","602","","","32","16614","16614030",""
"","","","","0.6","","","93","16614","16614031",""
"1","","","","501","","","32","16614","16614032",""
"0","","","","600","","","32","16614","16614033",""
"0","","","","613","","","32","16614","16614034",""
"0","","","","604","","","32","16614","16614035",""
"1","","","","701","","","32","16614","16614036",""
"0","0.01","0","","919","","","33","16614","16614037",""
"wac_birthday_eriko_blowout_03","wac_birthday_eriko_wish_04","0","","102711","0.2","0.2","3","16614","16614038","1"
"-200","0.01","-330","","102711","","","2","16614","16614039",""
"wac_birthday_idle_smile","","1","","105611","","0.2","3","16614","16614040",""
"150","0.01","-320","","105611","","","2","16614","16614041",""
"wac_birthday_idle_doya","","1","","100911","","0.2","3","16614","16614042",""
"250","0.01","-360","","100911","","","2","16614","16614043",""
"wac_birthday_idle_normal","","1","","105111","","0.2","3","16614","16614044",""
"370","0.01","-320","","105111","","","2","16614","16614045",""
"wac_birthday_idle_kyapi","","1","","101311","","0.2","3","16614","16614046",""
"490","0.01","-340","","101311","","","2","16614","16614047",""
"","","","","0","","","93","16614","16614048",""
"1","","","","800","","","32","16614","16614049",""
"","","","","0.7","","","93","16614","16614050",""
"1","","","","702","","","32","16614","16614051",""
"","","","","0.5","","","93","16614","16614052",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","16614","16614053",""
"0","","","","701","","","32","16614","16614054",""
"","","","","0.4","","","93","16614","16614055",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","16614","16614056",""
"1","","","","700","","","32","16614","16614057",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","16614","16614058",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","105611","0.2","0.2","3","16614","16614059","1"
"wac_birthday_clap","wac_birthday_idle_normal","0","","105111","0.2","0.2","3","16614","16614060","1"
"","","","","0.1","","","93","16614","16614061",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","100911","0.2","0.2","3","16614","16614062","1"
"","","","","0.1","","","93","16614","16614063",""
"wac_birthday_clap","wac_birthday_idle_kyapi","0","","101311","0.2","0.2","3","16614","16614064","1"
"","","","","2","","","93","16614","16614065",""
"","","","","1","","","131","16614","16614066",""
"vo_wac_16614_000","0","0","","vo_wac_16614","","","21","16614","16614067",""
"誕生、日……？\n私のですか？\nなぜそんなことを\n覚えているのですか？","1","10","0.5","102711","0","0","11","16614","16614068","1"
"","","","","0","","","91","16614","16614069",""
"wac_birthday_eriko_idle_wish","","1","","102711","","0.2","3","16614","16614070",""
"wac_birthday_talk_doya","","1","","105611","","0.2","3","16614","16614071",""
"vo_wac_16614_001","0","0","","vo_wac_16614","","","21","16614","16614072",""
"なぜって、同じギルドの\nメンバーじゃないか。\nいつも身を挺して戦ってくれてる\nアンタに、心ばかりのお礼だよ。","1","10","0.5","105611","0","0","11","16614","16614073","1"
"","","","","0","","","91","16614","16614074",""
"wac_birthday_idle_doya","","1","","105611","","0.2","3","16614","16614075",""
"wac_birthday_talk_normal","","1","","102711","","0.2","3","16614","16614076",""
"vo_wac_16614_002","0","0","","vo_wac_16614","","","21","16614","16614077",""
"………………そう、ですか。\nそれならありがたく\nいただくことにしましょう。","1","10","0.5","102711","0","0","11","16614","16614078","1"
"","","","","0","","","91","16614","16614079",""
"wac_birthday_talk_wish","","1","","102711","","0.2","3","16614","16614080",""
"vo_wac_16614_003","0","0","","vo_wac_16614","","","21","16614","16614081",""
"はむっ。\n……ふふ、甘い、ですね。\nまるであのおかたの優しさのよう。\n……ありがとうござい、ます。","1","10","0.5","102711","0","0","11","16614","16614082","1"
"","","","","0","","","91","16614","16614083",""
"","","","","0","","","22","16614","16614084",""
"bgm_M321_2C","","","","bgm_M321","","","25","17414","17414001",""
"110811","-1000","250","wac_birthday_idle_normal","1","0","2","1","17414","17414002","-70"
"110911","230","256","wac_birthday_idle_kyapi","1","1","2","1","17414","17414003","-270"
"111011","410","257","wac_birthday_idle_doya","1","1","2","1","17414","17414004","-310"
"300","","","","110811","","","13","17414","17414005",""
"300","","","","110911","","","13","17414","17414006",""
"501","0","0","","501","","0","31","17414","17414007","1"
"600","0","0","","600","","1","31","17414","17414008","1"
"602","0","0","","602","","0","31","17414","17414009","1"
"603","0","0","","603","","0","31","17414","17414010","1"
"604","60","30","","604","","1","31","17414","17414011","1"
"613","0","0","","613","","1","31","17414","17414012","1"
"700","0","0","","700","","0","31","17414","17414013","1"
"701","0","0","","701","","0","31","17414","17414014","1"
"702","0","0","","702","","0","31","17414","17414015","1"
"800","0","0","","800","","0","31","17414","17414016","1"
"920","60","30","","920","","1","31","17414","17414017","1"
"","","","","1","","","93","17414","17414018",""
"wac_birthday_reaction_05","wac_birthday_reaction_03","0","","111011","0.2","0.2","3","17414","17414019","1"
"","","","","0.1","","","93","17414","17414020",""
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","110911","0.2","0.2","3","17414","17414021","1"
"","","","","0.3","","","93","17414","17414022",""
"wac_birthday_run_01","","1","","110811","","0.2","3","17414","17414023",""
"0","3","-70","","110811","","","2","17414","17414024",""
"","","","","2.5","","","93","17414","17414025",""
"1","","","","602","","","32","17414","17414026",""
"","","","","0.6","","","93","17414","17414027",""
"1","","","","501","","","32","17414","17414028",""
"0","","","","600","","","32","17414","17414029",""
"0","","","","613","","","32","17414","17414030",""
"0","","","","604","","","32","17414","17414031",""
"1","","","","701","","","32","17414","17414032",""
"0","0.01","0","","920","","","33","17414","17414033",""
"wac_birthday_blowout_01","wac_birthday_wish_01","0","","110811","0.2","0.2","3","17414","17414034","1"
"-200","0.01","-330","","110811","","","2","17414","17414035",""
"wac_birthday_idle_kyapi","","1","","110911","","0.2","3","17414","17414036",""
"180","0.01","-320","","110911","","","2","17414","17414037",""
"wac_birthday_idle_doya","","1","","111011","","0.2","3","17414","17414038",""
"320","0.01","-340","","111011","","","2","17414","17414039",""
"","","","","0","","","93","17414","17414040",""
"1","","","","800","","","32","17414","17414041",""
"","","","","0.7","","","93","17414","17414042",""
"1","","","","702","","","32","17414","17414043",""
"","","","","0.5","","","93","17414","17414044",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","17414","17414045",""
"0","","","","701","","","32","17414","17414046",""
"","","","","0.4","","","93","17414","17414047",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","17414","17414048",""
"1","","","","700","","","32","17414","17414049",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","17414","17414050",""
"wac_birthday_clap","wac_birthday_idle_kyapi","0","","110911","0.2","0.2","3","17414","17414051","1"
"","","","","0.1","","","93","17414","17414052",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","111011","0.2","0.2","3","17414","17414053","1"
"","","","","2","","","93","17414","17414054",""
"","","","","1","","","131","17414","17414055",""
"vo_wac_17414_000","0","0","","vo_wac_17414","","","21","17414","17414056",""
"うわ何コレ、ビビんだけど。\nまぁまぁデカめの生モノ\n野ざらしで放置されてンじゃん。\n城壁だぞ。新手のバイオテロか？","1","10","0.5","110811","0","0","11","17414","17414057","1"
"","","","","0","","","91","17414","17414058",""
"wac_birthday_idle_smile","","1","","110811","","0.2","3","17414","17414059",""
"wac_birthday_talk_sad","","1","","110911","","0.2","3","17414","17414060",""
"vo_wac_17414_001","0","0","","vo_wac_17414","","","21","17414","17414061",""
"照れ隠しなのか新手のモノボケなのか\n知らないですけどクロエ先輩……\nあきらかバースデーケーキ前にして\nそのすっとぼけは無理ないです？","1","10","0.5","110911","0","0","11","17414","17414062","1"
"","","","","0","","","91","17414","17414063",""
"wac_birthday_idle_sad","","1","","110911","","0.2","3","17414","17414064",""
"wac_birthday_chloe_talk_sad","","1","","110811","","0.2","3","17414","17414065",""
"vo_wac_17414_002","0","0","","vo_wac_17414","","","21","17414","17414066",""
"あ？　じゃあさ、そんなン言うなら\nこっちも言わせてもらうけどさ。\nあんたらサプライズするならするで\nもっと上手いことやってくんない。","1","10","0.5","110811","0","0","11","17414","17414067","1"
"","","","","0","","","91","17414","17414068",""
"wac_birthday_talk_smile","","1","","110811","","0.2","3","17414","17414069",""
"vo_wac_17414_003","0","0","","vo_wac_17414","","","21","17414","17414070",""
"朝からユニ先輩クリームまみれなのよ。\n気付くわそりゃ。喜びどころムズいわ。\nとっくにニヤ散らかした後だわ。\nいんだけどさべつに。ありがとね。","1","10","0.5","110811","0","0","11","17414","17414071","1"
"","","","","0","","","91","17414","17414072",""
"","","","","0","","","22","17414","17414073",""
"bgm_M321_2C","","","","bgm_M321","","","25","17614","17614001",""
"104311","-1000","250","wac_birthday_idle_normal","1","0","2","1","17614","17614002","-70"
"101011","200","256","wac_birthday_idle_wish","1","1","2","1","17614","17614003","-270"
"101411","320","258","wac_birthday_idle_smile","1","1","2","1","17614","17614004","-310"
"101711","450","257","wac_birthday_idle_kyapi","1","1","2","1","17614","17614005","-290"
"300","","","","104311","","","13","17614","17614006",""
"300","","","","101011","","","13","17614","17614007",""
"300","","","","101411","","","13","17614","17614008",""
"300","","","","101711","","","13","17614","17614009",""
"501","0","0","","501","","0","31","17614","17614010","1"
"600","0","0","","600","","1","31","17614","17614011","1"
"602","0","0","","602","","0","31","17614","17614012","1"
"603","0","0","","603","","0","31","17614","17614013","1"
"604","60","30","","604","","1","31","17614","17614014","1"
"613","0","0","","613","","1","31","17614","17614015","1"
"700","0","0","","700","","0","31","17614","17614016","1"
"701","0","0","","701","","0","31","17614","17614017","1"
"702","0","0","","702","","0","31","17614","17614018","1"
"800","0","0","","800","","0","31","17614","17614019","1"
"921","60","30","","921","","1","31","17614","17614020","1"
"","","","","1","","","93","17614","17614021",""
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","101411","0.2","0.2","3","17614","17614022","1"
"","","","","0.1","","","93","17614","17614023",""
"wac_birthday_reaction_03","wac_birthday_reaction_04","0","","101011","0.2","0.2","3","17614","17614024","1"
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","101711","0.2","0.2","3","17614","17614025","1"
"","","","","0.3","","","93","17614","17614026",""
"wac_birthday_makoto_run_01","","1","","104311","","0.2","3","17614","17614027",""
"0","3","-70","","104311","","","2","17614","17614028",""
"","","","","2.5","","","93","17614","17614029",""
"1","","","","602","","","32","17614","17614030",""
"","","","","0.6","","","93","17614","17614031",""
"1","","","","501","","","32","17614","17614032",""
"0","","","","600","","","32","17614","17614033",""
"0","","","","613","","","32","17614","17614034",""
"0","","","","604","","","32","17614","17614035",""
"1","","","","701","","","32","17614","17614036",""
"0","0.01","0","","921","","","33","17614","17614037",""
"wac_birthday_makoto_blowout_02","wac_birthday_makoto_wish_01","0","","104311","0.2","0.2","3","17614","17614038","1"
"-200","0.01","-330","","104311","","","2","17614","17614039",""
"wac_birthday_idle_wish","","1","","101011","","0.2","3","17614","17614040",""
"180","0.01","-320","","101011","","","2","17614","17614041",""
"wac_birthday_idle_smile","","1","","101411","","0.2","3","17614","17614042",""
"290","0.01","-360","","101411","","","2","17614","17614043",""
"wac_birthday_idle_kyapi","","1","","101711","","0.2","3","17614","17614044",""
"420","0.01","-340","","101711","","","2","17614","17614045",""
"","","","","0","","","93","17614","17614046",""
"1","","","","800","","","32","17614","17614047",""
"","","","","0.7","","","93","17614","17614048",""
"1","","","","702","","","32","17614","17614049",""
"","","","","0.5","","","93","17614","17614050",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","17614","17614051",""
"0","","","","701","","","32","17614","17614052",""
"","","","","0.4","","","93","17614","17614053",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","17614","17614054",""
"1","","","","700","","","32","17614","17614055",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","17614","17614056",""
"wac_birthday_clap_to_wish","wac_birthday_idle_wish","0","","101011","0.2","0.2","3","17614","17614057","1"
"","","","","0.1","","","93","17614","17614058",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","101411","0.2","0.2","3","17614","17614059","1"
"","","","","0.1","","","93","17614","17614060",""
"wac_birthday_clap","wac_birthday_idle_kyapi","0","","101711","0.2","0.2","3","17614","17614061","1"
"","","","","2","","","93","17614","17614062",""
"","","","","1","","","131","17614","17614063",""
"vo_wac_17614_000","0","0","","vo_wac_17614","","","21","17614","17614064",""
"なんじゃこりゃ、ケーキか？\n誰かの忘れ物……なわけないよな。\nなんでこんなもんが？","1","10","0.5","104311","0","0","11","17614","17614065","1"
"","","","","0","","","91","17614","17614066",""
"wac_birthday_idle_normal","","1","","104311","","0.2","3","17614","17614067",""
"wac_birthday_talk_wish","","1","","101011","","0.2","3","17614","17614068",""
"vo_wac_17614_001","0","0","","vo_wac_17614","","","21","17614","17614069",""
"なんでって、今日はマコトはんの\nお誕生日やんか～？\nうちらと王子はんで、特製ケーキ、\n用意したんどすえ～♪","1","10","0.5","101011","0","0","11","17614","17614070","1"
"","","","","0","","","91","17614","17614071",""
"wac_birthday_idle_wish","","1","","101011","","0.2","3","17614","17614072",""
"wac_birthday_talk_smile","","1","","101411","","0.2","3","17614","17614073",""
"vo_wac_17614_002","0","0","","vo_wac_17614","","","21","17614","17614074",""
"ギルドの仕事にいつも一番熱心な、\n君への労いも兼ねているよ。\n改めてお誕生日、おめでとう♪","1","10","0.5","101411","0","0","11","17614","17614075","1"
"","","","","0","","","91","17614","17614076",""
"wac_birthday_idle_smile","","1","","101411","","0.2","3","17614","17614077",""
"wac_birthday_talk_smile","","1","","101711","","0.2","3","17614","17614078",""
"vo_wac_17614_003","0","0","","vo_wac_17614","","","21","17614","17614079",""
"本当に、いつもお疲れさまさ～♪\nおいしーケーキをたっくさん食べて、\nこれからも私たちの分まで、\nお仕事頑張ってね～？","1","10","0.5","101711","0","0","11","17614","17614080","1"
"","","","","0","","","91","17614","17614081",""
"wac_birthday_idle_smile","","1","","101711","","0.2","3","17614","17614082",""
"wac_birthday_makoto_talk_smile","","1","","104311","","0.2","3","17614","17614083",""
"vo_wac_17614_004","0","0","","vo_wac_17614","","","21","17614","17614084",""
"うれしいじゃねぇか、ありがとな！\n……って、ちょっと待て。\nギルドの仕事はみんなにも\n頑張ってもらわないと困るって！？　","1","10","0.5","104311","0","0","11","17614","17614085","1"
"","","","","0","","","91","17614","17614086",""
"wac_birthday_talk_doya","","1","","104311","","0.2","3","17614","17614087",""
"vo_wac_17614_005","0","0","","vo_wac_17614","","","21","17614","17614088",""
"まぁ、でも、今日はケーキに\n免じて勘弁してやるか。\nおまえも、わざわざありがとな。\nこれからも、一緒に頑張ろうぜ♪","1","10","0.5","104311","0","0","11","17614","17614089","1"
"","","","","0","","","91","17614","17614090",""
"","","","","0","","","22","17614","17614091",""
"bgm_M321_2C","","","","bgm_M321","","","25","17714","17714001",""
"100411","-1000","250","wac_birthday_idle_normal","1","0","2","1","17714","17714002","-70"
"103611","230","256","wac_birthday_idle_doya","1","1","2","1","17714","17714003","-270"
"102011","410","257","wac_birthday_idle_smile","1","1","2","1","17714","17714004","-310"
"300","","","","100411","","","13","17714","17714005",""
"300","","","","103611","","","13","17714","17714006",""
"501","0","0","","501","","0","31","17714","17714007","1"
"600","0","0","","600","","1","31","17714","17714008","1"
"602","0","0","","602","","0","31","17714","17714009","1"
"603","0","0","","603","","0","31","17714","17714010","1"
