65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af
"3","0","pkb_talk_yell","","","0.2","2","1330013","","33",""
"93","","","","","","3","1330014","","33",""
"3","0","pkb_shock","pkb_idle_shock","1","0.2","2","1330015","","33",""
"91","","","","","","1330011","1330016","","33",""
"3","1","pkb_idle_normal","","","0.2","2","1330017","","33",""
"1","100","106531","170","-150","1.6","1","1340001","1","34","pkb_idle_normal"
"1","100","113411","-20","-150","1.6","1","1340002","0","34","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","106531","1340003","0.2","34",""
"21","0","vo_minigame_1006_top_talk_13_301","0","","","vo_minigame_1006","1340004","","34",""
"11","8","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","0","0","0","106531","1340005","0","34","-1"
"93","","","","","","3.4","1340006","","34",""
"3","1","pkb_talk_normal","","","0.2","106531","1340007","","34",""
"91","","","","","","1340005","1340008","","34",""
"3","1","pkb_idle_normal","","","0.2","106531","1340009","","34",""
"3","1","pkb_talk_normal","","","0.2","113411","1340010","","34",""
"21","0","vo_minigame_1006_top_talk_13_202","0","","","vo_minigame_1006","1340011","","34",""
"11","8","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","0","0","0","113411","1340012","0","34","1"
"93","","","","","","1.2","1340013","","34",""
"3","0","pkb_surprise","pkb_talk_surprise1","1","0.2","113411","1340014","0.2","34",""
"93","","","","","","1","1340015","","34",""
"3","1","pkb_talk_joy3","","","0.2","113411","1340016","","34",""
"91","","","","","","1340012","1340017","","34",""
"3","1","pkb_idle_normal","","","0.2","113411","1340018","","34",""
"1","100","113511","-20","-150","1.6","1","1350001","0","35","pkb_idle_normal"
"1","100","102311","170","-150","1.6","1","1350002","1","35","pkb_idle_normal"
"3","1","pkb_talk_joy3","","","0.2","113511","1350003","","35",""
"21","0","vo_minigame_1006_top_talk_14_101","0","","","vo_minigame_1006","1350004","","35",""
"11","6","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0","0","0","113511","1350005","0","35","0.5"
"93","","","","","","5.2","1350006","","35",""
"3","1","pkb_talk_wish","","","0.2","113511","1350007","","35",""
"91","","","","","","1350005","1350008","","35",""
"3","1","pkb_idle_normal","","","0.2","113511","1350009","","35",""
"3","1","pkb_talk_joy1","","","0.2","102311","1350010","","35",""
"21","0","vo_minigame_1006_top_talk_14_402","0","","","vo_minigame_1006","1350011","","35",""
"11","8","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","0","0","0","102311","1350012","0","35","-1"
"93","","","","","","3.2","1350013","","35",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","102311","1350014","","35",""
"91","","","","","","1350012","1350015","","35",""
"3","1","pkb_idle_normal","","","0.2","102311","1350016","","35",""
"5","100","3","170","-130","55","3","1360001","1","36","pkb_idle_normal_l"
"5","100","1","-20","-130","55","1","1360002","0","36","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","3","1360003","0.2","36",""
"21","0","vo_minigame_1006_top_talk_15_601","0","","","vo_minigame_1006","1360004","","36",""
"11","8","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","0","0","0","3","1360005","0","36","-0.5"
"91","","","","","","1360005","1360006","","36",""
"3","1","pkb_idle_normal_l","","","0.2","3","1360007","","36",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","1","1360008","","36",""
"21","0","vo_minigame_1006_top_talk_15_702","0","","","vo_minigame_1006","1360009","","36",""
"11","8","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","0","0","1","1360010","0","36","0"
"91","","","","","","1360010","1360011","","36",""
"3","1","pkb_idle_normal","","","0.2","1","1360012","","36",""
"5","100","1","-20","-130","55","1","1370001","0","37","pkb_idle_normal"
"5","100","3","170","-130","55","3","1370002","1","37","pkb_idle_normal_l"
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","1","1370003","","37",""
"21","0","vo_minigame_1006_top_talk_16_701","0","","","vo_minigame_1006","1370004","","37",""
"11","8","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","0","0","0","1","1370005","0","37","-0.5"
"93","","","","","","3.2","1370006","","37",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","1","1370007","0.2","37",""
"91","","","","","","1370005","1370008","","37",""
"3","1","pkb_idle_normal","","","0.2","1","1370009","","37",""
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","3","1370010","0.2","37",""
"21","0","vo_minigame_1006_top_talk_16_602","0","","","vo_minigame_1006","1370011","","37",""
"11","8","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","0","0","0","3","1370012","0","37","1"
"93","","","","","","4.8","1370013","","37",""
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","3","1370014","","37",""
"91","","","","","","1370012","1370015","","37",""
"3","1","pkb_idle_normal_l","","","0.2","3","1370016","","37",""
"1","100","106531","170","-150","1.6","1","1380001","1","38","pkb_idle_normal"
"5","100","2","-20","-130","55","2","1380002","0","38","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","106531","1380003","0.2","38",""
"21","0","vo_minigame_1006_top_talk_17_301","0","","","vo_minigame_1006","1380004","","38",""
"11","8","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","0","0","0","106531","1380005","0","38","-0.5"
"93","","","","","","3.6","1380006","","38",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","106531","1380007","","38",""
"93","","","","","","2","1380008","","38",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","106531","1380009","0.2","38",""
"91","","","","","","1380005","1380010","","38",""
"93","","","","","","1","1380011","","38",""
"3","1","pkb_idle_normal","","","0.2","106531","1380012","","38",""
"3","0","pkb_shock","pkb_idle_shock","1","0.2","2","1380013","","38",""
"21","0","vo_minigame_1006_top_talk_17_802","0","","","vo_minigame_1006","1380014","","38",""
"11","7","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","0","0","0","2","1380015","0","38","1"
"91","","","","","","1380015","1380016","","38",""
"3","1","pkb_idle_normal","","","0.2","2","1380017","","38",""
