311fc1c89490c718906636528f7e9dfc3f8aea8fb4bcbf6005b2b35f51ce1fe1,d71b35bb0ed8bead3c609cb65d178981559d106ecfda0b52cac22b3cdc922b80,a3010de2fa05792041b798a2edcbe4ae09ab19738e94309724ab81116a03e578,2806530c954e700cba0a5c1ebcf893a70eb4d734c2becbc74b3632895bacd4ab,92bac4f1d4b3a11fcde648df6e0242af9ac1aa458e3698cd71fcf8ff31d38301,0351ae940986f178395ff4855132a746b7970b80b831fd683ac2983f58c47453,d0c1a38139cb53734e7c6088b50a2e8cb88eae2501e943554d2bc1e7d8688b5a,71f98badf10a874f42e0a5a1ac817d908fee5b8e39dbea9a12559029d2ea9409
"32.ファスキア\n　　　　　　森林・南部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13032","32.ファスキア森林・南部","bgm_M339"
"33.ファスキア\n　　　　　　森林・東部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13033","33.ファスキア森林・東部","bgm_M339"
"34.デクスティア\n　　　　　岩崖・西壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13034","34.デクスティア岩崖・西壁","bgm_M374"
"35.デクスティア\n　　　　　岩崖・東壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13035","35.デクスティア岩崖・東壁","bgm_M374"
"63.アパレーユ\n　　　　　街道・西側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","13063","63.アパレーユ街道・西側","bgm_MC001"
"64.アパレーユ\n　　　　　街道・東側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","13064","64.アパレーユ街道・東側","bgm_MC001"
"65.キャッスル・オブ・パルフェ\n　　　　　　城下町","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","13065","65.キャッスル・オブ・パルフェ　城下町","bgm_MC001"
"67.渦炎密林","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","13067","67.渦炎密林","bgm_MC079"
"68.思索樹海","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","13068","68.思索樹海","bgm_MC079"
"聖跡調査クエスト","","0","2015/12/17 15:00:00","2030/12/17 14:59:59","18001","聖跡調査クエスト",""
"神殿調査クエスト","","0","2015/12/17 15:00:00","2030/12/17 14:59:00","19001","神殿調査クエスト",""
"マナクエスト","","0","2015/12/17 15:00:00","2030/12/17 14:59:59","21001","マナクエスト",""
"経験値クエスト","","0","2015/12/17 15:00:00","2030/12/17 14:59:59","21002","経験値クエスト",""
