b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58
"1350013","","","0","35","91","","","","",""
"1360001","1.3","03_uek_cmn_idol_def_N","1","36","1","0","110","105","5","102531"
"1360002","1.3","03_uek_cmn_idol_def_N","1","36","1","0","100","10","10","102831"
"1360003","","","1","36","93","","","","",""
"1360004","0","","102531","36","3","0","0","03_uek_36_suzume_loop","1","03_uek_36_suzume"
"1360005","0","","102831","36","3","0","0","03_uek_36_saren_loop","1","03_uek_36_saren"
"1360006","","","0","36","91","","","","",""
"1360007","","","102531","36","11","","10","0","0","きゃっ！？　おおお\n落ちちゃいます～！\nお嬢様～！！？？"
"1360008","","","0","36","91","","","","",""
"1360009","","","102831","36","11","","10","0","0","スズメ、大丈夫！？\n高い場所だから\n気をつけなさいね"
"1370001","1.3","01_uek_cmn_idol_def_N","1","37","1","0","100","-118","-22","112531"
"1370002","1.3","01_uek_cmn_idol_def_N","1","37","1","0","100","0","0","112431"
"1370003","1.3","01_uek_27_tamaki_loop","1","37","1","1","100","179","0","112631"
"1370004","","","112631","37","3","","0","","0","01_uek_27_tamaki_loop"
"1370005","","","0","37","91","","","","",""
"1370006","","","112631","37","3","","0","","0","01_uek_27_tamaki_loop"
"1370007","","","0","37","91","","","","",""
"1370008","","","112631","37","3","","0","","0","01_uek_27_tamaki_loop"
"1370009","","","0","37","91","","","","",""
"1370010","0.5","","112631","37","3","","1","","0","01_uek_cmn_pose06"
"1370011","","","112631","37","11","","10","0","0","あっ！ほら見て\nしまむー、しぶりん\n星がすごいよ！"
"1370012","","","0","37","91","","","","",""
"1370013","","","112531","37","3","","0","01_uek_35_rei_loop","1","01_uek_35_rei"
"1370014","","","112531","37","11","","10","0","0","…トップアイドルに\nなった時の景色って\nこんな感じなのかな"
"1370015","","","0","37","91","","","","",""
"1370016","0.2","","112631","37","3","","1","","0","01_uek_cmn_idol_def_N"
"1370017","","","112431","37","3","","0","01_uek_16_uduki_loop","1","01_uek_37_uduki"
"1370018","","","112431","37","11","","10","0","0","あの星みたいに\n私たちも\n輝きたいですね！"
"1370019","","","0","37","91","","","","",""
"11010001","1","","101","101","31","","0","30","1","14"
"11110001","1","","111","111","31","","0","150","1","11"
"11120001","1","","112","112","31","","0","150","1","12"
"11130001","1","","113","113","31","","0","125","1","13"
